date,open,high,low,close,volume,hold,settle
2020-01-02,3856.0,3876.0,3847.0,3861.0,29163,77255,3864.0
2020-01-03,3861.0,3893.0,3860.0,3877.0,41752,78390,3879.0
2020-01-06,3873.0,3911.0,3864.0,3909.0,47803,79011,3887.0
2020-01-07,3915.0,3943.0,3906.0,3916.0,56399,81546,3923.0
2020-01-08,3916.0,3965.0,3907.0,3954.0,52739,84844,3936.0
2020-01-09,3950.0,4038.0,3947.0,4029.0,114346,101548,4000.0
2020-01-10,4029.0,4129.0,4024.0,4092.0,209291,111979,4079.0
2020-01-13,4088.0,4148.0,4079.0,4111.0,127479,115826,0.0
2020-01-14,4116.0,4139.0,4095.0,4138.0,78412,124933,4118.0
2020-01-15,4142.0,4145.0,4105.0,4130.0,83427,127906,4122.0
2020-01-16,4125.0,4144.0,4073.0,4094.0,120521,128083,4103.0
2020-01-17,4092.0,4118.0,4076.0,4100.0,100530,129946,4096.0
2020-01-20,4105.0,4112.0,4076.0,4097.0,77070,129117,4095.0
2020-01-21,4081.0,4107.0,4042.0,4047.0,108083,112476,4070.0
2020-01-22,4047.0,4095.0,4033.0,4092.0,69631,111154,4055.0
2020-01-23,4089.0,4096.0,4043.0,4060.0,64589,97554,4065.0
2020-02-03,3959.0,4016.0,3900.0,3963.0,73993,92517,3964.0
2020-02-04,3963.0,4035.0,3962.0,4024.0,60565,93043,4007.0
2020-02-05,4016.0,4035.0,3987.0,3992.0,44848,93279,0.0
2020-02-06,3990.0,4042.0,3975.0,4032.0,46772,94352,0.0
2020-02-07,4034.0,4055.0,4008.0,4040.0,45167,94661,0.0
2020-02-10,4045.0,4190.0,4033.0,4170.0,207987,118135,0.0
2020-02-11,4165.0,4204.0,4148.0,4157.0,147263,114974,4171.0
2020-02-12,4160.0,4184.0,4122.0,4159.0,107113,113705,4157.0
2020-02-13,4166.0,4238.0,4138.0,4149.0,245247,111932,0.0
2020-02-14,4149.0,4157.0,4121.0,4139.0,85899,112661,4139.0
2020-02-17,4143.0,4179.0,4120.0,4154.0,99046,113891,4147.0
2020-02-18,4138.0,4168.0,4131.0,4146.0,75260,116871,0.0
2020-02-19,4153.0,4197.0,4140.0,4191.0,110591,122901,0.0
2020-02-20,4191.0,4216.0,4101.0,4104.0,160063,117113,0.0
2020-02-21,4100.0,4137.0,4085.0,4136.0,110547,121180,0.0
2020-02-24,4137.0,4150.0,4106.0,4119.0,80738,120293,4125.0
2020-02-25,4115.0,4145.0,4103.0,4131.0,115309,120053,0.0
2020-02-26,4122.0,4179.0,4122.0,4171.0,153800,128407,0.0
2020-02-27,4171.0,4185.0,4152.0,4171.0,104291,126062,0.0
2020-02-28,4171.0,4218.0,4073.0,4078.0,249698,119260,0.0
2020-03-02,4081.0,4178.0,4081.0,4157.0,166441,117671,0.0
2020-03-03,4166.0,4185.0,4136.0,4161.0,102334,117023,0.0
2020-03-04,4166.0,4210.0,4142.0,4203.0,172966,126695,0.0
2020-03-05,4203.0,4260.0,4192.0,4252.0,241529,145872,0.0
2020-03-06,4237.0,4248.0,4198.0,4218.0,155508,135657,0.0
2020-03-09,4175.0,4211.0,4079.0,4147.0,278610,115156,0.0
2020-03-10,4147.0,4200.0,4134.0,4193.0,140354,114388,4167.0
2020-03-11,4177.0,4196.0,4171.0,4180.0,79416,113265,0.0
2020-03-12,4173.0,4173.0,4119.0,4147.0,119207,109995,0.0
2020-03-13,4130.0,4179.0,4046.0,4164.0,198344,99188,0.0
2020-03-16,4148.0,4248.0,4146.0,4226.0,192969,109379,0.0
2020-03-17,4200.0,4270.0,4178.0,4253.0,186046,116717,0.0
2020-03-18,4248.0,4319.0,4245.0,4315.0,201409,118374,4292.0
2020-03-19,4315.0,4371.0,4271.0,4360.0,262847,108146,0.0
2020-03-20,4374.0,4400.0,4288.0,4297.0,184532,96917,0.0
2020-03-23,4297.0,4369.0,4287.0,4317.0,189095,93209,0.0
2020-03-24,4344.0,4406.0,4300.0,4404.0,176732,103901,0.0
2020-03-25,4414.0,4507.0,4387.0,4501.0,222319,106846,0.0
2020-03-26,4491.0,4625.0,4476.0,4621.0,363683,118993,0.0
2020-03-27,4625.0,4788.0,4625.0,4696.0,580672,104479,0.0
2020-03-30,4750.0,4918.0,4730.0,4914.0,437505,114687,0.0
2020-03-31,4919.0,4947.0,4827.0,4866.0,354702,100492,0.0
2020-04-01,4866.0,4885.0,4723.0,4814.0,350297,93143,0.0
2020-04-02,4813.0,4911.0,4763.0,4856.0,271615,86596,0.0
2020-04-03,4867.0,4885.0,4781.0,4848.0,182103,78202,0.0
2020-04-07,4878.0,4935.0,4760.0,4783.0,149178,75814,0.0
2020-04-08,4770.0,4850.0,4740.0,4836.0,110085,74038,0.0
2020-04-09,4519.0,4573.0,4516.0,4533.0,147729,101088,0.0
2020-04-10,4531.0,4562.0,4482.0,4529.0,194562,105024,0.0
2020-04-13,4560.0,4624.0,4498.0,4504.0,192534,109646,0.0
2020-04-14,4500.0,4567.0,4464.0,4545.0,230780,118444,0.0
2020-04-15,4552.0,4730.0,4533.0,4718.0,363955,131309,0.0
2020-04-16,4718.0,4727.0,4608.0,4633.0,245875,109562,0.0
2020-04-17,4638.0,4693.0,4600.0,4689.0,223788,119362,0.0
2020-04-20,4699.0,4779.0,4602.0,4612.0,290621,119701,0.0
2020-04-21,4629.0,4629.0,4548.0,4605.0,230760,120476,0.0
2020-04-22,4605.0,4645.0,4554.0,4634.0,231520,119848,0.0
2020-04-23,4634.0,4669.0,4604.0,4623.0,193845,114828,0.0
2020-04-24,4635.0,4667.0,4612.0,4662.0,169912,114916,0.0
2020-04-27,4651.0,4671.0,4594.0,4624.0,164694,112476,0.0
2020-04-28,4629.0,4648.0,4604.0,4625.0,125331,111421,0.0
2020-04-29,4625.0,4654.0,4611.0,4624.0,115464,105942,0.0
2020-04-30,4619.0,4636.0,4512.0,4549.0,287821,122567,0.0
2020-05-06,4566.0,4590.0,4480.0,4583.0,219015,132146,0.0
2020-05-07,4578.0,4594.0,4540.0,4563.0,218705,133216,0.0
2020-05-08,4545.0,4587.0,4545.0,4570.0,142323,132411,0.0
2020-05-11,4583.0,4628.0,4493.0,4540.0,256431,132722,0.0
2020-05-12,4535.0,4559.0,4515.0,4549.0,146489,128850,0.0
2020-05-13,4549.0,4566.0,4518.0,4544.0,161932,122779,0.0
2020-05-14,4544.0,4547.0,4388.0,4401.0,356927,149265,0.0
2020-05-15,4405.0,4411.0,4328.0,4358.0,310405,153717,0.0
2020-05-18,4350.0,4368.0,4271.0,4281.0,276285,152883,0.0
2020-05-19,4276.0,4326.0,4249.0,4276.0,276725,139839,0.0
2020-05-20,4271.0,4299.0,4217.0,4234.0,207638,143681,0.0
2020-05-21,4244.0,4350.0,4231.0,4332.0,283633,137646,0.0
2020-05-22,4332.0,4463.0,4315.0,4420.0,468126,128856,0.0
2020-05-25,4425.0,4482.0,4397.0,4423.0,265934,122143,0.0
2020-05-26,4423.0,4454.0,4412.0,4427.0,191704,126878,0.0
2020-05-27,4432.0,4556.0,4414.0,4556.0,306619,142155,0.0
2020-05-28,4550.0,4581.0,4505.0,4543.0,290813,129845,0.0
2020-05-29,4542.0,4578.0,4509.0,4551.0,206594,126217,0.0
2020-06-01,4551.0,4647.0,4487.0,4544.0,317940,113441,0.0
2020-06-02,4549.0,4564.0,4513.0,4532.0,166599,110824,0.0
2020-06-03,4514.0,4560.0,4438.0,4442.0,285954,123426,0.0
2020-06-04,4448.0,4482.0,4416.0,4459.0,223461,123128,0.0
2020-06-05,4459.0,4464.0,4344.0,4349.0,295487,129553,0.0
2020-06-08,4346.0,4562.0,4330.0,4556.0,467947,124778,0.0
2020-06-09,4556.0,4608.0,4523.0,4551.0,393124,115467,0.0
2020-06-10,4547.0,4724.0,4543.0,4697.0,627481,148580,0.0
2020-06-11,4706.0,4730.0,4666.0,4725.0,389872,148374,0.0
2020-06-12,4718.0,4777.0,4647.0,4697.0,562682,138692,0.0
2020-06-15,4705.0,4799.0,4686.0,4779.0,457782,152722,0.0
2020-06-16,4768.0,4827.0,4753.0,4807.0,391042,157838,0.0
2020-06-17,4808.0,4818.0,4776.0,4814.0,173204,163048,0.0
2020-06-18,4817.0,4876.0,4804.0,4869.0,230100,184371,0.0
2020-06-19,4873.0,4920.0,4815.0,4835.0,357622,174046,0.0
2020-06-22,4825.0,4848.0,4763.0,4804.0,318823,157914,0.0
2020-06-23,4797.0,4815.0,4718.0,4729.0,271506,154477,0.0
2020-06-24,4730.0,4748.0,4660.0,4708.0,303410,145115,0.0
2020-06-29,4698.0,4858.0,4670.0,4839.0,273937,165912,0.0
2020-06-30,4845.0,4879.0,4801.0,4871.0,305654,179037,0.0
2020-07-01,4871.0,4912.0,4833.0,4848.0,325006,172797,0.0
2020-07-02,4859.0,4905.0,4838.0,4883.0,269123,184534,0.0
2020-07-03,4888.0,4933.0,4770.0,4774.0,424451,185868,0.0
2020-07-06,4775.0,4825.0,4755.0,4794.0,281584,168714,0.0
2020-07-07,4794.0,4820.0,4706.0,4719.0,331437,168324,0.0
2020-07-08,4718.0,4763.0,4696.0,4737.0,292653,158609,0.0
2020-07-09,4737.0,4849.0,4728.0,4846.0,326856,166209,0.0
2020-07-10,4846.0,4853.0,4728.0,4754.0,238064,136952,0.0
2020-07-13,4758.0,4807.0,4728.0,4743.0,262655,153421,0.0
2020-07-14,4728.0,4755.0,4676.0,4702.0,253829,148933,0.0
2020-07-15,4712.0,4829.0,4686.0,4772.0,329934,164454,0.0
2020-07-16,4768.0,4806.0,4692.0,4705.0,316505,154297,0.0
2020-07-17,4705.0,4774.0,4700.0,4742.0,224583,133387,0.0
2020-07-20,4742.0,4770.0,4638.0,4661.0,251156,136733,4686.0
2020-07-21,4642.0,4668.0,4609.0,4624.0,210786,133347,4639.0
2020-07-22,4634.0,4750.0,4554.0,4670.0,390979,134547,4645.0
2020-07-23,4675.0,4727.0,4562.0,4589.0,330622,149553,4644.0
2020-07-24,4589.0,4627.0,4520.0,4567.0,230498,136136,4582.0
2020-07-27,4572.0,4671.0,4514.0,4621.0,306613,129575,4590.0
2020-07-28,4622.0,4678.0,4568.0,4649.0,249870,119165,4621.0
2020-07-29,4653.0,4720.0,4636.0,4707.0,268144,122201,4682.0
2020-07-30,4702.0,4728.0,4673.0,4710.0,145944,116236,4701.0
2020-07-31,4708.0,4813.0,4692.0,4761.0,280587,136495,4759.0
2020-08-03,4756.0,4799.0,4740.0,4788.0,147215,120799,4772.0
2020-08-04,4788.0,4810.0,4753.0,4789.0,145216,124454,4779.0
2020-08-05,4800.0,4800.0,4611.0,4644.0,262646,117730,4683.0
2020-08-06,4649.0,4679.0,4641.0,4663.0,129315,95548,4661.0
2020-08-07,4663.0,4772.0,4591.0,4727.0,276229,113798,4688.0
2020-08-10,4725.0,4775.0,4667.0,4711.0,196165,88642,4720.0
2020-08-11,4727.0,4767.0,4696.0,4755.0,128041,101500,4736.0
2020-08-12,4754.0,4762.0,4639.0,4664.0,157109,83180,4692.0
2020-08-13,4683.0,4730.0,4646.0,4677.0,132230,75759,4689.0
2020-08-14,4680.0,4728.0,4653.0,4700.0,105509,74594,4694.0
2020-08-17,4680.0,4694.0,4612.0,4654.0,127955,76285,4660.0
