date,open,high,low,close,volume,hold,settle
2020-01-02,7740.0,7791.0,7706.0,7741.0,93362,80835,7752.0
2020-01-03,7736.0,7767.0,7580.0,7589.0,149249,89150,7697.0
2020-01-06,7560.0,7577.0,7428.0,7474.0,168525,91101,7486.0
2020-01-07,7474.0,7528.0,7443.0,7501.0,107722,91157,7492.0
2020-01-08,7505.0,7556.0,7424.0,7497.0,128109,91837,7490.0
2020-01-09,7497.0,7545.0,7358.0,7360.0,145093,103240,7465.0
2020-01-10,7360.0,7477.0,7333.0,7447.0,135702,94971,7416.0
2020-01-13,7461.0,7469.0,7273.0,7289.0,144949,105910,7328.0
2020-01-14,7284.0,7360.0,7284.0,7302.0,97103,104674,7318.0
2020-01-15,7300.0,7380.0,7242.0,7325.0,134238,103843,7302.0
2020-01-16,7328.0,7396.0,7317.0,7351.0,106995,103339,7363.0
2020-01-17,7356.0,7500.0,7352.0,7469.0,145179,94609,7449.0
2020-01-20,7422.0,7480.0,7377.0,7421.0,91335,97922,7429.0
2020-01-21,7427.0,7485.0,7324.0,7339.0,118127,101103,7423.0
2020-01-22,7339.0,7425.0,7281.0,7361.0,102766,94548,7347.0
2020-01-23,7369.0,7445.0,7331.0,7420.0,105971,84428,7392.0
2020-02-03,6895.0,7079.0,6874.0,6874.0,186578,89504,6955.0
2020-02-04,6850.0,7048.0,6836.0,7002.0,126561,83800,6973.0
2020-02-05,6995.0,7095.0,6981.0,7011.0,144869,93779,7035.0
2020-02-06,7031.0,7046.0,6988.0,7010.0,97118,99591,7013.0
2020-02-07,7010.0,7076.0,6916.0,7026.0,120079,99434,7034.0
2020-02-10,7001.0,7064.0,6981.0,7008.0,114979,107467,7028.0
2020-02-11,7000.0,7032.0,6971.0,7004.0,110375,111783,7005.0
2020-02-12,7000.0,7050.0,6917.0,6990.0,164659,117282,6982.0
2020-02-13,6990.0,7020.0,6910.0,6933.0,164111,124829,6967.0
2020-02-14,6939.0,6950.0,6852.0,6866.0,174008,135618,6891.0
2020-02-17,6850.0,7002.0,6817.0,6993.0,199200,122991,6917.0
2020-02-18,6998.0,7037.0,6960.0,6982.0,171271,124302,6994.0
2020-02-19,6972.0,7045.0,6972.0,6997.0,132739,128259,7005.0
2020-02-20,6996.0,7267.0,6984.0,7252.0,398197,117806,7163.0
2020-02-21,7245.0,7309.0,7211.0,7277.0,233644,116196,7266.0
2020-02-24,7280.0,7358.0,7161.0,7277.0,235077,114896,7288.0
2020-02-25,7205.0,7315.0,7191.0,7283.0,183889,117371,7273.0
