date,open,high,low,close,volume,hold,settle
2020-01-02,13940.0,14270.0,13865.0,13975.0,585439,584855,14070.0
2020-01-03,14000.0,14130.0,13965.0,14015.0,316908,580012,14035.0
2020-01-06,13950.0,14130.0,13840.0,14070.0,404392,581224,13995.0
2020-01-07,14060.0,14260.0,14050.0,14215.0,462799,602141,14175.0
2020-01-08,14200.0,14225.0,14025.0,14165.0,347822,598889,14150.0
2020-01-09,14165.0,14380.0,14160.0,14260.0,557629,609430,14290.0
2020-01-10,14285.0,14365.0,14215.0,14285.0,277682,608251,14300.0
2020-01-13,14300.0,14445.0,14265.0,14430.0,340308,615446,14370.0
2020-01-14,14420.0,14450.0,14070.0,14160.0,399359,602046,14240.0
2020-01-15,14195.0,14240.0,13920.0,13930.0,396698,588277,14065.0
2020-01-16,13915.0,14110.0,13890.0,14020.0,297230,589134,14010.0
2020-01-17,14000.0,14080.0,13925.0,14030.0,212559,582780,14005.0
2020-01-20,14105.0,14175.0,13965.0,13995.0,266491,580282,14075.0
2020-01-21,13970.0,14075.0,13750.0,13795.0,338475,561552,13900.0
2020-01-22,13845.0,13855.0,13340.0,13705.0,547975,536793,13570.0
2020-01-23,13730.0,13730.0,13300.0,13440.0,360868,519451,13515.0
2020-02-03,12570.0,12890.0,12565.0,12565.0,276113,495085,12680.0
2020-02-04,12130.0,12810.0,12130.0,12620.0,297277,494865,12580.0
2020-02-05,12710.0,13030.0,12685.0,12950.0,373725,498833,12905.0
2020-02-06,12920.0,13200.0,12830.0,13120.0,387692,514018,13035.0
2020-02-07,13065.0,13145.0,13060.0,13135.0,180537,512995,13105.0
2020-02-10,13035.0,13110.0,13015.0,13075.0,176034,516875,13065.0
2020-02-11,13105.0,13190.0,13070.0,13125.0,211076,512553,13130.0
2020-02-12,13125.0,13175.0,12885.0,13070.0,273536,497942,13025.0
2020-02-13,13100.0,13150.0,12995.0,13045.0,204494,490949,13070.0
2020-02-14,13010.0,13055.0,12920.0,13030.0,235196,487440,12990.0
2020-02-17,13080.0,13510.0,13055.0,13510.0,636829,513807,13345.0
2020-02-18,13395.0,13415.0,13115.0,13180.0,484477,479563,13250.0
2020-02-19,13210.0,13315.0,13200.0,13260.0,236246,475060,13270.0
2020-02-20,13345.0,13375.0,13240.0,13325.0,223675,475075,13315.0
