date,open,high,low,close,volume,hold,settle
2020-01-02,10940.0,10960.0,10880.0,10930.0,25280,31370,10925.0
2020-01-03,10930.0,10970.0,10860.0,10905.0,32463,30415,10915.0
2020-01-06,10880.0,10935.0,10745.0,10800.0,62479,31723,10835.0
2020-01-07,10815.0,10830.0,10420.0,10480.0,130976,45142,10585.0
2020-01-08,10490.0,10530.0,10335.0,10440.0,72014,45842,10420.0
2020-01-09,10435.0,10490.0,10370.0,10405.0,43553,45150,10435.0
2020-01-10,10300.0,10490.0,10115.0,10475.0,138615,45564,10320.0
2020-01-13,10515.0,10585.0,10360.0,10425.0,48800,42507,10440.0
2020-01-14,10425.0,10555.0,10355.0,10480.0,49596,40457,10460.0
2020-01-15,10520.0,10545.0,10405.0,10510.0,44648,39172,10490.0
2020-01-16,10520.0,10585.0,10440.0,10510.0,41662,37875,10505.0
2020-01-17,10510.0,10575.0,10470.0,10575.0,30365,36609,10525.0
2020-01-20,10585.0,10665.0,10470.0,10470.0,38211,35502,10540.0
2020-01-21,10495.0,10545.0,10450.0,10515.0,31349,34424,10500.0
2020-01-22,10515.0,10640.0,10425.0,10600.0,43738,32049,10530.0
2020-01-23,10575.0,10620.0,10520.0,10610.0,20706,29564,10570.0
2020-02-03,10150.0,10360.0,9910.0,10105.0,89416,31495,10125.0
2020-02-04,10085.0,10260.0,9890.0,10240.0,38655,29416,10175.0
2020-02-05,10225.0,10320.0,10190.0,10235.0,29758,28416,10250.0
2020-02-06,10240.0,10290.0,10205.0,10280.0,21874,28323,10250.0
2020-02-07,10290.0,10335.0,10260.0,10330.0,26660,28926,10300.0
2020-02-10,10260.0,10360.0,10230.0,10325.0,25715,29139,10310.0
2020-02-11,10350.0,10400.0,10310.0,10385.0,24902,28447,10365.0
2020-02-12,10380.0,10485.0,10370.0,10435.0,26864,28738,10420.0
2020-02-13,10435.0,10460.0,10390.0,10450.0,15470,27637,10420.0
2020-02-14,10430.0,10460.0,10350.0,10420.0,25899,28876,10405.0
2020-02-17,10440.0,10555.0,10400.0,10535.0,29563,30150,10490.0
2020-02-18,10495.0,10560.0,10490.0,10510.0,14819,29462,10520.0
2020-02-19,10490.0,10550.0,10490.0,10500.0,11612,29217,10520.0
2020-02-20,10535.0,10665.0,10475.0,10580.0,34779,29460,10580.0
2020-02-21,10575.0,10595.0,10530.0,10555.0,15003,28302,10570.0
2020-02-24,10580.0,10585.0,10440.0,10465.0,24534,27159,10495.0
2020-02-25,10425.0,10620.0,10425.0,10565.0,31902,26844,10545.0
2020-02-26,10545.0,10570.0,10465.0,10510.0,17395,26362,10520.0
2020-02-27,10520.0,10535.0,10275.0,10385.0,59886,29645,10385.0
2020-02-28,10340.0,10495.0,10320.0,10430.0,56167,28812,10405.0
2020-03-02,10405.0,10710.0,10345.0,10580.0,52321,26018,10555.0
2020-03-03,10555.0,10600.0,10460.0,10520.0,27770,24589,10520.0
2020-03-04,10535.0,10565.0,10470.0,10525.0,18351,23623,10515.0
2020-03-05,10530.0,10545.0,10470.0,10480.0,19016,21857,10505.0
2020-03-06,10450.0,10465.0,10350.0,10395.0,34130,22246,10405.0
2020-03-09,10345.0,10535.0,10245.0,10415.0,33736,20972,10390.0
2020-03-10,10415.0,10465.0,10385.0,10400.0,17138,19234,10420.0
2020-03-11,10390.0,10450.0,10270.0,10315.0,40026,21991,10350.0
2020-03-12,10305.0,10390.0,10200.0,10375.0,32455,21180,10305.0
2020-03-13,10330.0,10390.0,10250.0,10360.0,25384,19677,10325.0
2020-03-16,10355.0,10410.0,10290.0,10300.0,20987,19217,10345.0
2020-03-17,10275.0,10360.0,10230.0,10335.0,20317,17398,10300.0
2020-03-18,10310.0,10340.0,10260.0,10295.0,16362,17161,10290.0
2020-03-19,10265.0,10290.0,10020.0,10215.0,39403,18627,10150.0
2020-03-20,10240.0,10580.0,10200.0,10265.0,31758,13135,10320.0
2020-03-23,10220.0,10220.0,10100.0,10125.0,21344,13801,10155.0
2020-03-24,10120.0,10205.0,9810.0,9980.0,54998,17692,10000.0
2020-03-25,9965.0,10065.0,9715.0,9790.0,51426,21328,9850.0
2020-03-26,9750.0,10020.0,9670.0,10010.0,48610,16005,9860.0
2020-03-27,10000.0,10215.0,9985.0,10190.0,36833,13310,10130.0
2020-03-30,10195.0,10300.0,10030.0,10095.0,21389,11969,10125.0
2020-03-31,10085.0,10175.0,10070.0,10120.0,16316,9319,10130.0
2020-04-01,10150.0,10235.0,9965.0,10070.0,15295,7581,10085.0
2020-04-02,10070.0,10140.0,10030.0,10125.0,7692,6536,10100.0
2020-04-03,10145.0,10180.0,9930.0,10010.0,14363,6404,10025.0
2020-04-07,10055.0,10085.0,9925.0,9975.0,8875,6255,10020.0
2020-04-08,9955.0,10090.0,9835.0,10060.0,10568,5225,9970.0
2020-04-09,10270.0,10270.0,10140.0,10220.0,15388,12219,10195.0
2020-04-10,10175.0,10205.0,9980.0,10030.0,32546,17918,10075.0
2020-04-13,10020.0,10130.0,9950.0,10100.0,28291,17589,10055.0
2020-04-14,10100.0,10150.0,10060.0,10120.0,15493,16047,10105.0
2020-04-15,10095.0,10140.0,9990.0,10010.0,22510,17572,10060.0
2020-04-16,10000.0,10065.0,9930.0,10060.0,19973,16417,10015.0
2020-04-17,10070.0,10150.0,10055.0,10140.0,15441,15650,10105.0
2020-04-20,10115.0,10180.0,10035.0,10050.0,14555,15433,10110.0
2020-04-21,10045.0,10070.0,9960.0,9995.0,19131,15689,10010.0
2020-04-22,10005.0,10140.0,9945.0,10125.0,25917,15765,10060.0
2020-04-23,10090.0,10135.0,10070.0,10095.0,13821,16180,10100.0
2020-04-24,10105.0,10390.0,10090.0,10110.0,88154,17821,10235.0
2020-04-27,10145.0,10465.0,10115.0,10185.0,80795,19199,10290.0
2020-04-28,10200.0,10240.0,10135.0,10185.0,21277,17128,10180.0
2020-04-29,10200.0,10205.0,10000.0,10015.0,21543,15474,10095.0
