date,open,high,low,close,volume,hold,settle
2020-01-02,2280.0,2293.0,2275.0,2291.0,67260,92924,2284.0
2020-01-03,2290.0,2300.0,2285.0,2291.0,56583,93916,2293.0
2020-01-06,2289.0,2291.0,2272.0,2279.0,59887,88696,2279.0
2020-01-07,2283.0,2290.0,2277.0,2288.0,58032,92277,2283.0
2020-01-08,2283.0,2293.0,2275.0,2276.0,55336,89948,2284.0
2020-01-09,2276.0,2287.0,2272.0,2282.0,52998,88333,2279.0
2020-01-10,2285.0,2285.0,2259.0,2262.0,88402,85416,2268.0
2020-01-13,2267.0,2276.0,2263.0,2275.0,49402,80273,0.0
2020-01-14,2274.0,2285.0,2273.0,2277.0,63685,80751,2280.0
2020-01-15,2277.0,2287.0,2275.0,2285.0,48081,84561,2283.0
2020-01-16,2288.0,2309.0,2284.0,2309.0,81600,95851,2297.0
2020-01-17,2309.0,2309.0,2296.0,2304.0,49137,99268,2301.0
2020-01-20,2302.0,2306.0,2291.0,2298.0,53884,95593,2297.0
2020-01-21,2301.0,2301.0,2280.0,2280.0,64769,86339,2288.0
2020-01-22,2281.0,2284.0,2261.0,2272.0,87759,73337,2271.0
2020-01-23,2275.0,2276.0,2257.0,2258.0,49130,64019,2264.0
2020-02-03,2254.0,2273.0,2236.0,2239.0,75430,65017,2251.0
2020-02-04,2240.0,2270.0,2240.0,2264.0,54288,63472,2257.0
2020-02-05,2262.0,2262.0,2240.0,2252.0,48226,63327,0.0
2020-02-06,2253.0,2263.0,2251.0,2261.0,32918,65372,0.0
2020-02-07,2258.0,2273.0,2258.0,2272.0,42643,67102,0.0
2020-02-10,2269.0,2274.0,2260.0,2266.0,36637,66101,0.0
2020-02-11,2262.0,2274.0,2256.0,2269.0,51543,66741,2264.0
2020-02-12,2272.0,2281.0,2264.0,2267.0,70264,66023,2273.0
2020-02-13,2262.0,2273.0,2262.0,2270.0,34153,67064,0.0
2020-02-14,2270.0,2272.0,2249.0,2258.0,64773,69832,2257.0
2020-02-17,2260.0,2266.0,2253.0,2265.0,57750,74883,2261.0
2020-02-18,2261.0,2262.0,2241.0,2243.0,65134,86547,0.0
2020-02-19,2243.0,2249.0,2237.0,2244.0,46067,88347,0.0
2020-02-20,2242.0,2245.0,2231.0,2232.0,53451,102535,0.0
2020-02-21,2230.0,2243.0,2228.0,2240.0,51392,97389,0.0
2020-02-24,2235.0,2247.0,2234.0,2238.0,42088,99731,2240.0
2020-02-25,2240.0,2247.0,2232.0,2237.0,51824,106415,0.0
2020-02-26,2233.0,2241.0,2229.0,2230.0,47005,114864,0.0
2020-02-27,2226.0,2243.0,2226.0,2241.0,52568,106654,0.0
2020-02-28,2238.0,2245.0,2227.0,2229.0,94010,108077,0.0
2020-03-02,2231.0,2262.0,2230.0,2262.0,93989,99331,0.0
2020-03-03,2262.0,2269.0,2254.0,2257.0,65300,89590,0.0
