date,open,high,low,close,volume,hold,settle
2020-01-02,7288.0,7336.0,7261.0,7291.0,38527,81424,7295.0
2020-01-03,7294.0,7345.0,7271.0,7321.0,49829,79582,7306.0
2020-01-06,7330.0,7410.0,7316.0,7387.0,59768,75131,7367.0
2020-01-07,7390.0,7390.0,7281.0,7318.0,51068,75409,7329.0
2020-01-08,7308.0,7438.0,7303.0,7374.0,72616,68952,7367.0
2020-01-09,7344.0,7385.0,7266.0,7305.0,58620,67645,7319.0
2020-01-10,7311.0,7428.0,7259.0,7428.0,72901,68950,7338.0
2020-01-13,7438.0,7566.0,7422.0,7541.0,156246,81191,0.0
2020-01-14,7541.0,7587.0,7478.0,7541.0,89977,84049,7518.0
2020-01-15,7551.0,7576.0,7480.0,7531.0,84802,85644,7513.0
2020-01-16,7530.0,7550.0,7389.0,7467.0,85693,75426,7472.0
2020-01-17,7459.0,7498.0,7440.0,7459.0,50251,75284,7473.0
2020-01-20,7470.0,7530.0,7456.0,7515.0,59879,75192,7505.0
2020-01-21,7510.0,7538.0,7421.0,7434.0,52832,68443,7476.0
2020-01-22,7420.0,7438.0,7310.0,7394.0,57500,59901,7370.0
2020-01-23,7395.0,7410.0,7266.0,7282.0,31343,58260,7329.0
2020-02-03,6890.0,6930.0,6890.0,6890.0,23458,52889,6896.0
2020-02-04,6700.0,6876.0,6497.0,6865.0,52335,50829,6792.0
2020-02-05,6810.0,7013.0,6810.0,6945.0,54850,53123,0.0
2020-02-06,6980.0,7022.0,6925.0,6991.0,33204,54077,0.0
2020-02-07,6973.0,6985.0,6943.0,6971.0,21261,54337,0.0
2020-02-10,6950.0,6989.0,6923.0,6966.0,18906,56366,0.0
2020-02-11,6943.0,6980.0,6913.0,6938.0,31114,58774,6954.0
2020-02-12,6920.0,6948.0,6816.0,6868.0,52092,63052,6882.0
2020-02-13,6890.0,6898.0,6831.0,6879.0,32509,64599,0.0
2020-02-14,6883.0,6915.0,6841.0,6886.0,31708,63968,6874.0
2020-02-17,6899.0,6990.0,6870.0,6956.0,34639,64734,6933.0
2020-02-18,6956.0,7008.0,6930.0,6938.0,35577,67270,0.0
2020-02-19,6956.0,7030.0,6935.0,7000.0,37556,70837,0.0
2020-02-20,7020.0,7068.0,6983.0,7027.0,43138,73354,0.0
2020-02-21,7027.0,7078.0,7012.0,7044.0,40470,75500,0.0
2020-02-24,7007.0,7030.0,6951.0,7024.0,34752,73266,6998.0
2020-02-25,6966.0,7020.0,6954.0,7009.0,26606,73157,0.0
2020-02-26,6980.0,7044.0,6907.0,6911.0,46827,73694,0.0
2020-02-27,6883.0,6890.0,6820.0,6840.0,31452,74043,0.0
2020-02-28,6800.0,6829.0,6681.0,6697.0,44962,70808,0.0
2020-03-02,6680.0,6788.0,6646.0,6759.0,43432,73314,0.0
2020-03-03,6808.0,6850.0,6700.0,6701.0,50841,78601,0.0
2020-03-04,6752.0,6785.0,6714.0,6759.0,40547,77508,0.0
2020-03-05,6760.0,6777.0,6722.0,6751.0,37279,75870,0.0
2020-03-06,6730.0,6748.0,6660.0,6714.0,45951,73505,0.0
2020-03-09,6434.0,6434.0,6434.0,6434.0,1553,72647,0.0
2020-03-10,6000.0,6332.0,6000.0,6276.0,64130,68113,6199.0
2020-03-11,6300.0,6350.0,6176.0,6189.0,35474,68980,0.0
2020-03-12,6150.0,6195.0,6011.0,6120.0,51533,69564,0.0
2020-03-13,6030.0,6098.0,5923.0,6083.0,54584,66856,0.0
