date,open,high,low,close,volume,hold,settle
2020-01-02,4594.0,4634.0,4584.0,4631.0,159816,197709,4614.0
2020-01-03,4630.0,4683.0,4612.0,4655.0,267715,198485,4643.0
2020-01-06,4661.0,4783.0,4632.0,4753.0,301112,198174,4711.0
2020-01-07,4738.0,4739.0,4679.0,4712.0,202369,188488,4705.0
2020-01-08,4712.0,4940.0,4705.0,4793.0,408421,175814,4804.0
2020-01-09,4770.0,4827.0,4730.0,4769.0,331977,175300,4782.0
2020-01-10,4773.0,4905.0,4762.0,4892.0,347158,199134,4831.0
2020-01-13,4890.0,4988.0,4861.0,4921.0,343978,187560,0.0
2020-01-14,4926.0,4930.0,4840.0,4866.0,260932,179432,4873.0
2020-01-15,4866.0,4868.0,4784.0,4817.0,265421,174098,4817.0
2020-01-16,4812.0,4833.0,4735.0,4762.0,240130,168999,4777.0
2020-01-17,4760.0,4793.0,4750.0,4772.0,149551,169433,4773.0
2020-01-20,4770.0,4795.0,4711.0,4729.0,269627,182943,4746.0
2020-01-21,4719.0,4729.0,4638.0,4688.0,270267,170150,4687.0
2020-01-22,4690.0,4692.0,4610.0,4683.0,207464,153854,4660.0
2020-01-23,4672.0,4699.0,4605.0,4676.0,159328,137710,4663.0
2020-02-03,4384.0,4417.0,4384.0,4384.0,92865,143462,4388.0
2020-02-04,4244.0,4390.0,4244.0,4360.0,154499,134037,4342.0
2020-02-05,4356.0,4459.0,4356.0,4373.0,198125,141096,0.0
2020-02-06,4394.0,4412.0,4365.0,4399.0,129634,144680,0.0
2020-02-07,4386.0,4418.0,4299.0,4405.0,147570,142208,0.0
2020-02-10,4400.0,4427.0,4388.0,4401.0,108386,143292,0.0
2020-02-11,4396.0,4444.0,4392.0,4407.0,155469,142363,4418.0
2020-02-12,4410.0,4452.0,4384.0,4412.0,198642,147049,4413.0
2020-02-13,4422.0,4443.0,4410.0,4424.0,137385,146481,0.0
2020-02-14,4427.0,4438.0,4386.0,4416.0,112103,143355,4413.0
2020-02-17,4429.0,4474.0,4412.0,4471.0,176083,143652,4450.0
2020-02-18,4468.0,4487.0,4415.0,4430.0,174685,149531,0.0
2020-02-19,4439.0,4464.0,4433.0,4453.0,110585,155165,0.0
2020-02-20,4475.0,4500.0,4430.0,4489.0,215400,151792,0.0
2020-02-21,4488.0,4525.0,4470.0,4516.0,184323,153612,0.0
2020-02-24,4490.0,4513.0,4430.0,4458.0,183704,151140,4473.0
2020-02-25,4430.0,4485.0,4408.0,4483.0,147804,151001,0.0
2020-02-26,4469.0,4495.0,4415.0,4418.0,179536,152062,0.0
2020-02-27,4394.0,4421.0,4377.0,4391.0,144093,154237,0.0
2020-02-28,4350.0,4387.0,4283.0,4336.0,213409,146675,0.0
2020-03-02,4320.0,4389.0,4320.0,4367.0,172095,148552,0.0
2020-03-03,4400.0,4423.0,4345.0,4364.0,160173,152968,0.0
2020-03-04,4380.0,4409.0,4338.0,4354.0,163349,156463,0.0
2020-03-05,4366.0,4371.0,4327.0,4340.0,154357,164224,0.0
2020-03-06,4312.0,4319.0,4254.0,4286.0,225956,175831,0.0
2020-03-09,4069.0,4069.0,4069.0,4069.0,10787,169852,0.0
2020-03-10,3760.0,4160.0,3760.0,4122.0,353876,141129,4026.0
2020-03-11,4134.0,4149.0,4035.0,4054.0,176127,141933,0.0
2020-03-12,4015.0,4049.0,3905.0,4000.0,256272,146424,0.0
2020-03-13,3962.0,4019.0,3925.0,4001.0,229258,142768,0.0
2020-03-16,3976.0,3990.0,3894.0,3895.0,221705,144057,0.0
2020-03-17,3888.0,3906.0,3775.0,3838.0,318878,146551,0.0
2020-03-18,3792.0,3848.0,3693.0,3700.0,306065,145531,3779.0
2020-03-19,3637.0,3680.0,3591.0,3591.0,233793,139538,0.0
2020-03-20,3714.0,3720.0,3604.0,3666.0,265594,129875,0.0
2020-03-23,3552.0,3552.0,3461.0,3474.0,269534,128393,0.0
2020-03-24,3550.0,3550.0,3206.0,3362.0,563330,141417,0.0
2020-03-25,3360.0,3407.0,3281.0,3312.0,392860,152731,0.0
2020-03-26,3292.0,3371.0,3245.0,3280.0,400568,152030,0.0
2020-03-27,3267.0,3295.0,3116.0,3162.0,554675,163885,0.0
2020-03-30,3060.0,3092.0,2926.0,2935.0,439969,170861,0.0
2020-03-31,2976.0,3185.0,2950.0,3121.0,564291,137540,0.0
2020-04-01,3104.0,3130.0,3038.0,3113.0,332186,132199,0.0
2020-04-02,3110.0,3365.0,3103.0,3358.0,466184,108967,0.0
2020-04-03,3350.0,3362.0,3227.0,3337.0,386747,95832,0.0
2020-04-07,3490.0,3490.0,3343.0,3373.0,268107,96058,0.0
2020-04-08,3340.0,3420.0,3265.0,3369.0,314089,87442,0.0
2020-04-09,3405.0,3448.0,3374.0,3430.0,227737,84851,0.0
2020-04-10,3335.0,3471.0,3307.0,3451.0,295978,80019,0.0
2020-04-13,3500.0,3577.0,3330.0,3339.0,247415,73749,0.0
2020-04-14,3503.0,3593.0,3488.0,3577.0,345377,158521,0.0
2020-04-15,3527.0,3618.0,3505.0,3556.0,352474,166477,0.0
2020-04-16,3528.0,3591.0,3506.0,3553.0,284626,172006,0.0
2020-04-17,3577.0,3700.0,3574.0,3640.0,448148,183162,0.0
2020-04-20,3630.0,3727.0,3604.0,3712.0,389433,213900,0.0
2020-04-21,3666.0,3717.0,3440.0,3512.0,672484,189796,0.0
2020-04-22,3399.0,3449.0,3268.0,3295.0,553510,193006,0.0
2020-04-23,3367.0,3574.0,3366.0,3519.0,480795,186771,0.0
2020-04-24,3542.0,3566.0,3389.0,3407.0,454028,199595,0.0
2020-04-27,3402.0,3494.0,3373.0,3454.0,352301,196184,0.0
2020-04-28,3434.0,3500.0,3407.0,3500.0,355456,199220,0.0
2020-04-29,3536.0,3626.0,3535.0,3601.0,376719,196672,0.0
2020-04-30,3688.0,3698.0,3582.0,3665.0,277356,183576,0.0
2020-05-06,3780.0,3784.0,3665.0,3697.0,271077,190306,0.0
2020-05-07,3664.0,3740.0,3660.0,3690.0,285482,193785,0.0
2020-05-08,3736.0,3737.0,3632.0,3665.0,290838,190443,0.0
2020-05-11,3661.0,3683.0,3586.0,3610.0,303313,202228,0.0
2020-05-12,3607.0,3627.0,3562.0,3594.0,207390,202926,0.0
2020-05-13,3600.0,3645.0,3538.0,3605.0,358517,201438,0.0
2020-05-14,3620.0,3680.0,3583.0,3677.0,318338,210085,0.0
2020-05-15,3680.0,3747.0,3645.0,3731.0,369790,212621,0.0
2020-05-18,3718.0,3754.0,3666.0,3694.0,318709,204278,0.0
2020-05-19,3707.0,3778.0,3671.0,3699.0,340541,205840,0.0
2020-05-20,3703.0,3793.0,3703.0,3746.0,297436,208874,0.0
2020-05-21,3755.0,3838.0,3749.0,3799.0,403992,212809,0.0
2020-05-22,3809.0,3820.0,3684.0,3704.0,358849,197478,0.0
2020-05-25,3730.0,3767.0,3703.0,3734.0,259639,199065,0.0
2020-05-26,3720.0,3764.0,3713.0,3734.0,211566,195921,0.0
2020-05-27,3734.0,3787.0,3707.0,3744.0,289082,198575,0.0
2020-05-28,3735.0,3749.0,3667.0,3746.0,330142,193496,0.0
2020-05-29,3754.0,3765.0,3700.0,3717.0,256647,195522,0.0
2020-06-01,3705.0,3796.0,3705.0,3793.0,254973,203436,0.0
2020-06-02,3775.0,3806.0,3751.0,3766.0,230885,205286,0.0
2020-06-03,3777.0,3847.0,3754.0,3818.0,309308,204748,0.0
2020-06-04,3800.0,3810.0,3755.0,3767.0,211399,197480,0.0
2020-06-05,3768.0,3787.0,3727.0,3738.0,263285,218835,0.0
2020-06-08,3770.0,3800.0,3738.0,3772.0,349190,211914,0.0
2020-06-09,3756.0,3772.0,3695.0,3709.0,323523,234379,0.0
2020-06-10,3700.0,3745.0,3698.0,3725.0,202621,216179,0.0
2020-06-11,3740.0,3740.0,3670.0,3684.0,250313,218458,0.0
2020-06-12,3660.0,3679.0,3555.0,3644.0,325901,215686,0.0
2020-06-15,3650.0,3685.0,3590.0,3610.0,270989,220627,0.0
2020-06-16,3607.0,3677.0,3586.0,3662.0,203628,212707,0.0
2020-06-17,3680.0,3683.0,3616.0,3642.0,208197,221995,0.0
2020-06-18,3646.0,3680.0,3625.0,3675.0,194090,212211,0.0
2020-06-19,3685.0,3750.0,3657.0,3729.0,286535,216743,0.0
2020-06-22,3735.0,3737.0,3683.0,3699.0,202289,210359,0.0
2020-06-23,3699.0,3721.0,3681.0,3704.0,181563,206390,0.0
2020-06-24,3711.0,3715.0,3665.0,3673.0,181394,202545,0.0
2020-06-29,3633.0,3660.0,3583.0,3595.0,212594,221757,0.0
2020-06-30,3603.0,3626.0,3602.0,3605.0,146769,222293,0.0
2020-07-01,3590.0,3618.0,3570.0,3600.0,184946,221498,0.0
2020-07-02,3597.0,3624.0,3541.0,3614.0,305066,224484,0.0
2020-07-03,3614.0,3642.0,3603.0,3615.0,198898,225955,0.0
2020-07-06,3616.0,3657.0,3586.0,3630.0,262400,230294,0.0
2020-07-07,3628.0,3633.0,3524.0,3548.0,400586,281282,0.0
2020-07-08,3548.0,3593.0,3544.0,3567.0,223216,257003,0.0
2020-07-09,3568.0,3586.0,3537.0,3573.0,223801,256902,0.0
2020-07-10,3569.0,3575.0,3463.0,3479.0,389487,277697,0.0
2020-07-13,3484.0,3530.0,3484.0,3530.0,225898,255530,0.0
2020-07-14,3528.0,3550.0,3467.0,3544.0,297116,244134,0.0
2020-07-15,3535.0,3600.0,3530.0,3584.0,307405,228525,0.0
2020-07-16,3590.0,3592.0,3563.0,3575.0,198995,217145,0.0
