date,open,high,low,close,volume,hold,settle
2020-01-02,1480.0,1495.0,1477.0,1488.0,73433,186543,1485.0
2020-01-03,1489.0,1508.0,1487.0,1506.0,144300,209139,1500.0
2020-01-06,1508.0,1514.0,1501.0,1507.0,119220,221287,1508.0
2020-01-07,1509.0,1511.0,1505.0,1507.0,62484,225812,1508.0
2020-01-08,1506.0,1515.0,1506.0,1508.0,66752,223965,1510.0
2020-01-09,1508.0,1510.0,1502.0,1503.0,90963,236847,1506.0
2020-01-10,1503.0,1512.0,1503.0,1507.0,63553,233997,1507.0
2020-01-13,1502.0,1505.0,1490.0,1490.0,136858,248295,1496.0
2020-01-14,1493.0,1497.0,1491.0,1493.0,55815,245453,1494.0
2020-01-15,1499.0,1527.0,1499.0,1504.0,110677,256753,1506.0
2020-01-16,1504.0,1512.0,1498.0,1507.0,89252,249174,1505.0
2020-01-17,1504.0,1508.0,1503.0,1506.0,41817,246301,1506.0
2020-01-20,1506.0,1509.0,1494.0,1505.0,79841,243256,1502.0
2020-01-21,1505.0,1505.0,1493.0,1495.0,72622,233509,1498.0
2020-01-22,1495.0,1504.0,1485.0,1501.0,115756,224030,1495.0
2020-01-23,1499.0,1499.0,1475.0,1476.0,94121,203161,1486.0
2020-02-03,1385.0,1425.0,1381.0,1381.0,161985,185349,1402.0
2020-02-04,1382.0,1402.0,1376.0,1384.0,151772,193774,1389.0
2020-02-05,1383.0,1398.0,1371.0,1389.0,166129,200294,1387.0
2020-02-06,1390.0,1440.0,1385.0,1422.0,189603,171491,1404.0
2020-02-07,1421.0,1421.0,1409.0,1416.0,67781,167694,1415.0
2020-02-10,1412.0,1422.0,1409.0,1418.0,53675,171689,1416.0
2020-02-11,1419.0,1436.0,1416.0,1424.0,110109,173689,1427.0
2020-02-12,1424.0,1429.0,1417.0,1426.0,62249,172721,1424.0
2020-02-13,1424.0,1428.0,1397.0,1403.0,141943,187954,1409.0
2020-02-14,1401.0,1407.0,1399.0,1405.0,48281,181723,1404.0
2020-02-17,1405.0,1412.0,1391.0,1408.0,80842,177762,1404.0
2020-02-18,1408.0,1409.0,1398.0,1400.0,69195,177909,1402.0
2020-02-19,1402.0,1412.0,1399.0,1406.0,49706,172164,1406.0
2020-02-20,1406.0,1429.0,1404.0,1428.0,147858,165276,1419.0
2020-02-21,1428.0,1437.0,1421.0,1429.0,97593,166663,1430.0
2020-02-24,1426.0,1437.0,1416.0,1436.0,121022,174134,1426.0
2020-02-25,1426.0,1446.0,1422.0,1429.0,139851,181039,1433.0
2020-02-26,1423.0,1431.0,1419.0,1425.0,68319,174462,1425.0
2020-02-27,1425.0,1426.0,1412.0,1412.0,86408,172825,1418.0
2020-02-28,1400.0,1409.0,1383.0,1389.0,160753,175669,1397.0
2020-03-02,1391.0,1428.0,1382.0,1412.0,160807,159597,1409.0
2020-03-03,1415.0,1425.0,1392.0,1394.0,112551,170602,1405.0
2020-03-04,1395.0,1402.0,1388.0,1392.0,91881,168032,1394.0
2020-03-05,1393.0,1402.0,1390.0,1394.0,75369,163036,1396.0
2020-03-06,1391.0,1397.0,1380.0,1387.0,103659,162841,1389.0
2020-03-09,1362.0,1380.0,1350.0,1372.0,130037,161374,1364.0
2020-03-10,1372.0,1390.0,1368.0,1384.0,92911,142898,1380.0
2020-03-11,1386.0,1392.0,1379.0,1383.0,63529,136012,1386.0
2020-03-12,1383.0,1391.0,1372.0,1384.0,83671,137023,1381.0
2020-03-13,1378.0,1387.0,1352.0,1361.0,173953,134531,1371.0
2020-03-16,1355.0,1366.0,1341.0,1343.0,145682,151892,1352.0
2020-03-17,1341.0,1355.0,1337.0,1348.0,102353,135554,1346.0
2020-03-18,1340.0,1357.0,1335.0,1335.0,104263,136988,1345.0
2020-03-19,1341.0,1342.0,1291.0,1324.0,211220,129085,1317.0
2020-03-20,1331.0,1340.0,1319.0,1328.0,93767,119254,1329.0
2020-03-23,1319.0,1319.0,1284.0,1287.0,126339,121477,1300.0
2020-03-24,1292.0,1304.0,1280.0,1300.0,115662,117499,1293.0
2020-03-25,1315.0,1317.0,1289.0,1300.0,90862,109287,1302.0
2020-03-26,1300.0,1301.0,1275.0,1279.0,81759,113234,1285.0
2020-03-27,1282.0,1287.0,1273.0,1278.0,64528,108202,1280.0
2020-03-30,1273.0,1293.0,1264.0,1285.0,97024,97674,1280.0
2020-03-31,1289.0,1298.0,1282.0,1291.0,66813,80994,1290.0
2020-04-01,1281.0,1288.0,1264.0,1269.0,71088,64832,1279.0
2020-04-02,1273.0,1284.0,1237.0,1280.0,231594,120132,1260.0
2020-04-03,1280.0,1281.0,1219.0,1222.0,227897,138206,1243.0
2020-04-07,1230.0,1249.0,1218.0,1241.0,168121,144952,1231.0
2020-04-08,1230.0,1249.0,1224.0,1244.0,158153,157273,1239.0
2020-04-09,1246.0,1254.0,1237.0,1244.0,140278,168640,1246.0
2020-04-10,1239.0,1260.0,1231.0,1256.0,167521,171558,1249.0
2020-04-13,1244.0,1253.0,1199.0,1199.0,282977,206429,1228.0
2020-04-14,1192.0,1226.0,1177.0,1219.0,274275,184099,1206.0
2020-04-15,1208.0,1255.0,1207.0,1249.0,507852,220338,1245.0
2020-04-16,1246.0,1250.0,1217.0,1230.0,308928,206385,1232.0
2020-04-17,1230.0,1279.0,1228.0,1271.0,444414,249402,1258.0
2020-04-20,1260.0,1277.0,1247.0,1256.0,306599,261381,1260.0
2020-04-21,1251.0,1254.0,1223.0,1236.0,273373,227675,1234.0
2020-04-22,1230.0,1247.0,1219.0,1240.0,244956,227409,1237.0
2020-04-23,1244.0,1260.0,1226.0,1228.0,277755,239253,1246.0
2020-04-24,1233.0,1253.0,1231.0,1248.0,248580,240555,1243.0
2020-04-27,1254.0,1272.0,1253.0,1261.0,243162,232374,1262.0
2020-04-28,1254.0,1257.0,1239.0,1244.0,179841,223642,1249.0
2020-04-29,1254.0,1273.0,1241.0,1261.0,184916,223058,1261.0
2020-04-30,1262.0,1277.0,1258.0,1269.0,155116,214984,1266.0
2020-05-06,1277.0,1302.0,1270.0,1297.0,196563,231204,1289.0
2020-05-07,1293.0,1312.0,1290.0,1310.0,228733,251412,1300.0
2020-05-08,1315.0,1325.0,1305.0,1318.0,252365,240604,1314.0
2020-05-11,1312.0,1347.0,1310.0,1340.0,340678,253293,1334.0
2020-05-12,1342.0,1347.0,1332.0,1345.0,210935,248350,1339.0
2020-05-13,1345.0,1382.0,1341.0,1368.0,435580,270714,1362.0
2020-05-14,1366.0,1376.0,1352.0,1361.0,318589,249759,1362.0
2020-05-15,1361.0,1368.0,1337.0,1343.0,334491,228076,1352.0
2020-05-18,1348.0,1374.0,1344.0,1369.0,260913,219776,1362.0
2020-05-19,1370.0,1396.0,1370.0,1377.0,344766,226523,1384.0
2020-05-20,1381.0,1387.0,1370.0,1379.0,225492,223228,1378.0
2020-05-21,1379.0,1391.0,1372.0,1388.0,198451,218861,1380.0
2020-05-22,1388.0,1393.0,1361.0,1364.0,305672,216881,1375.0
2020-05-25,1367.0,1430.0,1365.0,1429.0,515026,235469,1407.0
2020-05-26,1428.0,1441.0,1423.0,1431.0,395191,239059,1431.0
2020-05-27,1432.0,1432.0,1416.0,1422.0,285403,221280,1422.0
2020-05-28,1420.0,1431.0,1414.0,1428.0,236458,216897,1424.0
2020-05-29,1428.0,1436.0,1412.0,1429.0,285737,208056,1426.0
2020-06-01,1429.0,1447.0,1426.0,1437.0,315595,214951,1438.0
2020-06-02,1434.0,1454.0,1426.0,1447.0,256508,218874,1438.0
2020-06-03,1447.0,1450.0,1433.0,1438.0,189734,209837,1442.0
2020-06-04,1438.0,1444.0,1427.0,1428.0,218049,216196,1435.0
2020-06-05,1430.0,1441.0,1420.0,1437.0,220004,211471,1430.0
2020-06-08,1440.0,1445.0,1425.0,1437.0,191059,206985,1434.0
2020-06-09,1437.0,1441.0,1411.0,1420.0,327397,232041,1422.0
2020-06-10,1420.0,1432.0,1416.0,1424.0,213428,235606,1425.0
2020-06-11,1421.0,1451.0,1418.0,1445.0,330093,242475,1435.0
2020-06-12,1440.0,1464.0,1436.0,1454.0,379841,240175,1451.0
2020-06-15,1453.0,1465.0,1445.0,1452.0,255660,231056,1455.0
2020-06-16,1454.0,1459.0,1448.0,1453.0,148842,230404,1453.0
2020-06-17,1452.0,1452.0,1435.0,1447.0,222207,223242,1443.0
2020-06-18,1451.0,1456.0,1443.0,1446.0,150243,216409,1449.0
2020-06-19,1442.0,1457.0,1442.0,1451.0,163763,212904,1449.0
2020-06-22,1455.0,1463.0,1449.0,1455.0,135973,214783,1454.0
2020-06-23,1451.0,1457.0,1448.0,1454.0,126128,220225,1453.0
2020-06-24,1458.0,1485.0,1452.0,1484.0,270880,224404,1472.0
2020-06-29,1476.0,1481.0,1469.0,1473.0,141750,213654,1475.0
2020-06-30,1478.0,1486.0,1470.0,1477.0,182071,227206,1478.0
2020-07-01,1474.0,1492.0,1473.0,1490.0,149990,236670,1485.0
2020-07-02,1488.0,1502.0,1484.0,1497.0,185144,245861,1492.0
2020-07-03,1502.0,1502.0,1487.0,1490.0,135891,234546,1492.0
2020-07-06,1486.0,1507.0,1486.0,1503.0,149885,238650,1497.0
2020-07-07,1508.0,1531.0,1500.0,1527.0,285372,267926,1518.0
2020-07-08,1523.0,1537.0,1520.0,1530.0,171922,260051,1528.0
2020-07-09,1534.0,1548.0,1527.0,1543.0,202942,267153,1537.0
2020-07-10,1539.0,1548.0,1534.0,1542.0,201457,264119,1541.0
2020-07-13,1542.0,1603.0,1541.0,1591.0,477229,260388,1580.0
2020-07-14,1593.0,1619.0,1586.0,1599.0,415114,257500,1601.0
2020-07-15,1600.0,1612.0,1591.0,1605.0,237509,255681,1601.0
2020-07-16,1602.0,1608.0,1593.0,1597.0,234874,257358,1600.0
2020-07-17,1602.0,1658.0,1599.0,1646.0,580432,278167,1631.0
2020-07-20,1640.0,1647.0,1627.0,1637.0,312894,260351,1637.0
2020-07-21,1643.0,1695.0,1640.0,1689.0,549212,267507,1677.0
2020-07-22,1689.0,1745.0,1683.0,1696.0,909010,248060,1721.0
2020-07-23,1702.0,1735.0,1655.0,1679.0,1156031,239682,1688.0
2020-07-24,1685.0,1685.0,1647.0,1663.0,725377,221383,1665.0
2020-07-27,1659.0,1705.0,1659.0,1668.0,638112,221627,1683.0
