date,open,high,low,close,volume,hold,settle
2020-01-02,3601.0,3620.0,3566.0,3571.0,144276,281190,3587.0
2020-01-03,3572.0,3589.0,3557.0,3560.0,105504,275169,3573.0
2020-01-06,3561.0,3583.0,3551.0,3579.0,111958,278891,3570.0
2020-01-07,3579.0,3598.0,3576.0,3588.0,90990,279738,3587.0
2020-01-08,3593.0,3651.0,3589.0,3643.0,179081,298538,3627.0
2020-01-09,3648.0,3648.0,3585.0,3585.0,161784,294455,3619.0
2020-01-10,3586.0,3612.0,3586.0,3600.0,95300,294036,3598.0
2020-01-13,3600.0,3600.0,3561.0,3564.0,113831,280242,3579.0
2020-01-14,3582.0,3598.0,3550.0,3596.0,105846,281628,3574.0
2020-01-15,3598.0,3616.0,3574.0,3575.0,126453,286868,3593.0
2020-01-16,3570.0,3616.0,3570.0,3591.0,132224,282668,3594.0
2020-01-17,3599.0,3646.0,3586.0,3635.0,139213,303594,3621.0
2020-01-20,3644.0,3655.0,3623.0,3634.0,119397,304210,3639.0
2020-01-21,3645.0,3645.0,3572.0,3593.0,154504,275259,3598.0
2020-01-22,3584.0,3588.0,3519.0,3569.0,177199,258603,3549.0
2020-01-23,3544.0,3559.0,3507.0,3521.0,135688,248057,3529.0
2020-02-03,3246.0,3300.0,3246.0,3246.0,172215,229466,3266.0
2020-02-04,3231.0,3340.0,3226.0,3312.0,178497,215601,3294.0
2020-02-05,3310.0,3328.0,3287.0,3309.0,119624,220283,3305.0
2020-02-06,3307.0,3316.0,3283.0,3307.0,125426,231777,3302.0
2020-02-07,3311.0,3335.0,3292.0,3320.0,84708,234966,3310.0
2020-02-10,3300.0,3324.0,3281.0,3311.0,109141,241958,3306.0
2020-02-11,3306.0,3464.0,3305.0,3378.0,267608,240465,3383.0
2020-02-12,3389.0,3408.0,3368.0,3401.0,125466,241954,3393.0
2020-02-13,3396.0,3417.0,3383.0,3396.0,133279,240810,3399.0
2020-02-14,3390.0,3414.0,3374.0,3410.0,108819,244747,3394.0
2020-02-17,3395.0,3439.0,3392.0,3430.0,121881,242469,3417.0
2020-02-18,3430.0,3439.0,3406.0,3414.0,132002,239460,3423.0
2020-02-19,3414.0,3420.0,3390.0,3405.0,97798,242459,3404.0
2020-02-20,3402.0,3475.0,3401.0,3455.0,187528,240725,3445.0
2020-02-21,3455.0,3488.0,3451.0,3484.0,140705,237494,3470.0
2020-02-24,3499.0,3512.0,3462.0,3490.0,185255,252610,3491.0
2020-02-25,3451.0,3499.0,3441.0,3490.0,184809,251385,3472.0
2020-02-26,3480.0,3487.0,3445.0,3461.0,149617,243871,3467.0
2020-02-27,3466.0,3470.0,3424.0,3437.0,146456,248802,3440.0
2020-02-28,3420.0,3420.0,3353.0,3377.0,237174,240195,3382.0
2020-03-02,3410.0,3486.0,3360.0,3469.0,224152,245960,3437.0
2020-03-03,3485.0,3500.0,3447.0,3457.0,153694,248098,3475.0
2020-03-04,3455.0,3495.0,3443.0,3491.0,137448,253619,3471.0
2020-03-05,3491.0,3518.0,3476.0,3483.0,136386,259941,3492.0
2020-03-06,3471.0,3488.0,3457.0,3461.0,113190,261648,3470.0
2020-03-09,3425.0,3469.0,3380.0,3466.0,222435,241333,3432.0
