date,open,high,low,close,volume,hold,settle
2020-01-02,650.0,662.0,649.0,655.5,563785,631791,655.5
2020-01-03,656.0,670.5,654.5,666.0,613616,684480,663.0
2020-01-06,665.0,669.5,661.0,668.0,491286,671579,664.5
2020-01-07,667.5,669.0,663.0,666.5,374069,671249,665.5
2020-01-08,667.0,684.5,666.0,679.5,735163,702536,677.0
2020-01-09,678.5,679.0,656.0,657.0,700050,623645,667.0
2020-01-10,656.5,664.0,656.5,659.0,365592,624931,659.5
2020-01-13,659.0,663.0,651.5,657.0,587199,622709,0.0
2020-01-14,657.5,673.5,657.5,671.5,501302,650052,666.0
2020-01-15,671.0,671.5,663.5,664.0,440456,638226,666.5
2020-01-16,666.0,670.5,656.5,658.5,534936,629191,664.0
2020-01-17,660.5,670.5,659.5,669.5,439389,658237,666.5
2020-01-20,670.5,675.0,666.0,670.0,355331,644799,670.5
2020-01-21,670.0,672.5,665.0,671.0,388594,642837,668.5
2020-01-22,669.5,674.0,655.5,673.0,599641,622034,665.0
2020-01-23,670.0,671.0,644.0,649.5,690515,526110,659.0
2020-02-03,606.5,606.5,606.5,606.5,69950,506225,606.5
2020-02-04,570.5,602.0,569.5,591.0,742645,507768,587.0
2020-02-05,590.5,595.0,576.5,578.0,613981,576317,0.0
2020-02-06,579.0,593.5,574.5,590.0,821377,558275,0.0
2020-02-07,588.0,591.5,579.5,587.0,568827,561127,0.0
2020-02-10,581.0,584.5,574.0,581.5,550247,567279,0.0
2020-02-11,582.0,612.0,581.5,605.5,1269038,603502,600.5
2020-02-12,606.0,622.0,606.0,619.5,881698,661303,614.5
2020-02-13,621.0,628.0,617.0,624.5,825190,694936,0.0
2020-02-14,623.0,629.0,619.0,628.5,731055,699353,623.0
2020-02-17,626.5,640.0,620.0,639.5,919766,750623,630.5
2020-02-18,640.5,645.0,634.0,639.5,875466,776232,0.0
2020-02-19,635.0,646.5,634.0,645.5,644818,799905,0.0
2020-02-20,645.0,673.5,644.0,667.0,1190646,797680,0.0
2020-02-21,667.0,677.5,663.0,675.5,997443,859941,0.0
2020-02-24,678.0,684.5,664.0,674.0,1143211,855159,676.0
2020-02-25,660.0,675.0,656.0,672.5,1026065,780904,0.0
2020-02-26,665.0,668.0,645.5,646.5,1293149,766259,0.0
2020-02-27,646.0,646.0,630.0,633.0,1056098,718802,0.0
2020-02-28,620.0,626.0,606.0,616.5,1277989,708123,0.0
2020-03-02,616.0,654.0,615.5,653.0,1378317,711171,0.0
2020-03-03,660.0,666.0,643.0,644.5,1065350,730544,0.0
2020-03-04,641.5,662.5,639.0,660.0,1190869,753563,0.0
2020-03-05,663.0,670.0,658.0,665.5,917288,778973,0.0
2020-03-06,662.0,663.0,649.0,650.0,956044,730278,0.0
2020-03-09,620.0,641.5,620.0,640.0,1214930,666974,0.0
2020-03-10,638.0,666.0,637.5,662.5,1058948,699989,653.5
2020-03-11,665.0,668.5,652.5,653.5,887577,666263,0.0
2020-03-12,653.0,666.5,646.0,663.0,1192471,667584,0.0
2020-03-13,657.5,677.5,642.5,676.5,1612194,640567,0.0
2020-03-16,673.0,674.0,659.0,661.5,901009,607401,0.0
2020-03-17,660.0,672.5,654.0,671.0,998702,613215,0.0
2020-03-18,670.0,692.0,667.5,676.0,1558923,615252,678.0
2020-03-19,676.0,682.0,639.0,678.0,1970977,556730,0.0
2020-03-20,680.5,689.0,651.0,661.5,1597541,513410,0.0
2020-03-23,645.0,650.0,629.0,629.0,993703,484990,0.0
2020-03-24,632.0,644.0,619.0,639.5,1363220,480451,0.0
2020-03-25,653.0,666.5,649.5,665.0,1134502,468545,0.0
2020-03-26,663.0,669.0,654.0,662.0,794341,445988,0.0
2020-03-27,664.5,667.0,655.0,659.0,626837,422343,0.0
2020-03-30,652.5,652.5,638.5,645.5,610437,392317,0.0
2020-03-31,646.5,654.5,644.5,650.5,401936,351683,0.0
2020-04-01,578.0,581.5,551.5,557.5,1084698,584092,0.0
2020-04-02,554.0,580.5,542.0,577.5,1439591,600397,0.0
2020-04-03,578.0,582.5,561.5,568.0,953155,563201,0.0
2020-04-07,565.5,573.0,557.0,569.5,900225,610140,0.0
2020-04-08,568.5,588.0,564.5,584.0,1133601,611244,0.0
2020-04-09,585.0,600.5,582.5,597.5,1004151,638175,0.0
2020-04-10,597.5,603.0,590.0,599.5,832422,622474,0.0
2020-04-13,600.0,607.0,593.0,596.0,769667,628783,0.0
2020-04-14,598.0,609.5,596.0,606.5,863929,672551,0.0
2020-04-15,605.5,614.0,603.0,606.5,862540,668933,0.0
2020-04-16,603.0,610.5,597.0,606.0,1002711,625880,0.0
2020-04-17,609.0,621.5,606.5,612.0,1032785,620600,0.0
2020-04-20,617.0,624.0,612.0,620.0,796085,644175,0.0
2020-04-21,616.0,616.0,598.5,602.0,1036341,650007,0.0
2020-04-22,597.0,614.0,594.0,613.0,958406,670323,0.0
2020-04-23,615.5,617.5,601.5,604.5,873935,662801,0.0
2020-04-24,605.0,613.0,602.5,607.0,891668,633932,0.0
2020-04-27,607.0,611.5,600.5,602.0,721909,626528,0.0
2020-04-28,602.0,606.5,592.0,594.5,1048683,639053,0.0
2020-04-29,594.0,599.0,591.5,595.5,630156,607527,0.0
2020-04-30,599.0,613.0,599.0,610.0,726396,587685,0.0
2020-05-06,615.0,618.0,607.5,610.5,573441,611122,0.0
2020-05-07,612.0,623.0,609.0,623.0,761803,684735,0.0
2020-05-08,625.0,636.5,624.0,633.0,1005981,686939,0.0
2020-05-11,636.0,637.5,626.5,630.0,829784,724317,0.0
2020-05-12,631.5,638.0,627.5,638.0,687479,759415,0.0
2020-05-13,641.0,647.0,634.5,645.5,1037693,794987,0.0
2020-05-14,647.0,650.0,643.0,647.5,708083,808927,0.0
2020-05-15,646.0,668.0,643.5,668.0,1048086,868507,0.0
2020-05-18,666.0,705.0,663.5,691.5,1200378,858068,0.0
2020-05-19,693.5,711.0,691.0,711.0,990476,896583,0.0
2020-05-20,707.5,714.0,702.0,704.5,1051719,894377,0.0
2020-05-21,704.5,723.5,701.0,722.0,1067452,927794,0.0
2020-05-22,722.0,734.0,713.5,716.5,1739518,909873,0.0
2020-05-25,717.0,729.0,709.0,721.5,1382365,903220,0.0
2020-05-26,720.0,723.0,695.0,698.5,1473557,831897,0.0
2020-05-27,696.0,708.5,685.5,706.0,1555363,878654,0.0
2020-05-28,705.0,713.0,700.0,710.5,1057404,877607,0.0
2020-05-29,713.0,753.5,712.0,752.0,1559848,969900,0.0
2020-06-01,746.0,775.5,742.0,752.5,1842938,892213,0.0
2020-06-02,749.5,765.0,738.0,757.0,1695996,873941,0.0
2020-06-03,755.0,760.5,745.5,755.0,1255169,878330,0.0
2020-06-04,755.0,770.0,736.0,737.0,1742332,854795,0.0
2020-06-05,735.0,749.0,733.0,746.0,1072403,863638,0.0
2020-06-08,750.5,798.0,748.0,783.0,1699794,886780,0.0
2020-06-09,780.5,781.0,763.0,769.5,1342466,831347,0.0
2020-06-10,769.0,773.0,753.0,759.5,1212623,849703,0.0
2020-06-11,759.0,771.0,753.0,759.0,1295580,854910,0.0
2020-06-12,760.5,778.0,746.5,777.0,1580916,898386,0.0
2020-06-15,779.0,788.0,756.5,762.5,1612548,856839,0.0
2020-06-16,763.0,786.0,761.5,781.0,1188265,916554,0.0
2020-06-17,782.0,786.5,764.0,766.5,1233375,870803,0.0
2020-06-18,767.0,775.5,758.5,765.0,1440804,865964,0.0
2020-06-19,768.0,778.0,764.5,768.0,1117706,834286,0.0
2020-06-22,769.0,772.0,750.5,753.5,1124944,844603,0.0
2020-06-23,753.0,762.0,748.5,757.0,817218,824806,0.0
2020-06-24,760.0,772.0,756.0,771.0,829509,821590,0.0
2020-06-29,765.0,766.0,733.0,736.0,1092545,776656,0.0
2020-06-30,738.0,752.0,737.5,744.5,808873,785970,0.0
2020-07-01,744.0,750.0,730.5,742.0,851128,770020,0.0
2020-07-02,738.0,747.5,735.0,738.5,712237,758409,0.0
2020-07-03,741.0,748.5,738.5,746.5,762156,752610,0.0
2020-07-06,747.5,760.0,740.0,750.5,972921,730997,0.0
2020-07-07,752.0,773.5,749.0,767.0,876258,756860,0.0
2020-07-08,767.0,791.0,765.5,788.0,928912,809803,0.0
2020-07-09,790.0,800.5,782.0,789.0,974604,776280,0.0
2020-07-10,790.0,797.0,785.0,790.5,771307,792961,0.0
2020-07-13,793.0,837.0,793.0,829.0,1292816,788527,0.0
2020-07-14,830.0,845.0,823.5,838.5,935718,765579,0.0
2020-07-15,839.0,843.5,824.5,837.0,791457,718673,0.0
2020-07-16,836.0,839.5,820.0,826.5,958587,697282,0.0
2020-07-17,826.0,830.5,807.0,826.0,996108,669808,0.0
2020-07-20,825.0,829.0,811.0,817.0,701050,661314,818.5
2020-07-21,815.0,848.0,812.0,841.0,885774,679814,832.0
2020-07-22,842.0,861.5,836.5,841.5,827704,651046,848.0
2020-07-23,838.5,855.0,835.0,845.5,719570,641938,845.5
2020-07-24,845.0,849.0,815.5,827.5,966500,600965,831.0
2020-07-27,828.0,837.0,809.0,814.5,694536,567344,821.0
