date,open,high,low,close,volume,hold,settle
2020-01-02,1893.0,1908.0,1858.5,1868.0,130070,148475,1879.0
2020-01-03,1862.5,1878.0,1862.0,1867.0,84283,139411,1869.5
2020-01-06,1864.0,1884.0,1859.5,1883.0,124754,136784,1873.0
2020-01-07,1885.0,1892.5,1876.5,1891.0,95611,135175,1883.5
2020-01-08,1895.5,1927.0,1888.5,1908.5,150535,151911,1906.5
2020-01-09,1909.0,1912.5,1873.5,1879.5,128521,136385,1893.5
2020-01-10,1873.0,1889.5,1873.0,1882.0,72369,128603,1882.5
2020-01-13,1880.0,1884.0,1843.5,1848.0,131631,138361,0.0
2020-01-14,1847.0,1868.0,1847.0,1862.0,76174,119337,1857.5
2020-01-15,1861.0,1866.0,1849.0,1852.5,84648,128536,1856.5
2020-01-16,1852.5,1869.5,1847.0,1857.5,99622,122612,1859.0
2020-01-17,1854.0,1882.5,1854.0,1875.0,110406,128508,1867.5
2020-01-20,1874.0,1889.0,1870.0,1880.5,68894,112378,1878.5
2020-01-21,1875.5,1880.0,1850.0,1861.0,90403,117811,1864.0
2020-01-22,1860.0,1869.5,1813.0,1859.0,151776,118584,1839.5
2020-01-23,1858.0,1862.0,1823.5,1832.0,79956,103686,1841.5
2020-02-03,1750.0,1798.5,1732.0,1733.0,148146,117023,1761.5
2020-02-04,1733.5,1785.0,1731.5,1778.0,110844,110196,1767.0
2020-02-05,1776.0,1788.5,1766.0,1775.0,88214,109693,0.0
2020-02-06,1775.0,1798.0,1767.0,1793.5,92161,117312,0.0
2020-02-07,1793.0,1799.5,1782.0,1793.5,54791,106799,0.0
2020-02-10,1785.5,1811.5,1775.0,1799.0,88139,120121,0.0
2020-02-11,1799.0,1880.0,1793.0,1855.0,149559,128451,1840.0
2020-02-12,1855.5,1893.5,1855.5,1886.0,116631,123881,1869.5
2020-02-13,1886.0,1894.0,1868.0,1880.0,93388,122549,0.0
2020-02-14,1880.5,1887.0,1867.0,1881.5,76292,116844,1877.0
2020-02-17,1871.5,1886.0,1858.5,1871.0,107021,127843,1871.0
2020-02-18,1870.0,1873.0,1841.0,1849.0,116944,125651,0.0
2020-02-19,1849.0,1859.0,1833.0,1842.0,87433,124200,0.0
2020-02-20,1845.0,1878.0,1841.0,1875.0,139439,127373,0.0
2020-02-21,1874.5,1876.5,1861.0,1867.0,85894,117090,0.0
2020-02-24,1863.0,1884.0,1837.0,1864.0,137492,133130,1867.5
2020-02-25,1845.0,1870.0,1839.5,1870.0,95386,121292,0.0
2020-02-26,1865.0,1868.5,1842.0,1844.0,97014,130772,0.0
2020-02-27,1842.5,1846.5,1804.0,1805.0,122868,131248,0.0
2020-02-28,1785.0,1818.5,1766.0,1789.0,163414,134590,0.0
2020-03-02,1788.0,1864.0,1787.0,1838.0,151509,120025,0.0
2020-03-03,1846.0,1854.5,1822.0,1828.5,90155,114893,0.0
2020-03-04,1822.0,1840.5,1814.0,1833.0,91249,115868,0.0
2020-03-05,1836.0,1844.0,1824.0,1830.0,74426,109203,0.0
2020-03-06,1825.0,1838.0,1796.5,1801.0,138817,132591,0.0
2020-03-09,1766.0,1815.0,1754.0,1813.5,159862,124516,0.0
2020-03-10,1808.0,1840.0,1794.0,1820.5,133840,113781,1817.0
2020-03-11,1821.0,1832.0,1818.0,1822.0,74347,107803,0.0
2020-03-12,1820.0,1834.0,1808.0,1827.5,111025,115691,0.0
2020-03-13,1815.0,1880.5,1805.0,1879.0,175936,118262,0.0
2020-03-16,1867.0,1872.0,1838.0,1846.5,112123,104802,0.0
2020-03-17,1839.0,1856.5,1835.0,1851.5,85572,101247,0.0
2020-03-18,1842.0,1873.0,1827.0,1828.5,129166,103773,1851.0
2020-03-19,1830.0,1833.0,1742.5,1809.5,217522,103882,0.0
2020-03-20,1814.5,1827.0,1771.5,1786.0,141054,93942,0.0
2020-03-23,1756.0,1789.0,1747.5,1765.0,118355,86907,0.0
2020-03-24,1778.0,1796.0,1766.0,1795.5,100546,76430,0.0
2020-03-25,1805.0,1821.0,1791.0,1801.0,69242,71964,0.0
2020-03-26,1807.0,1807.0,1788.0,1793.0,63394,69460,0.0
2020-03-27,1795.0,1815.0,1781.0,1800.0,76081,69475,0.0
2020-03-30,1783.0,1800.0,1756.0,1767.0,78120,63023,0.0
2020-03-31,1776.0,1781.0,1751.0,1763.5,55695,53021,0.0
2020-04-01,1652.5,1659.0,1582.0,1594.0,172007,142215,0.0
2020-04-02,1591.5,1674.5,1568.0,1665.0,238450,124494,0.0
2020-04-03,1673.0,1673.5,1596.0,1617.5,190341,128877,0.0
2020-04-07,1630.0,1656.5,1625.5,1645.0,134990,119950,0.0
2020-04-08,1639.5,1689.0,1632.0,1680.0,165837,126213,0.0
2020-04-09,1688.0,1704.5,1673.5,1699.0,138078,114146,0.0
2020-04-10,1690.0,1730.5,1690.0,1730.0,144737,121517,0.0
2020-04-13,1730.0,1749.0,1716.0,1730.0,136233,120285,0.0
2020-04-14,1732.0,1746.0,1722.5,1731.0,117621,118157,0.0
2020-04-15,1727.0,1748.0,1698.5,1700.0,173740,130470,0.0
2020-04-16,1700.0,1718.0,1692.5,1717.0,139962,116004,0.0
2020-04-17,1717.5,1738.5,1703.0,1717.5,153090,127624,0.0
2020-04-20,1720.0,1728.0,1706.0,1708.5,94157,117940,0.0
2020-04-21,1698.0,1701.5,1651.0,1670.0,163142,138689,0.0
2020-04-22,1660.0,1697.5,1655.0,1695.0,147246,128215,0.0
2020-04-23,1696.5,1719.5,1680.0,1683.0,168445,141140,0.0
2020-04-24,1683.0,1717.0,1677.5,1715.0,176365,132401,0.0
2020-04-27,1713.0,1715.5,1696.0,1701.5,118142,128028,0.0
2020-04-28,1698.5,1699.5,1636.0,1638.5,228071,161320,0.0
2020-04-29,1648.0,1663.5,1642.0,1657.0,122136,138089,0.0
2020-04-30,1666.0,1698.0,1660.5,1693.0,142778,127992,0.0
2020-05-06,1709.0,1730.0,1700.0,1708.0,110276,117699,0.0
2020-05-07,1710.0,1748.0,1708.5,1741.0,150124,135176,0.0
2020-05-08,1749.0,1764.5,1742.5,1750.0,133180,128533,0.0
2020-05-11,1747.5,1753.5,1723.0,1726.0,151897,128629,0.0
2020-05-12,1721.5,1745.5,1720.5,1740.5,129608,119575,0.0
