date,open,high,low,close,volume,hold,settle
2020-01-02,3615.0,3636.0,3550.0,3553.0,292709,263408,3600.0
2020-01-03,3553.0,3574.0,3505.0,3508.0,301801,285821,3531.0
2020-01-06,3533.0,3558.0,3451.0,3484.0,354644,297042,3489.0
2020-01-07,3490.0,3539.0,3465.0,3537.0,399736,284814,3502.0
2020-01-08,3520.0,3555.0,3507.0,3515.0,287530,297154,3529.0
2020-01-09,3490.0,3505.0,3406.0,3412.0,392515,317069,3454.0
2020-01-10,3400.0,3439.0,3381.0,3398.0,308387,312760,3412.0
2020-01-13,3405.0,3450.0,3373.0,3430.0,382454,308089,0.0
2020-01-14,3440.0,3448.0,3408.0,3415.0,260423,314447,3428.0
2020-01-15,3400.0,3456.0,3390.0,3428.0,277694,320059,3429.0
2020-01-16,3430.0,3543.0,3430.0,3500.0,533214,280847,3494.0
2020-01-17,3500.0,3542.0,3500.0,3519.0,290538,280778,3520.0
2020-01-20,3522.0,3603.0,3472.0,3579.0,491535,247970,3562.0
2020-01-21,3578.0,3590.0,3546.0,3561.0,247892,246766,3564.0
2020-01-22,3505.0,3524.0,3404.0,3435.0,390813,232983,3445.0
2020-01-23,3414.0,3477.0,3410.0,3441.0,252757,211684,3444.0
2020-02-03,3203.0,3203.0,3203.0,3203.0,33506,203467,3203.0
2020-02-04,3869.0,4093.0,3860.0,4093.0,104371,48545,3998.0
2020-02-05,3185.0,3276.0,3182.0,3233.0,501276,223092,0.0
2020-02-06,3233.0,3317.0,3233.0,3307.0,381305,230523,0.0
2020-02-07,3290.0,3345.0,3265.0,3312.0,550606,257392,0.0
2020-02-10,3280.0,3368.0,3271.0,3342.0,520397,265217,0.0
2020-02-11,3341.0,3365.0,3285.0,3313.0,458662,270801,3320.0
2020-02-12,3305.0,3327.0,3231.0,3256.0,520820,282953,3282.0
2020-02-13,3245.0,3270.0,3204.0,3245.0,581553,293720,0.0
2020-02-14,3260.0,3276.0,3220.0,3257.0,416696,286969,3244.0
2020-02-17,3260.0,3359.0,3244.0,3346.0,612451,280537,3309.0
2020-02-18,3346.0,3383.0,3324.0,3363.0,528415,284401,0.0
2020-02-19,3377.0,3486.0,3372.0,3476.0,792745,287072,0.0
2020-02-20,3485.0,3534.0,3445.0,3491.0,902421,259245,0.0
2020-02-21,3498.0,3563.0,3468.0,3560.0,675948,253413,0.0
2020-02-24,3555.0,3586.0,3507.0,3537.0,666282,250924,3551.0
2020-02-25,3515.0,3538.0,3465.0,3521.0,788427,244318,0.0
2020-02-26,3515.0,3547.0,3492.0,3509.0,569312,246261,0.0
2020-02-27,3500.0,3509.0,3362.0,3367.0,736078,255461,0.0
2020-02-28,3333.0,3355.0,3268.0,3268.0,659492,230681,0.0
2020-03-02,3302.0,3464.0,3300.0,3461.0,811096,218812,0.0
2020-03-03,3491.0,3532.0,3405.0,3441.0,718918,225645,0.0
2020-03-04,3456.0,3484.0,3373.0,3473.0,775583,230925,0.0
2020-03-05,3482.0,3496.0,3433.0,3440.0,658352,246529,0.0
2020-03-06,3405.0,3438.0,3354.0,3394.0,668600,242458,0.0
2020-03-09,3350.0,3450.0,3305.0,3414.0,619368,218073,0.0
2020-03-10,3435.0,3450.0,3371.0,3382.0,391067,217596,3411.0
2020-03-11,3381.0,3395.0,3280.0,3281.0,491140,244626,0.0
2020-03-12,3270.0,3296.0,3164.0,3215.0,528818,238660,0.0
2020-03-13,3199.0,3238.0,3112.0,3210.0,492142,213449,0.0
2020-03-16,3221.0,3258.0,3177.0,3205.0,377273,214352,0.0
2020-03-17,3200.0,3237.0,3170.0,3205.0,297230,212360,0.0
2020-03-18,3211.0,3235.0,3066.0,3092.0,472490,221559,3152.0
2020-03-19,3092.0,3118.0,3000.0,3098.0,438464,188006,0.0
2020-03-20,3099.0,3125.0,3011.0,3026.0,410022,212195,0.0
2020-03-23,2998.0,3069.0,2951.0,3036.0,366891,205698,0.0
2020-03-24,3073.0,3082.0,3012.0,3041.0,262785,206318,0.0
2020-03-25,3048.0,3060.0,2990.0,3019.0,307158,224155,0.0
2020-03-26,2973.0,3070.0,2956.0,3055.0,369874,207372,0.0
2020-03-27,3050.0,3085.0,2991.0,2996.0,368160,220115,0.0
2020-03-30,3017.0,3048.0,2970.0,2993.0,339107,211616,0.0
2020-03-31,3011.0,3036.0,3001.0,3033.0,267530,187317,0.0
2020-04-01,3048.0,3074.0,3012.0,3040.0,266186,174083,0.0
2020-04-02,3044.0,3065.0,3006.0,3059.0,222317,157084,0.0
2020-04-03,3068.0,3124.0,3031.0,3113.0,322195,138760,0.0
2020-04-07,3201.0,3298.0,3173.0,3269.0,346965,111878,0.0
2020-04-08,3268.0,3287.0,3217.0,3232.0,188380,102462,0.0
2020-04-09,3255.0,3345.0,3235.0,3319.0,253107,93190,0.0
2020-04-10,3398.0,3423.0,3364.0,3408.0,270487,102099,0.0
2020-04-13,3480.0,3499.0,3334.0,3336.0,331814,100059,0.0
2020-04-14,3349.0,3355.0,3285.0,3300.0,275524,116808,0.0
2020-04-15,3292.0,3410.0,3277.0,3381.0,378126,121402,0.0
2020-04-16,3378.0,3398.0,3299.0,3313.0,364165,128331,0.0
2020-04-17,3320.0,3390.0,3320.0,3385.0,332558,130969,0.0
2020-04-20,3362.0,3362.0,3228.0,3239.0,417636,136855,0.0
2020-04-21,3232.0,3253.0,3192.0,3231.0,311750,133591,0.0
2020-04-22,3201.0,3217.0,3128.0,3147.0,308363,134501,0.0
2020-04-23,3113.0,3218.0,3110.0,3189.0,363937,140954,0.0
2020-04-24,3151.0,3223.0,3140.0,3173.0,389515,141127,0.0
2020-04-27,3178.0,3178.0,3117.0,3125.0,275338,146463,0.0
2020-04-28,3090.0,3133.0,3065.0,3097.0,302034,150548,0.0
2020-04-29,3080.0,3115.0,3060.0,3091.0,277824,151871,0.0
2020-04-30,3065.0,3159.0,3062.0,3151.0,303063,136757,0.0
2020-05-06,2990.0,3025.0,2950.0,2985.0,330849,157007,0.0
2020-05-07,3000.0,3017.0,2971.0,2995.0,255244,167514,0.0
2020-05-08,3001.0,3011.0,2958.0,2965.0,289693,179066,0.0
2020-05-11,3020.0,3026.0,2951.0,2969.0,298024,176558,0.0
2020-05-12,2940.0,2943.0,2852.0,2861.0,439582,207811,0.0
2020-05-13,2850.0,2864.0,2813.0,2836.0,356612,210158,0.0
2020-05-14,2822.0,2888.0,2822.0,2854.0,392673,181344,0.0
2020-05-15,2870.0,2896.0,2844.0,2853.0,278253,168552,0.0
2020-05-18,2808.0,2814.0,2762.0,2805.0,279124,156277,0.0
2020-05-19,2819.0,2875.0,2776.0,2780.0,282198,146029,0.0
2020-05-20,2762.0,2805.0,2751.0,2769.0,243327,145906,0.0
2020-05-21,2800.0,2823.0,2770.0,2799.0,245505,130535,0.0
2020-05-22,2810.0,2841.0,2790.0,2810.0,229134,110195,0.0
2020-05-25,2785.0,2800.0,2725.0,2730.0,223184,113897,0.0
2020-05-26,2730.0,2748.0,2668.0,2693.0,283726,91323,0.0
2020-05-27,2694.0,2702.0,2639.0,2644.0,156869,77228,0.0
2020-05-28,2641.0,2650.0,2530.0,2575.0,296600,43580,0.0
2020-05-29,3232.0,3268.0,3215.0,3239.0,345270,107101,0.0
2020-06-01,3249.0,3299.0,3241.0,3268.0,281945,99609,0.0
2020-06-02,3265.0,3265.0,3162.0,3171.0,421333,125751,0.0
2020-06-03,3177.0,3185.0,3150.0,3162.0,250952,132572,0.0
2020-06-04,3166.0,3187.0,3107.0,3123.0,368646,142626,0.0
2020-06-05,3132.0,3168.0,3102.0,3154.0,331701,124922,0.0
2020-06-08,3102.0,3120.0,3015.0,3024.0,435091,150354,0.0
2020-06-09,3010.0,3032.0,2972.0,3012.0,457235,144564,0.0
2020-06-10,2990.0,2994.0,2902.0,2904.0,457321,157433,0.0
2020-06-11,2910.0,2923.0,2868.0,2892.0,498368,126819,0.0
2020-06-12,2881.0,2936.0,2848.0,2853.0,402417,121749,0.0
2020-06-15,2872.0,2895.0,2841.0,2878.0,292656,112740,0.0
2020-06-16,3766.0,3819.0,3724.0,3754.0,443605,186773,0.0
2020-06-17,3739.0,3749.0,3683.0,3701.0,489108,207846,0.0
2020-06-18,3742.0,3875.0,3703.0,3857.0,867203,205155,0.0
2020-06-19,3853.0,3900.0,3841.0,3874.0,493027,191038,0.0
2020-06-22,3898.0,3940.0,3842.0,3861.0,519119,186613,0.0
2020-06-23,3870.0,3934.0,3847.0,3919.0,468054,184578,0.0
2020-06-24,3590.0,3624.0,3572.0,3600.0,346885,159181,0.0
2020-06-29,3556.0,3619.0,3535.0,3561.0,335561,161075,0.0
2020-06-30,3888.0,3918.0,3868.0,3909.0,278212,180753,0.0
2020-07-01,3560.0,3605.0,3554.0,3600.0,257984,165501,0.0
2020-07-02,3962.0,3991.0,3945.0,3958.0,290262,185022,0.0
2020-07-03,3671.0,3687.0,3657.0,3679.0,190100,157813,0.0
2020-07-06,3928.0,3958.0,3910.0,3948.0,296799,183115,0.0
2020-07-07,3950.0,4005.0,3950.0,3988.0,333247,172461,0.0
2020-07-08,3999.0,4005.0,3965.0,3984.0,194301,172624,0.0
2020-07-09,3999.0,4012.0,3886.0,3898.0,442854,197190,0.0
2020-07-10,3886.0,3915.0,3871.0,3901.0,302341,192662,0.0
2020-07-13,3912.0,3999.0,3912.0,3997.0,338703,185874,0.0
2020-07-14,3998.0,4061.0,3945.0,3970.0,502506,181040,0.0
2020-07-15,3970.0,4027.0,3954.0,4017.0,344113,187868,0.0
2020-07-16,4034.0,4040.0,3973.0,3992.0,317488,183145,0.0
2020-07-17,3998.0,4029.0,3968.0,3977.0,319131,182273,0.0
2020-07-20,3999.0,4126.0,3996.0,4110.0,456469,200278,4068.0
2020-07-21,4140.0,4195.0,4106.0,4171.0,399224,188491,4143.0
2020-07-22,4151.0,4175.0,4115.0,4136.0,349835,164920,4139.0
2020-07-23,4166.0,4219.0,4156.0,4213.0,370639,171140,4191.0
2020-07-24,4214.0,4279.0,4214.0,4261.0,393695,165706,4244.0
2020-07-27,4350.0,4382.0,4198.0,4206.0,486793,153613,4298.0
2020-07-28,4224.0,4235.0,4139.0,4150.0,360738,151174,4179.0
2020-07-29,4155.0,4190.0,4130.0,4146.0,273624,144105,4163.0
2020-07-30,4175.0,4265.0,4163.0,4189.0,455227,131836,4213.0
2020-07-31,4201.0,4226.0,4180.0,4208.0,248491,123366,4205.0
2020-08-03,4183.0,4188.0,4071.0,4096.0,312565,127508,4111.0
2020-08-04,4090.0,4115.0,4055.0,4079.0,227363,128359,4087.0
2020-08-05,4079.0,4103.0,4044.0,4046.0,185049,125248,4076.0
