date,open,high,low,close,volume,hold,settle
2020-01-02,1167.5,1180.0,1162.0,1176.5,59287,81205,1173.0
2020-01-03,1176.0,1181.5,1172.5,1178.5,45198,75651,1177.5
2020-01-06,1178.5,1181.0,1175.5,1178.0,38735,74910,1178.0
2020-01-07,1178.0,1200.0,1178.0,1191.5,60592,81038,1189.0
2020-01-08,1191.5,1211.5,1189.5,1206.5,58966,82545,1201.5
2020-01-09,1207.0,1216.5,1196.5,1202.5,61945,84731,1208.5
2020-01-10,1203.0,1218.0,1202.5,1208.0,47738,86931,1209.5
2020-01-13,1213.5,1219.5,1206.5,1209.0,55026,89413,0.0
2020-01-14,1208.0,1219.0,1205.5,1212.0,42170,87667,1212.0
2020-01-15,1214.0,1215.0,1207.5,1211.0,32624,85824,1210.0
2020-01-16,1210.0,1228.0,1209.0,1224.5,58485,92891,1221.5
2020-01-17,1224.5,1226.5,1219.0,1220.0,34318,88529,1223.5
2020-01-20,1223.0,1230.5,1220.0,1228.0,33579,89514,1225.5
2020-01-21,1225.0,1229.5,1216.5,1226.5,38863,88818,1223.0
2020-01-22,1225.0,1228.5,1209.0,1220.0,48890,90137,1218.5
2020-01-23,1220.0,1225.0,1211.5,1213.5,30939,79494,1217.5
2020-02-03,1171.0,1198.0,1158.0,1168.5,65686,80375,1181.0
2020-02-04,1167.5,1210.0,1167.5,1198.5,59155,83009,1188.5
2020-02-05,1196.0,1209.0,1192.0,1198.5,43625,78315,0.0
2020-02-06,1200.5,1239.5,1196.0,1230.5,68897,92672,0.0
2020-02-07,1228.0,1233.5,1223.0,1231.0,33785,85945,0.0
2020-02-10,1229.0,1230.0,1220.5,1224.0,44225,84174,0.0
2020-02-11,1230.0,1267.0,1230.0,1264.0,79288,97636,1253.5
2020-02-12,1263.0,1286.0,1260.5,1280.0,71345,94210,1276.0
2020-02-13,1280.0,1281.0,1267.0,1269.5,46063,97482,0.0
2020-02-14,1272.0,1278.0,1269.5,1275.5,31401,96190,1274.0
2020-02-17,1274.0,1280.0,1268.5,1270.5,43583,100372,1273.0
2020-02-18,1271.5,1274.0,1255.5,1264.0,52844,97303,0.0
2020-02-19,1265.0,1280.5,1264.0,1273.0,57658,101178,0.0
2020-02-20,1279.5,1294.5,1260.5,1279.0,85851,103918,0.0
2020-02-21,1275.0,1275.0,1257.5,1263.5,65311,96430,0.0
2020-02-24,1262.0,1281.0,1257.5,1279.0,78178,104970,1269.5
2020-02-25,1271.5,1281.0,1262.0,1276.5,60446,101135,0.0
2020-02-26,1274.0,1279.5,1266.0,1269.0,48008,100728,0.0
2020-02-27,1270.0,1278.5,1263.0,1264.5,69840,112711,0.0
2020-02-28,1255.0,1256.0,1232.0,1242.0,93259,111223,0.0
2020-03-02,1235.0,1278.0,1234.5,1277.5,83500,111091,0.0
2020-03-03,1280.0,1287.0,1268.0,1271.5,52663,107234,0.0
2020-03-04,1269.0,1278.0,1265.5,1274.0,44168,104812,0.0
2020-03-05,1280.0,1282.0,1257.5,1261.5,54429,105084,0.0
2020-03-06,1259.0,1263.5,1243.5,1256.0,77302,103056,0.0
2020-03-09,1240.0,1253.5,1222.5,1253.0,83360,104447,0.0
2020-03-10,1250.5,1270.5,1249.5,1258.0,53421,96274,1259.0
2020-03-11,1261.5,1265.0,1253.0,1257.0,43454,94804,0.0
2020-03-12,1255.0,1273.0,1250.0,1271.5,68170,107325,0.0
2020-03-13,1265.5,1291.5,1260.0,1290.0,89292,100467,0.0
2020-03-16,1288.0,1288.0,1274.0,1275.5,51514,90559,0.0
2020-03-17,1276.0,1299.0,1275.0,1282.0,84851,98327,0.0
2020-03-18,1279.0,1293.0,1273.0,1273.5,52356,88703,1282.0
2020-03-19,1277.5,1284.0,1245.0,1276.0,111255,92403,0.0
2020-03-20,1276.0,1279.5,1252.5,1254.5,59334,81849,0.0
2020-03-23,1248.5,1256.5,1241.0,1243.5,64500,83905,0.0
2020-03-24,1250.5,1274.0,1247.0,1271.0,57600,77011,0.0
2020-03-25,1271.0,1273.5,1249.0,1260.5,53410,80265,0.0
2020-03-26,1257.5,1265.5,1247.0,1250.5,49374,75765,0.0
2020-03-27,1250.5,1258.5,1243.0,1254.0,43940,74177,0.0
2020-03-30,1252.0,1255.0,1236.5,1242.0,47587,69169,0.0
2020-03-31,1243.0,1264.0,1241.5,1260.5,42580,67685,0.0
2020-04-01,1261.0,1261.0,1232.5,1243.5,59499,62503,0.0
2020-04-02,1087.5,1131.5,1071.0,1119.0,61309,57673,0.0
2020-04-03,1230.5,1235.0,1199.0,1210.0,52388,51566,0.0
2020-04-07,1080.0,1106.0,1073.0,1088.0,84888,80890,0.0
2020-04-08,1080.0,1102.0,1068.5,1096.5,88699,81678,0.0
2020-04-09,1096.5,1113.0,1093.0,1103.5,88019,86954,0.0
2020-04-10,1103.5,1138.0,1099.5,1131.0,108480,82456,0.0
2020-04-13,1130.0,1143.0,1119.0,1132.0,73649,81364,0.0
2020-04-14,1127.0,1137.5,1124.0,1130.5,58039,75138,0.0
2020-04-15,1128.0,1142.0,1121.0,1124.0,61053,77028,0.0
2020-04-16,1126.0,1138.0,1117.5,1137.0,50333,73508,0.0
2020-04-17,1135.5,1148.5,1121.0,1136.5,80884,83347,0.0
2020-04-20,1136.5,1140.0,1127.5,1132.0,53314,79183,0.0
2020-04-21,1128.0,1130.0,1095.5,1108.0,80177,87722,0.0
2020-04-22,1102.0,1122.0,1100.5,1117.0,71601,85743,0.0
2020-04-23,1117.0,1119.0,1090.0,1100.5,82619,95281,0.0
2020-04-24,1090.0,1103.5,1086.0,1093.0,75406,93214,0.0
2020-04-27,1088.0,1092.5,1074.0,1075.0,59898,94505,0.0
2020-04-28,1070.0,1071.0,1028.0,1035.5,115753,115327,0.0
2020-04-29,1040.0,1049.5,1027.5,1039.5,85482,109118,0.0
2020-04-30,1044.5,1078.0,1044.0,1069.0,99459,100620,0.0
2020-05-06,1078.5,1086.5,1061.5,1081.0,49351,89258,0.0
2020-05-07,1087.5,1100.5,1083.5,1088.5,73591,94537,0.0
2020-05-08,1090.0,1105.0,1084.5,1090.0,77191,90641,0.0
2020-05-11,1090.0,1097.0,1073.5,1080.5,81524,101035,0.0
2020-05-12,1080.5,1119.5,1074.0,1114.5,126845,98983,0.0
2020-05-13,1116.5,1121.5,1106.0,1113.0,76175,90315,0.0
2020-05-14,1115.0,1141.5,1113.0,1127.0,95227,96717,0.0
