date,open,high,low,close,volume,hold,settle
2020-01-02,2780.0,2786.0,2766.0,2771.0,631920,1675405,2774.0
2020-01-03,2772.0,2785.0,2760.0,2761.0,851662,1647024,2774.0
2020-01-06,2757.0,2762.0,2728.0,2739.0,1002411,1656826,2744.0
2020-01-07,2738.0,2748.0,2736.0,2743.0,565047,1649835,2743.0
2020-01-08,2739.0,2742.0,2714.0,2727.0,1141167,1735101,2729.0
2020-01-09,2729.0,2735.0,2705.0,2716.0,927967,1772733,2717.0
2020-01-10,2719.0,2723.0,2666.0,2666.0,1353066,1737115,2692.0
2020-01-13,2667.0,2682.0,2651.0,2655.0,1023036,1736526,0.0
2020-01-14,2654.0,2673.0,2651.0,2659.0,802524,1719175,2659.0
2020-01-15,2663.0,2696.0,2663.0,2693.0,1031707,1646279,2677.0
2020-01-16,2693.0,2693.0,2670.0,2689.0,716186,1613541,2682.0
2020-01-17,2688.0,2690.0,2661.0,2682.0,702051,1568866,2676.0
2020-01-20,2682.0,2692.0,2671.0,2681.0,463085,1547597,2682.0
2020-01-21,2681.0,2718.0,2677.0,2710.0,900312,1471881,2695.0
2020-01-22,2707.0,2708.0,2662.0,2678.0,741132,1430932,2679.0
2020-01-23,2679.0,2682.0,2635.0,2640.0,698419,1422529,2660.0
2020-02-03,2573.0,2596.0,2527.0,2580.0,820984,1308336,2570.0
2020-02-04,2589.0,2653.0,2588.0,2649.0,764551,1319989,2628.0
2020-02-05,2644.0,2654.0,2626.0,2635.0,496707,1324471,0.0
2020-02-06,2635.0,2643.0,2616.0,2637.0,534013,1335042,0.0
2020-02-07,2641.0,2648.0,2630.0,2634.0,295453,1332845,0.0
2020-02-10,2645.0,2663.0,2640.0,2656.0,573886,1316645,0.0
2020-02-11,2665.0,2667.0,2644.0,2657.0,455725,1299023,2653.0
2020-02-12,2658.0,2664.0,2637.0,2641.0,481921,1313785,2650.0
2020-02-13,2644.0,2688.0,2643.0,2684.0,877635,1319850,0.0
2020-02-14,2687.0,2689.0,2657.0,2668.0,603097,1305205,2671.0
2020-02-17,2668.0,2687.0,2666.0,2681.0,397919,1305890,2678.0
2020-02-18,2680.0,2681.0,2648.0,2656.0,559946,1322903,0.0
2020-02-19,2658.0,2666.0,2645.0,2660.0,414002,1318124,0.0
2020-02-20,2664.0,2674.0,2658.0,2664.0,465812,1305986,0.0
2020-02-21,2664.0,2682.0,2659.0,2661.0,465240,1297902,0.0
2020-02-24,2650.0,2654.0,2616.0,2619.0,595165,1322428,2632.0
2020-02-25,2607.0,2637.0,2598.0,2636.0,435269,1288354,0.0
2020-02-26,2631.0,2642.0,2623.0,2638.0,396002,1258035,0.0
2020-02-27,2643.0,2668.0,2642.0,2646.0,578382,1237590,0.0
2020-02-28,2664.0,2672.0,2614.0,2616.0,955652,1183082,0.0
2020-03-02,2634.0,2735.0,2631.0,2719.0,1480708,1266923,0.0
2020-03-03,2731.0,2749.0,2711.0,2730.0,871715,1242216,0.0
2020-03-04,2734.0,2745.0,2710.0,2718.0,632886,1188971,0.0
2020-03-05,2711.0,2736.0,2703.0,2724.0,565370,1180389,0.0
2020-03-06,2703.0,2720.0,2693.0,2717.0,588588,1168100,0.0
2020-03-09,2631.0,2698.0,2631.0,2669.0,1054330,1059176,0.0
2020-03-10,2679.0,2695.0,2673.0,2693.0,529894,1019598,2685.0
2020-03-11,2695.0,2708.0,2678.0,2681.0,474423,1004114,0.0
2020-03-12,2720.0,2736.0,2705.0,2721.0,626266,1421199,0.0
2020-03-13,2714.0,2763.0,2711.0,2758.0,1127417,1409523,0.0
2020-03-16,2740.0,2809.0,2738.0,2749.0,1447910,1444079,0.0
2020-03-17,2740.0,2785.0,2732.0,2770.0,1141677,1426770,0.0
2020-03-18,2770.0,2785.0,2750.0,2753.0,1029677,1454120,2767.0
2020-03-19,2763.0,2773.0,2707.0,2732.0,1322206,1442757,0.0
2020-03-20,2800.0,2825.0,2777.0,2817.0,1458742,1425635,0.0
2020-03-23,2866.0,2915.0,2856.0,2915.0,1080772,1449492,0.0
2020-03-24,2935.0,2940.0,2892.0,2920.0,1577682,1498490,0.0
2020-03-25,2925.0,2982.0,2915.0,2965.0,1380720,1579994,0.0
2020-03-26,2930.0,2938.0,2881.0,2892.0,1430103,1610546,0.0
2020-03-27,2916.0,2947.0,2910.0,2928.0,1548461,1619639,0.0
2020-03-30,2955.0,3011.0,2948.0,2950.0,1495203,1714593,0.0
2020-03-31,2950.0,2956.0,2920.0,2940.0,1239161,1726368,0.0
2020-04-01,2939.0,2945.0,2839.0,2862.0,2167632,1689083,0.0
2020-04-02,2845.0,2858.0,2827.0,2848.0,1250565,1709988,0.0
2020-04-03,2830.0,2837.0,2799.0,2805.0,1319311,1683612,0.0
2020-04-07,2795.0,2824.0,2789.0,2807.0,910794,1710124,0.0
2020-04-08,2797.0,2827.0,2786.0,2821.0,895801,1761469,0.0
2020-04-09,2825.0,2839.0,2810.0,2822.0,937610,1780326,0.0
2020-04-10,2830.0,2846.0,2821.0,2826.0,795853,1742918,0.0
2020-04-13,2836.0,2851.0,2800.0,2804.0,960286,1785604,0.0
2020-04-14,2791.0,2810.0,2778.0,2808.0,933641,1789187,0.0
2020-04-15,2808.0,2820.0,2796.0,2811.0,848175,1831110,0.0
2020-04-16,2812.0,2816.0,2756.0,2760.0,1177591,1842453,0.0
2020-04-17,2763.0,2778.0,2755.0,2771.0,704905,1819261,0.0
2020-04-20,2760.0,2768.0,2730.0,2735.0,813329,1773244,0.0
2020-04-21,2721.0,2737.0,2713.0,2731.0,848039,1728233,0.0
2020-04-22,2748.0,2766.0,2736.0,2762.0,895897,1729515,0.0
2020-04-23,2762.0,2777.0,2753.0,2775.0,712264,1730075,0.0
2020-04-24,2770.0,2773.0,2751.0,2760.0,617821,1734845,0.0
2020-04-27,2750.0,2784.0,2739.0,2781.0,851558,1756077,0.0
2020-04-28,2774.0,2777.0,2728.0,2730.0,837191,1769962,0.0
2020-04-29,2721.0,2733.0,2715.0,2719.0,650995,1797945,0.0
2020-04-30,2730.0,2735.0,2718.0,2729.0,591338,1759413,0.0
2020-05-06,2740.0,2758.0,2734.0,2758.0,637393,1726974,0.0
2020-05-07,2757.0,2765.0,2744.0,2747.0,587442,1741742,0.0
2020-05-08,2750.0,2767.0,2745.0,2750.0,955506,1748903,0.0
2020-05-11,2755.0,2775.0,2730.0,2735.0,1001027,1749580,0.0
2020-05-12,2740.0,2747.0,2718.0,2738.0,808194,1754643,0.0
2020-05-13,2741.0,2748.0,2716.0,2727.0,849535,1762633,0.0
2020-05-14,2732.0,2734.0,2689.0,2697.0,1080190,1801977,0.0
2020-05-15,2700.0,2711.0,2695.0,2702.0,560501,1768817,0.0
2020-05-18,2701.0,2750.0,2700.0,2748.0,1116289,1690754,0.0
2020-05-19,2745.0,2747.0,2726.0,2738.0,647890,1685962,0.0
2020-05-20,2742.0,2761.0,2728.0,2757.0,769584,1674615,0.0
2020-05-21,2765.0,2765.0,2732.0,2742.0,710718,1656180,0.0
2020-05-22,2743.0,2773.0,2730.0,2754.0,1108961,1588520,0.0
2020-05-25,2758.0,2795.0,2755.0,2788.0,1436889,1620267,0.0
2020-05-26,2789.0,2795.0,2768.0,2789.0,787526,1605437,0.0
2020-05-27,2790.0,2832.0,2780.0,2818.0,1359964,1639237,0.0
2020-05-28,2823.0,2841.0,2792.0,2793.0,1140012,1596727,0.0
2020-05-29,2790.0,2808.0,2771.0,2804.0,996520,1550828,0.0
2020-06-01,2799.0,2831.0,2776.0,2789.0,1301383,1563333,0.0
2020-06-02,2805.0,2815.0,2778.0,2787.0,1003294,1590135,0.0
2020-06-03,2790.0,2810.0,2783.0,2801.0,713431,1571366,0.0
2020-06-04,2805.0,2849.0,2798.0,2833.0,1215149,1626551,0.0
2020-06-05,2836.0,2868.0,2831.0,2842.0,1128270,1586044,0.0
2020-06-08,2845.0,2847.0,2808.0,2809.0,1124703,1539433,0.0
2020-06-09,2813.0,2823.0,2797.0,2815.0,806574,1520200,0.0
2020-06-10,2810.0,2820.0,2801.0,2818.0,723782,1529887,0.0
2020-06-11,2821.0,2836.0,2788.0,2801.0,1195868,1494560,0.0
2020-06-12,2805.0,2836.0,2799.0,2832.0,1155086,1449079,0.0
2020-06-15,2832.0,2843.0,2801.0,2802.0,1174200,1429802,0.0
2020-06-16,2806.0,2838.0,2803.0,2835.0,795816,1411359,0.0
2020-06-17,2836.0,2836.0,2803.0,2815.0,828474,1401718,0.0
2020-06-18,2813.0,2824.0,2802.0,2816.0,673607,1374676,0.0
2020-06-19,2820.0,2821.0,2802.0,2811.0,706931,1359717,0.0
2020-06-22,2815.0,2837.0,2814.0,2823.0,950205,1300275,0.0
2020-06-23,2825.0,2861.0,2810.0,2810.0,1542165,1276200,0.0
2020-06-24,2815.0,2822.0,2807.0,2818.0,504909,1232521,0.0
2020-06-29,2810.0,2811.0,2791.0,2805.0,620453,1251411,0.0
2020-06-30,2810.0,2823.0,2805.0,2813.0,549057,1223572,0.0
2020-07-01,2818.0,2889.0,2816.0,2882.0,1440687,1294024,0.0
2020-07-02,2886.0,2909.0,2876.0,2898.0,1078842,1279561,0.0
2020-07-03,2901.0,2909.0,2888.0,2906.0,703761,1277844,0.0
2020-07-06,2905.0,2933.0,2894.0,2927.0,1125887,1251115,0.0
2020-07-07,2929.0,2939.0,2908.0,2910.0,937045,1225703,0.0
2020-07-08,2906.0,2920.0,2886.0,2897.0,827578,1191387,0.0
2020-07-09,2900.0,2912.0,2894.0,2905.0,727399,1193662,0.0
2020-07-10,2913.0,2933.0,2906.0,2919.0,882143,1181811,0.0
2020-07-13,2921.0,2928.0,2868.0,2875.0,1068557,1130592,0.0
2020-07-14,2873.0,2881.0,2855.0,2866.0,754280,1101578,0.0
