date,open,high,low,close,volume,hold,settle
2020-01-02,2185.0,2206.0,2178.0,2197.0,510639,681258,2195.0
2020-01-03,2202.0,2246.0,2191.0,2238.0,1134190,787659,2219.0
2020-01-06,2253.0,2300.0,2223.0,2297.0,1269279,772663,2265.0
2020-01-07,2289.0,2306.0,2258.0,2283.0,1195999,792254,2279.0
2020-01-08,2285.0,2384.0,2277.0,2338.0,1539943,826741,2329.0
2020-01-09,2325.0,2343.0,2228.0,2239.0,1701491,827963,2286.0
2020-01-10,2245.0,2252.0,2224.0,2249.0,939513,731133,2240.0
2020-01-13,2255.0,2352.0,2248.0,2352.0,1518316,839027,2305.0
2020-01-14,2390.0,2398.0,2328.0,2371.0,1600783,768219,2356.0
2020-01-15,2375.0,2388.0,2317.0,2351.0,1460755,806584,2346.0
2020-01-16,2350.0,2356.0,2306.0,2320.0,1194817,789660,2334.0
2020-01-17,2314.0,2339.0,2276.0,2284.0,1163971,763229,2311.0
2020-01-20,2289.0,2345.0,2285.0,2341.0,939845,744361,2315.0
2020-01-21,2341.0,2342.0,2286.0,2293.0,978730,726710,2312.0
2020-01-22,2285.0,2297.0,2233.0,2254.0,954644,698296,2265.0
2020-01-23,2254.0,2284.0,2230.0,2251.0,687875,616954,2257.0
2020-02-03,2099.0,2133.0,2099.0,2099.0,299343,571616,2106.0
2020-02-04,2026.0,2077.0,2006.0,2053.0,631881,601147,2049.0
2020-02-05,2055.0,2112.0,2051.0,2088.0,764809,604388,2087.0
2020-02-06,2099.0,2117.0,2082.0,2112.0,620360,614078,2101.0
2020-02-07,2105.0,2136.0,2091.0,2134.0,690265,665391,2113.0
2020-02-10,2118.0,2147.0,2106.0,2119.0,757625,675388,2128.0
2020-02-11,2105.0,2145.0,2105.0,2114.0,732739,700829,2122.0
2020-02-12,2110.0,2127.0,2062.0,2085.0,1009958,804426,2095.0
2020-02-13,2091.0,2107.0,2072.0,2088.0,729200,762241,2089.0
2020-02-14,2087.0,2102.0,2064.0,2097.0,699684,735226,2082.0
2020-02-17,2101.0,2117.0,2096.0,2113.0,610724,702057,2109.0
2020-02-18,2113.0,2126.0,2086.0,2089.0,756006,780871,2107.0
2020-02-19,2090.0,2124.0,2088.0,2120.0,673689,698961,2110.0
2020-02-20,2130.0,2149.0,2115.0,2125.0,752588,771009,2132.0
2020-02-21,2122.0,2138.0,2102.0,2119.0,811008,752939,2120.0
2020-02-24,2103.0,2113.0,2050.0,2082.0,861159,784313,2079.0
2020-02-25,2068.0,2131.0,2054.0,2131.0,957566,773743,2091.0
2020-02-26,2120.0,2142.0,2084.0,2093.0,1127830,798246,2117.0
2020-02-27,2080.0,2094.0,2066.0,2083.0,760392,747842,2081.0
2020-02-28,2058.0,2079.0,2008.0,2010.0,1126052,772744,2048.0
2020-03-02,2002.0,2064.0,2001.0,2045.0,1057035,781431,2039.0
2020-03-03,2071.0,2096.0,2021.0,2047.0,1015115,798116,2061.0
2020-03-04,2041.0,2055.0,2030.0,2039.0,727055,801106,2041.0
2020-03-05,2043.0,2050.0,2018.0,2040.0,882261,821441,2035.0
2020-03-06,2025.0,2038.0,2004.0,2032.0,972338,837529,2019.0
2020-03-09,1918.0,1918.0,1918.0,1918.0,36101,819675,1918.0
2020-03-10,1780.0,1938.0,1780.0,1911.0,1285137,730429,1879.0
2020-03-11,1928.0,1938.0,1880.0,1887.0,761275,741817,1906.0
2020-03-12,1870.0,1886.0,1811.0,1853.0,1020392,744019,1848.0
2020-03-13,1823.0,1885.0,1797.0,1857.0,1029230,737963,1835.0
2020-03-16,1840.0,1864.0,1815.0,1825.0,701395,675390,1840.0
2020-03-17,1820.0,1837.0,1806.0,1816.0,661818,694755,1820.0
2020-03-18,1791.0,1835.0,1747.0,1781.0,1031750,720109,1801.0
2020-03-19,1770.0,1776.0,1710.0,1722.0,918974,649842,1730.0
2020-03-20,1770.0,1780.0,1723.0,1771.0,826854,665751,1753.0
2020-03-23,1703.0,1752.0,1701.0,1735.0,802179,639341,1730.0
2020-03-24,1760.0,1764.0,1705.0,1734.0,886143,712837,1735.0
2020-03-25,1743.0,1753.0,1684.0,1697.0,1012290,703729,1718.0
2020-03-26,1695.0,1697.0,1657.0,1679.0,844586,716874,1680.0
2020-03-27,1684.0,1686.0,1601.0,1614.0,1090697,737993,1634.0
2020-03-30,1598.0,1601.0,1545.0,1562.0,965218,698116,1572.0
2020-03-31,1575.0,1630.0,1568.0,1596.0,870818,644525,1600.0
2020-04-01,1591.0,1601.0,1551.0,1555.0,733200,630569,1570.0
2020-04-02,1554.0,1640.0,1531.0,1629.0,1154418,614251,1588.0
2020-04-03,1658.0,1663.0,1611.0,1642.0,969284,513023,1634.0
2020-04-07,1660.0,1695.0,1660.0,1688.0,676948,465644,1683.0
2020-04-08,1665.0,1699.0,1655.0,1685.0,672219,483946,1682.0
2020-04-09,1705.0,1777.0,1695.0,1774.0,789781,454065,1735.0
2020-04-10,1730.0,1785.0,1723.0,1774.0,796238,416749,1758.0
2020-04-13,1822.0,1846.0,1748.0,1753.0,721818,357282,1793.0
2020-04-14,1846.0,1849.0,1760.0,1764.0,1166020,721342,1791.0
2020-04-15,1740.0,1799.0,1735.0,1780.0,1138291,707803,1775.0
2020-04-16,1780.0,1806.0,1723.0,1731.0,1287257,796806,1754.0
2020-04-17,1746.0,1776.0,1724.0,1754.0,1138257,760793,1749.0
2020-04-20,1726.0,1759.0,1701.0,1757.0,1165844,839248,1733.0
2020-04-21,1725.0,1760.0,1668.0,1704.0,1538753,879254,1709.0
2020-04-22,1661.0,1682.0,1630.0,1660.0,1405782,855321,1656.0
2020-04-23,1686.0,1740.0,1678.0,1735.0,1264307,850995,1712.0
2020-04-24,1743.0,1746.0,1690.0,1692.0,1256937,874214,1720.0
2020-04-27,1687.0,1688.0,1655.0,1665.0,1053441,887390,1671.0
2020-04-28,1644.0,1717.0,1636.0,1710.0,1393608,916790,1683.0
2020-04-29,1720.0,1737.0,1672.0,1712.0,1281545,892490,1706.0
2020-04-30,1734.0,1788.0,1717.0,1786.0,1232655,800521,1749.0
2020-05-06,1840.0,1850.0,1772.0,1785.0,887956,787518,1794.0
2020-05-07,1768.0,1807.0,1750.0,1751.0,1319301,966410,1782.0
2020-05-08,1778.0,1778.0,1731.0,1762.0,1612354,968522,1757.0
2020-05-11,1759.0,1778.0,1741.0,1751.0,1444696,1018421,1759.0
2020-05-12,1756.0,1763.0,1717.0,1725.0,1243823,1026161,1740.0
2020-05-13,1732.0,1748.0,1698.0,1748.0,1649053,1055383,1725.0
2020-05-14,1751.0,1754.0,1719.0,1749.0,1269353,995331,1737.0
2020-05-15,1746.0,1778.0,1738.0,1760.0,1317705,1064541,1759.0
2020-05-18,1761.0,1764.0,1707.0,1714.0,1966684,1281302,1730.0
2020-05-19,1718.0,1739.0,1699.0,1706.0,2059694,1344768,1722.0
2020-05-20,1700.0,1754.0,1692.0,1742.0,2083338,1270869,1726.0
2020-05-21,1747.0,1766.0,1738.0,1747.0,1705912,1250996,1751.0
2020-05-22,1749.0,1757.0,1670.0,1682.0,2320675,1458866,1717.0
2020-05-25,1685.0,1701.0,1666.0,1690.0,1698452,1444698,1685.0
2020-05-26,1687.0,1696.0,1675.0,1686.0,1447857,1561519,1685.0
2020-05-27,1684.0,1727.0,1668.0,1715.0,2299942,1555031,1697.0
2020-05-28,1715.0,1722.0,1696.0,1711.0,1474963,1487560,1709.0
2020-05-29,1713.0,1715.0,1683.0,1688.0,1555347,1539952,1699.0
2020-06-01,1687.0,1722.0,1681.0,1712.0,1578371,1512352,1707.0
2020-06-02,1711.0,1720.0,1696.0,1707.0,1435852,1511880,1708.0
2020-06-03,1711.0,1755.0,1705.0,1751.0,1952177,1552436,1736.0
2020-06-04,1741.0,1762.0,1733.0,1741.0,1636211,1492861,1747.0
2020-06-05,1744.0,1765.0,1742.0,1757.0,1385043,1447260,1754.0
2020-06-08,1774.0,1779.0,1752.0,1764.0,1516466,1491324,1766.0
2020-06-09,1758.0,1767.0,1737.0,1748.0,1450986,1481074,1751.0
2020-06-10,1745.0,1756.0,1733.0,1739.0,1152279,1477652,1746.0
2020-06-11,1740.0,1752.0,1712.0,1720.0,1503865,1498300,1738.0
2020-06-12,1712.0,1719.0,1682.0,1713.0,1681729,1456778,1705.0
2020-06-15,1721.0,1727.0,1675.0,1682.0,1547811,1519033,1703.0
2020-06-16,1683.0,1723.0,1679.0,1720.0,1338352,1376441,1706.0
2020-06-17,1731.0,1735.0,1693.0,1709.0,1324890,1420728,1711.0
