date,open,high,low,close,volume,hold,settle
2020-01-02,7665.0,7730.0,7664.0,7720.0,60629,114051,7702.0
2020-01-03,7724.0,7808.0,7703.0,7739.0,140140,115337,7758.0
2020-01-06,7750.0,7793.0,7718.0,7740.0,94664,113611,7756.0
2020-01-07,7715.0,7776.0,7675.0,7776.0,98626,112742,7722.0
2020-01-08,7767.0,7820.0,7702.0,7722.0,103800,109983,7745.0
2020-01-09,7725.0,7848.0,7695.0,7827.0,146432,114303,7789.0
2020-01-10,7824.0,7877.0,7781.0,7841.0,151927,109638,7830.0
2020-01-13,7832.0,7918.0,7798.0,7894.0,145185,113300,7865.0
2020-01-14,7865.0,7886.0,7788.0,7817.0,117230,107745,7829.0
2020-01-15,7788.0,7880.0,7750.0,7753.0,146401,106181,7828.0
2020-01-16,7765.0,7787.0,7730.0,7744.0,124231,105462,7756.0
2020-01-17,7742.0,7787.0,7741.0,7757.0,67245,106151,7767.0
2020-01-20,7741.0,7793.0,7725.0,7753.0,79550,105145,7760.0
2020-01-21,7766.0,7771.0,7594.0,7607.0,113253,95572,7680.0
2020-01-22,7620.0,7646.0,7540.0,7633.0,91894,89194,7588.0
2020-01-23,7649.0,7685.0,7513.0,7587.0,98035,82998,7596.0
2020-02-03,7064.0,7299.0,7064.0,7108.0,101361,82728,7170.0
2020-02-04,7110.0,7300.0,7110.0,7264.0,98287,82671,7238.0
2020-02-05,7255.0,7380.0,7209.0,7376.0,91044,86651,7328.0
2020-02-06,7413.0,7618.0,7404.0,7613.0,191070,106817,7538.0
2020-02-07,7590.0,7744.0,7560.0,7729.0,287002,124706,7665.0
2020-02-10,7699.0,7779.0,7681.0,7704.0,224225,122200,7717.0
2020-02-11,7675.0,7775.0,7674.0,7722.0,262227,126855,7731.0
2020-02-12,7732.0,7754.0,7546.0,7604.0,364831,116687,7648.0
2020-02-13,7644.0,7685.0,7568.0,7630.0,315760,114494,7618.0
2020-02-14,7616.0,7635.0,7582.0,7604.0,216273,110571,7606.0
2020-02-17,7612.0,7764.0,7605.0,7745.0,268974,118187,7696.0
2020-02-18,7735.0,7792.0,7705.0,7748.0,241262,121228,7742.0
2020-02-19,7748.0,7763.0,7630.0,7648.0,256201,115718,7684.0
2020-02-20,7624.0,7643.0,7445.0,7510.0,443369,103553,7519.0
