date,open,high,low,close,volume,hold,settle
2020-01-02,6278.0,6356.0,6268.0,6352.0,1034459,835350,6316.0
2020-01-03,6378.0,6418.0,6306.0,6314.0,2002282,824520,6370.0
2020-01-06,6346.0,6426.0,6296.0,6328.0,1831934,825404,6356.0
2020-01-07,6298.0,6366.0,6248.0,6358.0,1788748,822909,6302.0
2020-01-08,6334.0,6404.0,6290.0,6316.0,1602134,794077,6336.0
2020-01-09,6306.0,6390.0,6274.0,6386.0,1863960,814523,6334.0
2020-01-10,6394.0,6476.0,6336.0,6470.0,2288248,845921,6404.0
2020-01-13,6466.0,6466.0,6318.0,6384.0,1733897,786998,0.0
2020-01-14,6352.0,6356.0,6214.0,6222.0,1964663,708733,6276.0
2020-01-15,6178.0,6272.0,6154.0,6164.0,1957505,680798,6206.0
2020-01-16,6146.0,6176.0,6096.0,6104.0,2137462,619056,6134.0
2020-01-17,6104.0,6144.0,6090.0,6126.0,1143525,596920,6120.0
2020-01-20,6080.0,6116.0,6038.0,6102.0,1329582,558768,6076.0
2020-01-21,6124.0,6132.0,5900.0,5920.0,1596112,515173,6006.0
2020-01-22,5964.0,6076.0,5888.0,6068.0,1405408,505692,5974.0
2020-01-23,6110.0,6186.0,6004.0,6094.0,1402347,454570,6102.0
2020-02-03,5676.0,5676.0,5676.0,5676.0,122242,382737,5676.0
2020-02-04,5510.0,5730.0,5510.0,5650.0,730053,351393,5640.0
2020-02-05,5640.0,5772.0,5626.0,5770.0,859397,399082,0.0
2020-02-06,5816.0,5902.0,5808.0,5886.0,967490,434584,0.0
2020-02-07,5848.0,5914.0,5812.0,5910.0,782999,432828,0.0
2020-02-10,5848.0,5886.0,5788.0,5794.0,779894,415719,0.0
2020-02-11,5784.0,5826.0,5678.0,5690.0,1111110,431220,5760.0
2020-02-12,5700.0,5718.0,5552.0,5592.0,1228689,424246,5620.0
2020-02-13,5630.0,5652.0,5522.0,5578.0,1492111,416373,0.0
2020-02-14,5576.0,5576.0,5474.0,5508.0,1358460,435051,5516.0
2020-02-17,5512.0,5618.0,5510.0,5602.0,992975,430067,5570.0
2020-02-18,5594.0,5622.0,5500.0,5512.0,1048472,429437,0.0
2020-02-19,5522.0,5558.0,5432.0,5444.0,1365090,452678,0.0
2020-02-20,5412.0,5512.0,5384.0,5504.0,1579869,396297,0.0
2020-02-21,5506.0,5554.0,5474.0,5490.0,1176612,384713,0.0
2020-02-24,5500.0,5504.0,5390.0,5404.0,1060370,382228,5442.0
2020-02-25,5348.0,5358.0,5282.0,5316.0,1006097,386816,0.0
2020-02-26,5210.0,5268.0,5190.0,5238.0,993123,355311,0.0
2020-02-27,5200.0,5260.0,5160.0,5190.0,1047757,384533,0.0
2020-02-28,5150.0,5196.0,4948.0,4948.0,1570949,361223,0.0
