date,open,high,low,close,volume,hold,settle
2020-03-30,2350.0,2438.0,2318.0,2366.0,85116,10171,0.0
2020-03-31,2430.0,2545.0,2404.0,2545.0,89839,18891,0.0
2020-04-01,2547.0,2642.0,2530.0,2624.0,199435,21955,0.0
2020-04-02,2644.0,2779.0,2607.0,2779.0,206057,26486,0.0
2020-04-03,2790.0,2875.0,2732.0,2875.0,323535,35752,0.0
2020-04-07,2920.0,3063.0,2913.0,3019.0,430450,48247,0.0
2020-04-08,2986.0,3014.0,2891.0,2939.0,494076,49156,0.0
2020-04-09,2980.0,3044.0,2964.0,3018.0,457508,45765,0.0
2020-04-10,2930.0,3022.0,2913.0,3021.0,310584,46292,0.0
2020-04-13,3075.0,3178.0,3075.0,3139.0,400984,57076,0.0
2020-04-14,3146.0,3166.0,3087.0,3159.0,327672,59068,0.0
2020-04-15,3116.0,3336.0,3108.0,3243.0,803635,82716,0.0
2020-04-16,3250.0,3312.0,3178.0,3265.0,738801,82774,0.0
2020-04-17,3296.0,3330.0,3128.0,3188.0,727177,74000,0.0
2020-04-20,3088.0,3226.0,3080.0,3221.0,500458,75752,0.0
2020-04-21,3200.0,3266.0,3132.0,3240.0,767821,91434,0.0
2020-04-22,3182.0,3220.0,3065.0,3129.0,995470,81566,0.0
2020-04-23,3169.0,3350.0,3147.0,3350.0,744746,94323,0.0
2020-04-24,3350.0,3423.0,3315.0,3400.0,784376,97404,0.0
2020-04-27,3380.0,3594.0,3369.0,3576.0,887455,118378,0.0
2020-04-28,3553.0,3659.0,3297.0,3357.0,1270395,75027,0.0
2020-04-29,3357.0,3469.0,3269.0,3319.0,949175,69018,0.0
2020-04-30,3360.0,3397.0,3315.0,3394.0,602578,55701,0.0
2020-05-06,3500.0,3524.0,3377.0,3440.0,371491,64990,0.0
2020-05-07,3415.0,3469.0,3389.0,3413.0,414782,65440,0.0
2020-05-08,3448.0,3463.0,3355.0,3454.0,423534,73205,0.0
2020-05-11,3455.0,3507.0,3326.0,3348.0,582185,65663,0.0
