date,open,high,low,close,volume,hold,settle
2020-01-02,7592.0,7608.0,7552.0,7565.0,173273,314288,7576.0
2020-01-03,7561.0,7573.0,7488.0,7519.0,330045,324979,7528.0
2020-01-06,7525.0,7635.0,7501.0,7617.0,411639,318906,7573.0
2020-01-07,7603.0,7610.0,7517.0,7542.0,314586,341238,7562.0
2020-01-08,7538.0,7700.0,7533.0,7628.0,411301,323520,7610.0
2020-01-09,7602.0,7710.0,7583.0,7617.0,515129,332945,7637.0
2020-01-10,7625.0,7700.0,7617.0,7699.0,298031,357975,7655.0
2020-01-13,7700.0,7765.0,7670.0,7748.0,366349,370179,0.0
2020-01-14,7748.0,7748.0,7658.0,7662.0,245509,352850,7697.0
2020-01-15,7676.0,7681.0,7555.0,7566.0,327181,340885,7602.0
2020-01-16,7568.0,7597.0,7537.0,7540.0,191356,348027,7562.0
2020-01-17,7540.0,7560.0,7513.0,7516.0,190060,346306,7536.0
2020-01-20,7524.0,7539.0,7490.0,7520.0,224701,335972,7516.0
2020-01-21,7512.0,7528.0,7421.0,7447.0,243338,348507,7476.0
2020-01-22,7442.0,7450.0,7312.0,7333.0,331211,359167,7363.0
2020-01-23,7320.0,7398.0,7313.0,7324.0,192243,331892,7343.0
2020-02-03,6903.0,6962.0,6903.0,6903.0,182949,317109,6909.0
2020-02-04,6695.0,6950.0,6680.0,6921.0,275020,289905,6887.0
2020-02-05,6933.0,6987.0,6891.0,6896.0,272978,341031,0.0
2020-02-06,6930.0,6939.0,6866.0,6924.0,217240,346275,0.0
2020-02-07,6918.0,6926.0,6855.0,6868.0,250628,381693,0.0
2020-02-10,6840.0,6882.0,6824.0,6833.0,215328,399431,0.0
2020-02-11,6840.0,6881.0,6813.0,6857.0,206766,390308,6858.0
2020-02-12,6861.0,6895.0,6831.0,6858.0,235706,391810,6864.0
2020-02-13,6868.0,6877.0,6802.0,6815.0,221743,414640,0.0
2020-02-14,6825.0,6856.0,6791.0,6854.0,237812,396308,6825.0
2020-02-17,6856.0,6909.0,6843.0,6905.0,242096,386096,6882.0
2020-02-18,6912.0,7014.0,6908.0,6952.0,402400,379041,0.0
2020-02-19,6952.0,7060.0,6952.0,7052.0,338935,374069,0.0
2020-02-20,7071.0,7144.0,7039.0,7138.0,369751,375983,0.0
2020-02-21,7138.0,7149.0,7073.0,7105.0,296662,376154,0.0
2020-02-24,7055.0,7108.0,7020.0,7078.0,310023,382252,7062.0
2020-02-25,7038.0,7099.0,7011.0,7081.0,311588,384062,0.0
2020-02-26,7055.0,7084.0,7035.0,7045.0,277991,388831,0.0
2020-02-27,7011.0,7035.0,6976.0,7013.0,292100,391623,0.0
2020-02-28,6950.0,6960.0,6823.0,6834.0,433085,364078,0.0
2020-03-02,6763.0,6998.0,6763.0,6982.0,385637,354844,0.0
2020-03-03,7030.0,7123.0,7011.0,7064.0,392649,347806,0.0
2020-03-04,7055.0,7118.0,7051.0,7114.0,298950,338602,0.0
2020-03-05,7130.0,7177.0,7108.0,7155.0,364622,334532,0.0
2020-03-06,7118.0,7170.0,7088.0,7145.0,350206,336474,0.0
2020-03-09,6841.0,6917.0,6841.0,6841.0,161530,310811,0.0
2020-03-10,6841.0,7014.0,6834.0,6987.0,435910,264440,6918.0
2020-03-11,7037.0,7073.0,6941.0,6948.0,326432,266746,0.0
2020-03-12,6910.0,6938.0,6827.0,6844.0,408340,263398,0.0
2020-03-13,6790.0,6869.0,6675.0,6834.0,529468,255235,0.0
2020-03-16,6782.0,6820.0,6686.0,6686.0,398503,281752,0.0
2020-03-17,6631.0,6702.0,6580.0,6691.0,420710,280855,0.0
2020-03-18,6642.0,6684.0,6505.0,6508.0,372521,279532,6610.0
2020-03-19,6450.0,6488.0,6346.0,6447.0,451185,252739,0.0
2020-03-20,6530.0,6621.0,6464.0,6543.0,399740,247889,0.0
2020-03-23,6300.0,6415.0,6300.0,6373.0,385265,237878,0.0
2020-03-24,6450.0,6470.0,6240.0,6364.0,445120,243011,0.0
2020-03-25,6430.0,6435.0,6323.0,6376.0,327400,241689,0.0
2020-03-26,6345.0,6350.0,6087.0,6152.0,524617,222584,0.0
2020-03-27,6146.0,6165.0,5871.0,5909.0,595970,211436,0.0
2020-03-30,5658.0,5796.0,5658.0,5711.0,481473,200842,0.0
2020-03-31,5770.0,6007.0,5744.0,5912.0,455745,194914,0.0
2020-04-01,5878.0,5958.0,5840.0,5948.0,325146,193502,0.0
2020-04-02,5950.0,6265.0,5940.0,6265.0,439066,175454,0.0
2020-04-03,6348.0,6348.0,6172.0,6326.0,562986,292871,0.0
2020-04-07,6430.0,6654.0,6421.0,6639.0,639500,299369,0.0
2020-04-08,6569.0,6706.0,6491.0,6546.0,908701,307594,0.0
2020-04-09,6576.0,6788.0,6554.0,6743.0,878480,316204,0.0
2020-04-10,6650.0,7007.0,6613.0,6984.0,1260111,357386,0.0
2020-04-13,7290.0,7297.0,6948.0,7218.0,2072312,451321,0.0
2020-04-14,7218.0,7218.0,6676.0,6744.0,2754055,454828,0.0
2020-04-15,6680.0,6868.0,6603.0,6677.0,2078795,442899,0.0
2020-04-16,6663.0,6791.0,6634.0,6757.0,1446938,450047,0.0
2020-04-17,6791.0,6986.0,6780.0,6875.0,1527211,428265,0.0
2020-04-20,6820.0,6866.0,6715.0,6840.0,962314,433676,0.0
2020-04-21,6722.0,6828.0,6480.0,6606.0,1474776,428732,0.0
2020-04-22,6500.0,6520.0,6357.0,6491.0,1325309,453395,0.0
2020-04-23,6594.0,6995.0,6588.0,6903.0,1452445,454767,0.0
2020-04-24,6999.0,7000.0,6824.0,6900.0,1027767,447715,0.0
2020-04-27,6890.0,7043.0,6888.0,6921.0,1106598,444800,0.0
2020-04-28,6855.0,6964.0,6824.0,6918.0,865936,429549,0.0
2020-04-29,6960.0,7010.0,6805.0,6848.0,810038,412465,0.0
2020-04-30,6888.0,7012.0,6827.0,7000.0,857076,430440,0.0
2020-05-06,7106.0,7198.0,7021.0,7152.0,768130,445098,0.0
2020-05-07,7066.0,7215.0,7008.0,7022.0,1007402,434664,0.0
2020-05-08,7100.0,7100.0,6912.0,7022.0,961094,428593,0.0
2020-05-11,7027.0,7065.0,6742.0,6788.0,1226326,447595,0.0
2020-05-12,6779.0,6849.0,6753.0,6845.0,841052,442909,0.0
2020-05-13,6856.0,6924.0,6773.0,6887.0,1031466,450957,0.0
2020-05-14,6900.0,6905.0,6830.0,6879.0,728412,437058,0.0
2020-05-15,6880.0,6958.0,6835.0,6923.0,868536,439354,0.0
2020-05-18,6925.0,6948.0,6823.0,6915.0,852267,428680,0.0
2020-05-19,6931.0,7100.0,6923.0,6982.0,1065404,421917,0.0
2020-05-20,6978.0,7170.0,6960.0,7141.0,882577,473756,0.0
2020-05-21,7168.0,7263.0,7122.0,7159.0,995931,457083,0.0
2020-05-22,7180.0,7198.0,7026.0,7041.0,891588,422124,0.0
2020-05-25,7068.0,7189.0,7038.0,7142.0,711686,448487,0.0
2020-05-26,7155.0,7197.0,7086.0,7110.0,773919,419474,0.0
2020-05-27,7124.0,7179.0,7057.0,7150.0,753194,434556,0.0
2020-05-28,7150.0,7245.0,7073.0,7170.0,1000928,423802,0.0
2020-05-29,7193.0,7295.0,7160.0,7201.0,1098496,447403,0.0
2020-06-01,7193.0,7457.0,7181.0,7456.0,869912,516506,0.0
2020-06-02,7450.0,7589.0,7406.0,7513.0,929579,501448,0.0
2020-06-03,7525.0,7544.0,7457.0,7504.0,717650,503637,0.0
2020-06-04,7478.0,7487.0,7318.0,7342.0,812104,458151,0.0
2020-06-05,7339.0,7407.0,7323.0,7381.0,507305,455346,0.0
2020-06-08,7427.0,7450.0,7280.0,7360.0,809089,431577,0.0
2020-06-09,7347.0,7469.0,7289.0,7457.0,745304,467605,0.0
2020-06-10,7443.0,7487.0,7344.0,7369.0,685192,428524,0.0
2020-06-11,7377.0,7390.0,7307.0,7326.0,613941,411704,0.0
2020-06-12,7288.0,7338.0,7190.0,7329.0,693426,407260,0.0
2020-06-15,7337.0,7387.0,7283.0,7303.0,587364,391218,0.0
2020-06-16,7303.0,7484.0,7295.0,7443.0,603483,419894,0.0
2020-06-17,7460.0,7535.0,7401.0,7513.0,603942,445990,0.0
2020-06-18,7510.0,7563.0,7463.0,7480.0,595417,427311,0.0
2020-06-19,7488.0,7497.0,7428.0,7475.0,496313,415609,0.0
2020-06-22,7488.0,7518.0,7420.0,7466.0,503799,407185,0.0
2020-06-23,7464.0,7499.0,7415.0,7494.0,473546,417721,0.0
2020-06-24,7502.0,7516.0,7420.0,7474.0,408131,380184,0.0
2020-06-29,7430.0,7469.0,7320.0,7374.0,416940,374444,0.0
2020-06-30,7382.0,7456.0,7380.0,7417.0,420253,371406,0.0
2020-07-01,7409.0,7485.0,7398.0,7443.0,388808,369863,0.0
2020-07-02,7432.0,7497.0,7387.0,7482.0,551410,393370,0.0
2020-07-03,7482.0,7644.0,7472.0,7570.0,670650,416367,0.0
2020-07-06,7570.0,7753.0,7527.0,7731.0,565495,446855,0.0
2020-07-07,7715.0,7772.0,7675.0,7723.0,561738,430088,0.0
2020-07-08,7730.0,7768.0,7625.0,7643.0,622564,388700,0.0
2020-07-09,7643.0,7763.0,7643.0,7720.0,492694,394917,0.0
2020-07-10,7712.0,7737.0,7603.0,7627.0,507076,366141,0.0
2020-07-13,7650.0,7748.0,7636.0,7683.0,469136,361218,0.0
2020-07-14,7675.0,7685.0,7565.0,7667.0,542525,354284,0.0
2020-07-15,7665.0,7695.0,7556.0,7570.0,546588,351079,0.0
2020-07-16,7570.0,7604.0,7457.0,7469.0,629124,329637,0.0
2020-07-17,7468.0,7519.0,7438.0,7494.0,445805,305227,0.0
2020-07-20,7491.0,7538.0,7410.0,7479.0,510209,299444,7467.0
2020-07-21,7487.0,7558.0,7444.0,7459.0,435966,303584,7490.0
2020-07-22,7471.0,7580.0,7471.0,7472.0,537051,291405,7522.0
2020-07-23,7470.0,7515.0,7397.0,7491.0,510108,295847,7449.0
2020-07-24,7483.0,7495.0,7350.0,7368.0,499563,300757,7415.0
2020-07-27,7368.0,7535.0,7368.0,7528.0,505281,295852,7465.0
2020-07-28,7536.0,7673.0,7528.0,7652.0,546517,322309,7604.0
2020-07-29,7636.0,7673.0,7592.0,7623.0,360067,304327,7624.0
2020-07-30,7628.0,7681.0,7600.0,7624.0,371664,288964,7635.0
2020-07-31,7617.0,7650.0,7500.0,7635.0,504763,271324,7573.0
2020-08-03,7635.0,7662.0,7553.0,7643.0,406801,263512,7613.0
2020-08-04,7660.0,7796.0,7660.0,7763.0,499964,287577,7746.0
2020-08-05,7735.0,7843.0,7726.0,7750.0,465045,258884,7774.0
2020-08-06,7774.0,7814.0,7737.0,7727.0,320263,242096,0.0
2020-08-07,7729.0,7775.0,7633.0,7724.0,370803,230119,7709.0
2020-08-10,7720.0,7758.0,7637.0,7663.0,359197,211485,7680.0
2020-08-11,7660.0,7760.0,7627.0,7673.0,361173,194846,7691.0
2020-08-12,7693.0,7704.0,7560.0,7598.0,358922,173876,7628.0
2020-08-13,7622.0,7659.0,7529.0,7560.0,335296,158738,7577.0
2020-08-14,7573.0,7666.0,7553.0,7607.0,304087,141920,7608.0
2020-08-17,7599.0,7637.0,7544.0,7635.0,259869,134480,7589.0
2020-08-18,7635.0,7757.0,7620.0,7740.0,260426,135253,7706.0
2020-08-19,7725.0,7757.0,7670.0,7692.0,154037,113387,7700.0
2020-08-20,7611.0,7726.0,7596.0,7710.0,342744,282865,7653.0
2020-08-21,7710.0,7715.0,7552.0,7603.0,394746,248705,7618.0
2020-08-24,7599.0,7681.0,7587.0,7632.0,281781,264177,7638.0
2020-08-25,7648.0,7777.0,7639.0,7759.0,366797,317182,7727.0
2020-08-26,7769.0,7807.0,7722.0,7739.0,342966,308221,7756.0
2020-08-27,7740.0,7820.0,7730.0,7816.0,370935,336310,7779.0
2020-08-28,7815.0,7828.0,7746.0,7809.0,313374,322411,7787.0
2020-08-31,7809.0,8018.0,7800.0,7929.0,442523,325154,7917.0
2020-09-01,7929.0,7954.0,7887.0,7925.0,277537,316209,7926.0
2020-09-02,7917.0,8153.0,7907.0,8060.0,600663,337843,8025.0
2020-09-03,8060.0,8084.0,8001.0,8032.0,347285,337864,8048.0
2020-09-04,8026.0,8056.0,7887.0,7968.0,492221,322155,7973.0
2020-09-07,7970.0,7985.0,7843.0,7879.0,456673,303735,7891.0
2020-09-08,7890.0,7950.0,7828.0,7852.0,411977,301733,7875.0
2020-09-09,7806.0,7816.0,7663.0,7761.0,555988,303766,7754.0
2020-09-10,7777.0,7825.0,7707.0,7723.0,414741,298527,7764.0
2020-09-11,7723.0,7735.0,7618.0,7725.0,507017,302697,7686.0
2020-09-14,7720.0,7745.0,7675.0,7698.0,359323,301545,7707.0
2020-09-15,7690.0,7786.0,7662.0,7666.0,531129,316491,7721.0
2020-09-16,7710.0,7795.0,7643.0,7773.0,549198,327233,7714.0
2020-09-17,7788.0,7818.0,7638.0,7660.0,504770,326828,7733.0
2020-09-18,7677.0,7774.0,7665.0,7747.0,403070,306769,7723.0
2020-09-21,7747.0,7850.0,7682.0,7802.0,519929,319887,7779.0
2020-09-22,7790.0,7800.0,7630.0,7646.0,570967,305788,7708.0
2020-09-23,7652.0,7707.0,7550.0,7656.0,574730,307653,7629.0
2020-09-24,7680.0,7735.0,7580.0,7625.0,532726,306381,7663.0
2020-09-25,7641.0,7784.0,7634.0,7772.0,541012,316721,7729.0
2020-09-28,7772.0,7883.0,7747.0,7768.0,521326,314090,7806.0
2020-09-29,7783.0,7835.0,7745.0,7785.0,399290,308018,7784.0
2020-09-30,7795.0,7796.0,7603.0,7629.0,465192,273834,7671.0
2020-10-09,7720.0,7843.0,7659.0,7820.0,292938,294107,7759.0
2020-10-12,7835.0,7948.0,7777.0,7936.0,464260,339834,7869.0
2020-10-13,7936.0,7948.0,7864.0,7887.0,344857,344117,7895.0
2020-10-14,7895.0,8005.0,7889.0,7936.0,510794,370224,7953.0
2020-10-15,7950.0,8034.0,7876.0,7914.0,544717,366978,7945.0
2020-10-16,7884.0,7953.0,7831.0,7867.0,437851,354558,7881.0
2020-10-19,7867.0,7888.0,7733.0,7786.0,540901,326985,7802.0
2020-10-20,7786.0,7800.0,7723.0,7781.0,363109,320699,7769.0
2020-10-21,7781.0,7867.0,7745.0,7788.0,490597,323484,7797.0
2020-10-22,7792.0,7838.0,7712.0,7779.0,480332,319727,7780.0
2020-10-23,7785.0,7795.0,7692.0,7743.0,496654,331585,7750.0
2020-10-26,7750.0,7774.0,7650.0,7749.0,542686,331343,7720.0
2020-10-27,7751.0,7818.0,7691.0,7809.0,499657,345874,7756.0
2020-10-28,7800.0,7873.0,7770.0,7808.0,467099,326217,7817.0
2020-10-29,7777.0,7890.0,7746.0,7788.0,550313,328390,7823.0
2020-10-30,7750.0,7826.0,7680.0,7819.0,619441,312176,7760.0
2020-11-02,7822.0,8100.0,7794.0,8098.0,858164,396772,7964.0
2020-11-03,8098.0,8181.0,8036.0,8093.0,602236,391331,8097.0
2020-11-04,8108.0,8196.0,8020.0,8024.0,616344,369287,8105.0
2020-11-05,8030.0,8062.0,7913.0,7955.0,542271,326376,7966.0
2020-11-06,7955.0,7986.0,7920.0,7948.0,407979,314613,7948.0
2020-11-09,7950.0,8029.0,7905.0,7997.0,615876,306372,7965.0
2020-11-10,8064.0,8132.0,7923.0,7943.0,525712,305903,8021.0
2020-11-11,7947.0,8057.0,7930.0,8057.0,448715,314247,7988.0
2020-11-12,8065.0,8143.0,8025.0,8082.0,462089,320806,8078.0
2020-11-13,8076.0,8286.0,8067.0,8227.0,722619,353691,8179.0
2020-11-16,8218.0,8427.0,8205.0,8348.0,582077,353408,8329.0
2020-11-17,8380.0,8384.0,8266.0,8325.0,416805,331129,8315.0
2020-11-18,8324.0,8547.0,8302.0,8492.0,697599,364046,8461.0
2020-11-19,8547.0,8618.0,8452.0,8582.0,609558,355836,8534.0
2020-11-20,8582.0,8628.0,8470.0,8519.0,518192,339958,8536.0
2020-11-23,8530.0,8834.0,8507.0,8829.0,778082,362263,8727.0
2020-11-24,8837.0,8876.0,8771.0,8824.0,630475,342448,8820.0
2020-11-25,8832.0,8910.0,8713.0,8738.0,712852,333365,8801.0
2020-11-26,8747.0,8866.0,8653.0,8663.0,659047,325955,8768.0
2020-11-27,8665.0,8800.0,8603.0,8731.0,595458,317318,8679.0
2020-11-30,8731.0,8768.0,8634.0,8720.0,571481,301270,8696.0
2020-12-01,8715.0,8715.0,8509.0,8574.0,602185,272137,8587.0
2020-12-02,8570.0,8617.0,8456.0,8475.0,528138,267473,8542.0
2020-12-03,8466.0,8496.0,8372.0,8382.0,465209,252704,8437.0
2020-12-04,8375.0,8519.0,8335.0,8492.0,476499,233338,8445.0
2020-12-07,8486.0,8596.0,8358.0,8572.0,501822,221021,8479.0
2020-12-08,8570.0,8618.0,8404.0,8439.0,435088,201127,8499.0
2020-12-09,8439.0,8537.0,8400.0,8435.0,424469,189050,8469.0
2020-12-10,8449.0,8693.0,8434.0,8484.0,506450,171604,8568.0
2020-12-11,8483.0,8673.0,8438.0,8658.0,422219,166300,8543.0
2020-12-14,8600.0,8780.0,8419.0,8454.0,444693,126999,8607.0
2020-12-15,8454.0,8476.0,8317.0,8319.0,274119,116125,8376.0
2020-12-16,8290.0,8348.0,8203.0,8258.0,428651,239094,8278.0
2020-12-17,8260.0,8325.0,8223.0,8318.0,346213,240457,8281.0
2020-12-18,8308.0,8474.0,8303.0,8382.0,432021,234208,8391.0
2020-12-21,8396.0,8526.0,8306.0,8329.0,438846,243037,8398.0
2020-12-22,8300.0,8493.0,8175.0,8220.0,679195,239654,8377.0
2020-12-23,8250.0,8300.0,8152.0,8179.0,543319,249467,8211.0
2020-12-24,8180.0,8318.0,8180.0,8259.0,498301,258591,8257.0
2020-12-25,8258.0,8291.0,8083.0,8109.0,533369,284697,8196.0
2020-12-28,8109.0,8159.0,7954.0,7975.0,566881,290021,8073.0
2020-12-29,7975.0,8010.0,7881.0,7923.0,446691,280717,7947.0
2020-12-30,7947.0,7999.0,7863.0,7955.0,445122,275970,7937.0
2020-12-31,7956.0,8059.0,7868.0,8057.0,471717,262965,7963.0
2021-01-04,8041.0,8067.0,7934.0,8032.0,340849,275229,8000.0
2021-01-05,8031.0,8134.0,7917.0,7995.0,491063,288464,8029.0
2021-01-06,8020.0,8093.0,7926.0,7938.0,489714,311681,8003.0
2021-01-07,7938.0,8025.0,7844.0,7904.0,680448,321190,7950.0
2021-01-08,7922.0,7943.0,7750.0,7775.0,600847,349711,7853.0
2021-01-11,7787.0,7893.0,7732.0,7810.0,595073,330025,7806.0
2021-01-12,7810.0,7870.0,7715.0,7857.0,508735,324169,7789.0
2021-01-13,7868.0,7986.0,7787.0,7970.0,565854,327362,7888.0
2021-01-14,7969.0,7977.0,7818.0,7925.0,569260,316303,7896.0
2021-01-15,7950.0,8013.0,7883.0,7977.0,537367,316477,7944.0
2021-01-18,7977.0,8220.0,7970.0,8215.0,601769,329151,8082.0
2021-01-19,8212.0,8228.0,8079.0,8130.0,547935,310458,8164.0
