date,open,high,low,close,volume,hold,settle
2020-01-02,2330.0,2337.0,2320.0,2327.0,181523,262937,2328.0
2020-01-03,2326.0,2346.0,2325.0,2329.0,307781,262382,2335.0
2020-01-06,2326.0,2328.0,2301.0,2308.0,258868,259399,2313.0
2020-01-07,2308.0,2338.0,2308.0,2337.0,233447,273730,2325.0
2020-01-08,2337.0,2354.0,2314.0,2318.0,402048,277889,2330.0
2020-01-09,2317.0,2328.0,2292.0,2314.0,365473,276514,2312.0
2020-01-10,2320.0,2331.0,2263.0,2263.0,468935,273225,2300.0
2020-01-13,2261.0,2288.0,2261.0,2269.0,316923,270459,2273.0
2020-01-14,2271.0,2275.0,2238.0,2248.0,341185,288251,2258.0
2020-01-15,2248.0,2276.0,2247.0,2275.0,306572,275496,2259.0
2020-01-16,2275.0,2277.0,2251.0,2271.0,245700,275696,2264.0
2020-01-17,2269.0,2271.0,2245.0,2261.0,260523,278648,2258.0
2020-01-20,2262.0,2276.0,2258.0,2274.0,205241,272612,2268.0
2020-01-21,2272.0,2306.0,2255.0,2304.0,445685,268737,2281.0
2020-01-22,2301.0,2301.0,2241.0,2249.0,455897,258449,2267.0
2020-01-23,2251.0,2256.0,2228.0,2234.0,277239,237118,2244.0
2020-02-03,2086.0,2176.0,2086.0,2163.0,274507,225338,2154.0
2020-02-04,2182.0,2249.0,2167.0,2243.0,347209,230990,2216.0
2020-02-05,2233.0,2247.0,2218.0,2231.0,286618,233711,2230.0
2020-02-06,2232.0,2239.0,2214.0,2229.0,297096,233855,2228.0
2020-02-07,2230.0,2239.0,2222.0,2232.0,168888,230224,2231.0
2020-02-10,2232.0,2263.0,2229.0,2253.0,306062,229780,2250.0
2020-02-11,2252.0,2261.0,2238.0,2246.0,242747,226931,2245.0
2020-02-12,2251.0,2265.0,2233.0,2241.0,276841,224974,2247.0
2020-02-13,2244.0,2299.0,2243.0,2294.0,525467,244357,2276.0
2020-02-14,2291.0,2307.0,2280.0,2293.0,402805,244307,2292.0
2020-02-17,2298.0,2327.0,2296.0,2318.0,360649,245395,2317.0
2020-02-18,2316.0,2320.0,2280.0,2295.0,400563,234886,2296.0
2020-02-19,2298.0,2306.0,2284.0,2294.0,238564,227753,2294.0
2020-02-20,2296.0,2312.0,2277.0,2293.0,348958,230224,2295.0
2020-02-21,2289.0,2311.0,2289.0,2294.0,274577,228423,2299.0
2020-02-24,2290.0,2291.0,2242.0,2243.0,368784,227762,2262.0
2020-02-25,2236.0,2265.0,2225.0,2264.0,254561,216337,2246.0
2020-02-26,2265.0,2279.0,2256.0,2265.0,299935,223766,2266.0
2020-02-27,2271.0,2306.0,2271.0,2298.0,403245,235194,2294.0
2020-02-28,2307.0,2325.0,2240.0,2240.0,674303,219871,2293.0
2020-03-02,2251.0,2389.0,2250.0,2370.0,785536,268419,2335.0
2020-03-03,2375.0,2398.0,2358.0,2377.0,593070,275141,2374.0
2020-03-04,2375.0,2404.0,2363.0,2372.0,528569,273994,2378.0
2020-03-05,2369.0,2398.0,2356.0,2374.0,485527,269361,2377.0
2020-03-06,2356.0,2357.0,2329.0,2334.0,471438,256479,2342.0
2020-03-09,2245.0,2306.0,2229.0,2269.0,763383,207996,2266.0
2020-03-10,2280.0,2311.0,2274.0,2296.0,421785,187600,2296.0
2020-03-11,2302.0,2321.0,2285.0,2290.0,350901,171346,2307.0
2020-03-12,2277.0,2300.0,2259.0,2279.0,394220,168088,2283.0
2020-03-13,2284.0,2321.0,2245.0,2308.0,646760,162428,2290.0
2020-03-16,2296.0,2349.0,2291.0,2305.0,631110,166320,2318.0
2020-03-17,2289.0,2346.0,2283.0,2332.0,488887,164988,2319.0
2020-03-18,2335.0,2353.0,2309.0,2317.0,431383,153030,2332.0
2020-03-19,2330.0,2332.0,2266.0,2295.0,488291,129748,2297.0
2020-03-20,2332.0,2378.0,2332.0,2361.0,495852,126825,2359.0
2020-03-23,2382.0,2477.0,2381.0,2477.0,540968,143841,2443.0
2020-03-24,2502.0,2502.0,2406.0,2410.0,458062,121601,2446.0
2020-03-25,2416.0,2466.0,2414.0,2449.0,397276,127219,2443.0
2020-03-26,2419.0,2422.0,2384.0,2398.0,341525,113307,2409.0
2020-03-27,2416.0,2515.0,2409.0,2504.0,729273,119065,2481.0
2020-03-30,2509.0,2581.0,2508.0,2519.0,420759,112500,2551.0
2020-03-31,2528.0,2559.0,2491.0,2508.0,550439,126438,2517.0
2020-04-01,2503.0,2503.0,2391.0,2391.0,562124,133026,2428.0
2020-04-02,2373.0,2394.0,2343.0,2380.0,531618,273659,2370.0
2020-04-03,2375.0,2375.0,2310.0,2325.0,625243,274308,2338.0
2020-04-07,2330.0,2377.0,2330.0,2358.0,417614,260527,2361.0
2020-04-08,2348.0,2388.0,2335.0,2379.0,412460,268938,2373.0
2020-04-09,2377.0,2402.0,2362.0,2390.0,550103,288681,2381.0
2020-04-10,2398.0,2416.0,2382.0,2387.0,465578,296066,2399.0
2020-04-13,2403.0,2428.0,2366.0,2369.0,501384,311998,2400.0
2020-04-14,2359.0,2381.0,2345.0,2375.0,408655,304370,2365.0
2020-04-15,2373.0,2407.0,2372.0,2392.0,448760,310469,2391.0
