date,open,high,low,close,volume,hold,settle
2020-01-02,5870.0,5870.0,5828.0,5834.0,13589,43510,5842.0
2020-01-03,5820.0,5866.0,5820.0,5858.0,16905,44734,5850.0
2020-01-06,5852.0,5866.0,5806.0,5812.0,30035,43623,5826.0
2020-01-07,5812.0,5832.0,5812.0,5824.0,12566,42869,5822.0
2020-01-08,5830.0,5830.0,5762.0,5798.0,33177,43253,5796.0
2020-01-09,5786.0,5822.0,5784.0,5798.0,15327,43054,5800.0
2020-01-10,5808.0,5810.0,5780.0,5800.0,15785,45518,5790.0
2020-01-13,5800.0,5812.0,5762.0,5776.0,21105,46405,5786.0
2020-01-14,5780.0,5794.0,5748.0,5794.0,34879,46210,5774.0
2020-01-15,5784.0,5790.0,5752.0,5786.0,38114,47093,5774.0
2020-01-16,5788.0,5792.0,5756.0,5764.0,22988,49828,5774.0
2020-01-17,5772.0,5788.0,5760.0,5786.0,14989,47951,5774.0
2020-01-20,5782.0,5812.0,5762.0,5812.0,22561,47675,5794.0
2020-01-21,5808.0,5850.0,5802.0,5850.0,39279,45562,5832.0
2020-01-22,5820.0,5862.0,5820.0,5862.0,25816,47246,5846.0
2020-01-23,5856.0,5856.0,5820.0,5850.0,20529,46526,5838.0
2020-02-03,5732.0,5994.0,5662.0,5942.0,83716,56366,5868.0
2020-02-04,5940.0,6106.0,5926.0,6100.0,87542,76587,6008.0
2020-02-05,6106.0,6150.0,5930.0,5940.0,97170,82558,6028.0
2020-02-06,5940.0,5972.0,5928.0,5956.0,43528,82295,5952.0
2020-02-07,5956.0,5966.0,5880.0,5930.0,47227,78404,5918.0
2020-02-10,5922.0,5932.0,5892.0,5898.0,26460,76588,5908.0
2020-02-11,5908.0,5950.0,5848.0,5948.0,42429,76523,5924.0
2020-02-12,5968.0,5976.0,5890.0,5910.0,38750,72112,5918.0
2020-02-13,5920.0,5922.0,5824.0,5864.0,43110,63778,5870.0
2020-02-14,5870.0,5870.0,5822.0,5832.0,24018,60733,5836.0
2020-02-17,5812.0,5814.0,5744.0,5780.0,51787,62648,5772.0
2020-02-18,5762.0,5780.0,5724.0,5730.0,30855,63235,5752.0
2020-02-19,5740.0,5752.0,5720.0,5740.0,22746,63254,5736.0
2020-02-20,5730.0,5788.0,5726.0,5784.0,37721,65184,5754.0
2020-02-21,5784.0,5798.0,5752.0,5762.0,43770,65801,5770.0
2020-02-24,5766.0,5778.0,5708.0,5716.0,42199,64401,5740.0
2020-02-25,5710.0,5720.0,5682.0,5716.0,27373,66158,5700.0
2020-02-26,5710.0,5740.0,5692.0,5720.0,24948,65545,5722.0
2020-02-27,5706.0,5722.0,5694.0,5720.0,16835,65603,5708.0
2020-02-28,5728.0,5736.0,5666.0,5716.0,41756,59552,5710.0
2020-03-02,5702.0,5728.0,5688.0,5710.0,37038,60422,5714.0
2020-03-03,5720.0,5758.0,5712.0,5714.0,38005,59814,5732.0
2020-03-04,5690.0,5692.0,5558.0,5644.0,147607,73113,5620.0
2020-03-05,5644.0,5728.0,5644.0,5674.0,49435,64768,5680.0
2020-03-06,5670.0,5670.0,5608.0,5650.0,34128,64560,5634.0
2020-03-09,5598.0,5634.0,5540.0,5606.0,51434,67513,5592.0
2020-03-10,5606.0,5622.0,5578.0,5606.0,32251,64030,5602.0
2020-03-11,5616.0,5634.0,5604.0,5620.0,22856,64652,5618.0
2020-03-12,5600.0,5620.0,5570.0,5602.0,36798,67207,5596.0
2020-03-13,5582.0,5610.0,5554.0,5596.0,41166,63575,5592.0
2020-03-16,5600.0,5626.0,5566.0,5592.0,48070,62150,5594.0
2020-03-17,5586.0,5616.0,5550.0,5608.0,43465,60855,5592.0
2020-03-18,5600.0,5678.0,5600.0,5638.0,46251,56553,5630.0
2020-03-19,5620.0,5624.0,5466.0,5522.0,86260,54642,5554.0
2020-03-20,5554.0,5572.0,5512.0,5536.0,42697,53724,5540.0
2020-03-23,5508.0,5510.0,5340.0,5364.0,68547,61714,5422.0
2020-03-24,5388.0,5430.0,5334.0,5426.0,54461,53774,5386.0
2020-03-25,5434.0,5474.0,5378.0,5408.0,43564,52217,5418.0
2020-03-26,5408.0,5596.0,5388.0,5530.0,155203,47888,5516.0
2020-03-27,5532.0,5546.0,5322.0,5332.0,108008,43807,5398.0
2020-03-30,5280.0,5386.0,5280.0,5350.0,60228,41032,5342.0
2020-03-31,5336.0,5434.0,5334.0,5410.0,44431,36770,5386.0
2020-04-01,5404.0,5508.0,5382.0,5416.0,77734,34283,5436.0
2020-04-02,5358.0,5464.0,5358.0,5446.0,40496,32630,5418.0
2020-04-03,5510.0,5510.0,5440.0,5490.0,36551,30596,5476.0
2020-04-07,5618.0,5628.0,5396.0,5576.0,37130,6978,5568.0
2020-04-08,5454.0,5636.0,5454.0,5612.0,38554,7270,5582.0
2020-04-09,5644.0,5646.0,5522.0,5532.0,36428,11431,5580.0
2020-04-10,5492.0,5658.0,5492.0,5548.0,77546,15167,5598.0
2020-04-13,5560.0,5654.0,5480.0,5532.0,84135,37044,5562.0
2020-04-14,5516.0,5548.0,5482.0,5538.0,62807,37709,5520.0
2020-04-15,5550.0,5578.0,5486.0,5490.0,56008,43392,5530.0
2020-04-16,5500.0,5590.0,5472.0,5522.0,77881,41430,5532.0
2020-04-17,5534.0,5598.0,5520.0,5590.0,65543,39168,5560.0
2020-04-20,5630.0,5746.0,5568.0,5714.0,118807,43607,5682.0
2020-04-21,5692.0,5788.0,5646.0,5708.0,91884,45266,5714.0
2020-04-22,5698.0,5740.0,5668.0,5708.0,59053,46770,5702.0
2020-04-23,5726.0,5730.0,5644.0,5662.0,75390,42122,5676.0
2020-04-24,5676.0,5768.0,5632.0,5690.0,88439,40593,5718.0
2020-04-27,5708.0,5746.0,5672.0,5734.0,53283,40897,5712.0
2020-04-28,5708.0,5766.0,5690.0,5744.0,62903,42393,5738.0
2020-04-29,5780.0,5864.0,5754.0,5800.0,106769,44746,5804.0
2020-04-30,5810.0,5834.0,5776.0,5830.0,72091,41345,5808.0
2020-05-06,5850.0,5850.0,5772.0,5782.0,60214,43334,5800.0
2020-05-07,5778.0,5804.0,5756.0,5796.0,49230,43760,5780.0
2020-05-08,5770.0,5848.0,5766.0,5846.0,66308,55553,5814.0
2020-05-11,5840.0,5878.0,5804.0,5816.0,75234,57261,5842.0
2020-05-12,5830.0,5842.0,5796.0,5840.0,38837,56817,5818.0
2020-05-13,5834.0,5838.0,5798.0,5834.0,37450,55540,5814.0
2020-05-14,5846.0,5868.0,5774.0,5774.0,61085,50779,5814.0
2020-05-15,5788.0,5848.0,5780.0,5846.0,56238,54009,5820.0
2020-05-18,5850.0,5858.0,5796.0,5798.0,64998,51050,5822.0
2020-05-19,5820.0,5862.0,5782.0,5860.0,69499,59184,5826.0
2020-05-20,5870.0,5906.0,5818.0,5896.0,69961,65710,5858.0
2020-05-21,5896.0,5992.0,5868.0,5930.0,109007,72618,5940.0
2020-05-22,5910.0,5980.0,5860.0,5880.0,68781,67923,5920.0
2020-05-25,5922.0,5980.0,5870.0,5912.0,63430,34009,5922.0
2020-05-26,5936.0,6004.0,5914.0,5974.0,87537,35718,5968.0
2020-05-27,5960.0,5972.0,5808.0,5860.0,76871,30898,5914.0
2020-05-28,5866.0,5866.0,5780.0,5810.0,100852,28806,5808.0
2020-05-29,5822.0,5822.0,5756.0,5766.0,68515,27426,5780.0
2020-06-01,5772.0,5842.0,5766.0,5832.0,22469,24193,5802.0
2020-06-02,5738.0,5764.0,5652.0,5762.0,45805,21725,5700.0
2020-06-03,5762.0,5808.0,5734.0,5788.0,54090,22389,5782.0
2020-06-04,5790.0,5826.0,5754.0,5786.0,71136,23794,5790.0
2020-06-05,5794.0,5796.0,5688.0,5700.0,58068,27990,5726.0
2020-06-08,5708.0,5756.0,5688.0,5716.0,76301,26560,5728.0
2020-06-09,5712.0,5796.0,5644.0,5770.0,79216,28776,5710.0
2020-06-10,5768.0,5786.0,5576.0,5590.0,97591,33609,5672.0
2020-06-11,5586.0,5614.0,5528.0,5562.0,120829,40221,5572.0
2020-06-12,5538.0,5688.0,5536.0,5598.0,118298,38069,5628.0
2020-06-15,5578.0,5638.0,5560.0,5600.0,84570,37632,5604.0
2020-06-16,5620.0,5662.0,5570.0,5626.0,81689,38596,5612.0
2020-06-17,5618.0,5824.0,5592.0,5788.0,181500,45671,5766.0
2020-06-18,5792.0,6090.0,5770.0,6032.0,455636,69787,5990.0
2020-06-19,6030.0,6072.0,5974.0,6032.0,275928,74137,6026.0
2020-06-22,6046.0,6122.0,5782.0,5836.0,362080,67492,5904.0
