date,open,high,low,close,volume,hold,settle
2020-01-02,6398.0,6430.0,6360.0,6386.0,39826,69328,6392.0
2020-01-03,6390.0,6454.0,6370.0,6380.0,51770,68372,6412.0
2020-01-06,6378.0,6380.0,6262.0,6280.0,76307,61153,6306.0
2020-01-07,6278.0,6332.0,6242.0,6300.0,49762,60931,6296.0
2020-01-08,6300.0,6322.0,6276.0,6288.0,37363,59051,6300.0
2020-01-09,6266.0,6340.0,6254.0,6288.0,49883,61283,6308.0
2020-01-10,6282.0,6310.0,6244.0,6286.0,39254,60076,6292.0
2020-01-13,6298.0,6360.0,6220.0,6220.0,63330,62212,6290.0
2020-01-14,6218.0,6260.0,6182.0,6228.0,52119,62952,6220.0
2020-01-15,6246.0,6248.0,6208.0,6240.0,42374,63047,6224.0
2020-01-16,6230.0,6254.0,6202.0,6248.0,33545,63284,6232.0
2020-01-17,6262.0,6322.0,6252.0,6284.0,51395,57864,6292.0
2020-01-20,6278.0,6434.0,6276.0,6420.0,72569,62080,6392.0
2020-01-21,6420.0,6450.0,6370.0,6418.0,40842,56647,6406.0
2020-01-22,6380.0,6450.0,6380.0,6428.0,42843,57393,6420.0
2020-01-23,6416.0,6438.0,6388.0,6432.0,29035,51403,6412.0
2020-02-03,6348.0,6638.0,6282.0,6538.0,139735,61886,6504.0
2020-02-04,6514.0,6686.0,6514.0,6668.0,88207,68736,6594.0
2020-02-05,6672.0,6700.0,6500.0,6506.0,87452,69714,6596.0
2020-02-06,6514.0,6548.0,6464.0,6514.0,55440,69065,6518.0
2020-02-07,6510.0,6544.0,6478.0,6510.0,46203,68236,6508.0
2020-02-10,6510.0,6530.0,6480.0,6510.0,37345,67387,6508.0
2020-02-11,6500.0,6568.0,6484.0,6560.0,56214,69706,6542.0
2020-02-12,6552.0,6574.0,6420.0,6454.0,76184,59352,6484.0
2020-02-13,6470.0,6470.0,6356.0,6372.0,60625,56920,6404.0
2020-02-14,6362.0,6366.0,6282.0,6288.0,60771,56133,6320.0
2020-02-17,6266.0,6292.0,6214.0,6280.0,53201,58521,6264.0
2020-02-18,6278.0,6318.0,6220.0,6230.0,69741,60710,6268.0
2020-02-19,6230.0,6258.0,6188.0,6202.0,49144,59452,6230.0
2020-02-20,6208.0,6296.0,6198.0,6282.0,67205,62958,6248.0
2020-02-21,6266.0,6304.0,6216.0,6236.0,64374,64472,6260.0
2020-02-24,6206.0,6258.0,6074.0,6100.0,108878,72237,6148.0
2020-02-25,6076.0,6104.0,6028.0,6068.0,62793,79944,6068.0
2020-02-26,6056.0,6144.0,6030.0,6088.0,70199,80490,6098.0
2020-02-27,6068.0,6080.0,6010.0,6050.0,51745,81729,6040.0
2020-02-28,6046.0,6068.0,6000.0,6048.0,61441,79833,6040.0
2020-03-02,6012.0,6112.0,6012.0,6088.0,63721,80054,6080.0
2020-03-03,6100.0,6120.0,6062.0,6072.0,52816,81414,6088.0
2020-03-04,6072.0,6176.0,5972.0,6138.0,132884,79565,6068.0
2020-03-05,6122.0,6156.0,6092.0,6096.0,52703,79535,6120.0
2020-03-06,6076.0,6088.0,6022.0,6084.0,55828,77374,6052.0
2020-03-09,6018.0,6078.0,5926.0,5974.0,101506,81421,6000.0
2020-03-10,5988.0,6062.0,5978.0,6024.0,52210,81336,6022.0
2020-03-11,6048.0,6048.0,5982.0,6020.0,55685,83567,6008.0
2020-03-12,6010.0,6104.0,6004.0,6084.0,103884,84547,6068.0
2020-03-13,6062.0,6102.0,6022.0,6084.0,71727,78679,6066.0
2020-03-16,6138.0,6308.0,6138.0,6264.0,130454,73979,6256.0
2020-03-17,6260.0,6290.0,6204.0,6280.0,64277,69316,6256.0
2020-03-18,6346.0,6438.0,6280.0,6358.0,101456,72639,6360.0
2020-03-19,6340.0,6372.0,6224.0,6298.0,95370,64843,6292.0
2020-03-20,6310.0,6450.0,6310.0,6352.0,72201,64779,6372.0
2020-03-23,6300.0,6360.0,6258.0,6268.0,71676,65411,6302.0
2020-03-24,6306.0,6506.0,6294.0,6470.0,151359,75236,6418.0
2020-03-25,6514.0,6598.0,6504.0,6596.0,107136,81604,6556.0
2020-03-26,6650.0,6950.0,6618.0,6950.0,184947,94639,6798.0
2020-03-27,7050.0,7148.0,6672.0,6940.0,356458,65868,6890.0
2020-03-30,6940.0,7054.0,6830.0,6952.0,187663,71846,6972.0
2020-03-31,6984.0,7002.0,6912.0,6926.0,98891,69092,6956.0
2020-04-01,6916.0,6936.0,6600.0,6686.0,179371,62480,6762.0
2020-04-02,6696.0,6830.0,6602.0,6780.0,136257,59243,6714.0
2020-04-03,6772.0,6794.0,6658.0,6708.0,104027,54060,6706.0
