date,open,high,low,close,volume,hold,settle
2020-01-02,4606.0,4632.0,4606.0,4610.0,51535,124764,4618.0
2020-01-03,4610.0,4628.0,4600.0,4604.0,55630,123234,4612.0
2020-01-06,4602.0,4608.0,4560.0,4566.0,87949,123483,4580.0
2020-01-07,4566.0,4588.0,4562.0,4582.0,51299,124322,4576.0
2020-01-08,4582.0,4680.0,4580.0,4660.0,209188,141106,4640.0
2020-01-09,4660.0,4696.0,4642.0,4666.0,117867,138661,4666.0
2020-01-10,4672.0,4692.0,4644.0,4652.0,96828,142612,4662.0
2020-01-13,4648.0,4692.0,4642.0,4682.0,100358,146486,4666.0
2020-01-14,4684.0,4696.0,4656.0,4666.0,83243,143465,4668.0
2020-01-15,4670.0,4676.0,4652.0,4664.0,56772,138936,4662.0
2020-01-16,4664.0,4708.0,4662.0,4672.0,136857,139696,4684.0
2020-01-17,4672.0,4692.0,4662.0,4672.0,59852,136056,4676.0
2020-01-20,4680.0,4740.0,4666.0,4738.0,100041,141766,4700.0
2020-01-21,4734.0,4740.0,4628.0,4634.0,143226,125547,4684.0
2020-01-22,4634.0,4636.0,4582.0,4602.0,115690,122048,4602.0
2020-01-23,4602.0,4604.0,4522.0,4564.0,75460,115030,4568.0
2020-02-03,4412.0,4428.0,4252.0,4390.0,98717,106085,4370.0
2020-02-04,4390.0,4498.0,4384.0,4460.0,84153,104117,4450.0
2020-02-05,4444.0,4494.0,4442.0,4462.0,41436,103756,4474.0
2020-02-06,4464.0,4498.0,4462.0,4492.0,46527,103333,4484.0
2020-02-07,4480.0,4496.0,4464.0,4474.0,32709,102458,4480.0
2020-02-10,4464.0,4474.0,4438.0,4464.0,32907,101778,4460.0
2020-02-11,4462.0,4490.0,4460.0,4486.0,29316,101498,4478.0
2020-02-12,4488.0,4528.0,4472.0,4482.0,69232,100181,4500.0
2020-02-13,4484.0,4506.0,4472.0,4488.0,29806,99718,4488.0
2020-02-14,4488.0,4498.0,4474.0,4488.0,33054,98278,4488.0
2020-02-17,4488.0,4518.0,4488.0,4512.0,44419,97578,4508.0
2020-02-18,4510.0,4538.0,4496.0,4518.0,48396,96861,4520.0
2020-02-19,4516.0,4542.0,4506.0,4530.0,40588,96423,4524.0
2020-02-20,4534.0,4602.0,4532.0,4598.0,61008,97487,4558.0
2020-02-21,4598.0,4630.0,4586.0,4606.0,74000,98607,4606.0
2020-02-24,4600.0,4614.0,4522.0,4590.0,80583,96434,4578.0
2020-02-25,4580.0,4610.0,4560.0,4576.0,70218,101314,4584.0
2020-02-26,4566.0,4582.0,4538.0,4542.0,66149,97402,4560.0
2020-02-27,4540.0,4552.0,4510.0,4510.0,63785,95039,4526.0
2020-02-28,4508.0,4508.0,4454.0,4462.0,81438,87326,4478.0
2020-03-02,4462.0,4526.0,4462.0,4492.0,64375,87702,4504.0
2020-03-03,4502.0,4536.0,4500.0,4502.0,51852,88577,4514.0
2020-03-04,4508.0,4528.0,4496.0,4506.0,38678,89904,4508.0
2020-03-05,4504.0,4526.0,4498.0,4514.0,38754,91152,4510.0
2020-03-06,4510.0,4610.0,4504.0,4566.0,158774,99715,4572.0
2020-03-09,4506.0,4540.0,4394.0,4494.0,118229,81111,4490.0
2020-03-10,4500.0,4576.0,4500.0,4558.0,81031,82544,4548.0
2020-03-11,4552.0,4592.0,4546.0,4554.0,75807,82398,4572.0
2020-03-12,4554.0,4560.0,4512.0,4532.0,60819,77435,4530.0
2020-03-13,4518.0,4528.0,4470.0,4508.0,84262,70328,4494.0
2020-03-16,4526.0,4582.0,4492.0,4492.0,83003,69697,4538.0
2020-03-17,4484.0,4496.0,4450.0,4484.0,54130,73438,4478.0
2020-03-18,4484.0,4530.0,4482.0,4492.0,66818,72304,4502.0
2020-03-19,4502.0,4550.0,4452.0,4536.0,115092,72561,4492.0
2020-03-20,4540.0,4556.0,4476.0,4482.0,85104,72744,4508.0
2020-03-23,4476.0,4482.0,4434.0,4442.0,73343,77267,4452.0
2020-03-24,4480.0,4508.0,4452.0,4486.0,65141,72098,4476.0
2020-03-25,4526.0,4528.0,4486.0,4506.0,56185,63659,4506.0
2020-03-26,4506.0,4542.0,4492.0,4532.0,71603,59205,4524.0
2020-03-27,4542.0,4638.0,4532.0,4582.0,152095,55689,4590.0
2020-03-30,4570.0,4588.0,4502.0,4518.0,76629,46452,4536.0
2020-03-31,4576.0,4576.0,4504.0,4520.0,58148,44713,4536.0
2020-04-01,4538.0,4544.0,4480.0,4494.0,64928,42500,4508.0
2020-04-02,4494.0,4520.0,4474.0,4500.0,43939,40020,4496.0
2020-04-03,4628.0,4644.0,4584.0,4596.0,60182,46332,4606.0
2020-04-07,4606.0,4674.0,4606.0,4658.0,74619,46291,4642.0
2020-04-08,4652.0,4694.0,4632.0,4634.0,83772,51921,4660.0
2020-04-09,4642.0,4656.0,4608.0,4616.0,64542,54390,4624.0
2020-04-10,4626.0,4636.0,4594.0,4610.0,59240,57503,4612.0
2020-04-13,4628.0,4628.0,4586.0,4592.0,61085,59563,4602.0
2020-04-14,4588.0,4624.0,4572.0,4610.0,52066,58156,4602.0
2020-04-15,4608.0,4620.0,4594.0,4600.0,40734,59484,4604.0
2020-04-16,4590.0,4616.0,4566.0,4608.0,75665,58351,4590.0
2020-04-17,4616.0,4632.0,4604.0,4606.0,58646,56561,4616.0
2020-04-20,4600.0,4608.0,4560.0,4574.0,51633,66490,4578.0
2020-04-21,4572.0,4578.0,4480.0,4484.0,94870,84188,4528.0
2020-04-22,4462.0,4544.0,4450.0,4514.0,80103,81610,4502.0
2020-04-23,4512.0,4532.0,4492.0,4510.0,56246,83621,4510.0
2020-04-24,4510.0,4526.0,4498.0,4504.0,36729,82788,4510.0
2020-04-27,4514.0,4536.0,4472.0,4488.0,89407,86095,4492.0
2020-04-28,4488.0,4514.0,4480.0,4494.0,52384,82690,4494.0
2020-04-29,4496.0,4502.0,4466.0,4476.0,59495,83948,4478.0
2020-04-30,4490.0,4524.0,4484.0,4512.0,42223,74818,4508.0
2020-05-06,4500.0,4520.0,4452.0,4468.0,66355,85945,4478.0
2020-05-07,4474.0,4498.0,4464.0,4468.0,62972,91022,4476.0
2020-05-08,4468.0,4508.0,4466.0,4490.0,80778,85349,4488.0
2020-05-11,4484.0,4492.0,4458.0,4478.0,69562,92259,4472.0
2020-05-12,4490.0,4490.0,4434.0,4468.0,69386,90009,4464.0
2020-05-13,4468.0,4480.0,4408.0,4418.0,91329,104047,4438.0
2020-05-14,4416.0,4422.0,4370.0,4406.0,88069,109401,4392.0
2020-05-15,4406.0,4428.0,4390.0,4422.0,60084,101768,4410.0
2020-05-18,4414.0,4420.0,4396.0,4400.0,46898,101673,4406.0
2020-05-19,4412.0,4440.0,4404.0,4418.0,61222,100615,4420.0
2020-05-20,4412.0,4428.0,4412.0,4420.0,38195,102021,4420.0
2020-05-21,4424.0,4458.0,4418.0,4446.0,77300,100517,4438.0
2020-05-22,4446.0,4450.0,4376.0,4382.0,81436,102557,4410.0
2020-05-25,4396.0,4408.0,4384.0,4406.0,53683,100578,4394.0
2020-05-26,4400.0,4440.0,4398.0,4432.0,67243,97164,4424.0
2020-05-27,4434.0,4440.0,4422.0,4432.0,31877,95557,4428.0
2020-05-28,4432.0,4438.0,4400.0,4412.0,57544,99536,4414.0
2020-05-29,4410.0,4412.0,4384.0,4386.0,52229,108633,4394.0
2020-06-01,4386.0,4450.0,4378.0,4438.0,87259,99794,4416.0
2020-06-02,4426.0,4438.0,4418.0,4420.0,42731,99918,4426.0
2020-06-03,4418.0,4434.0,4396.0,4434.0,55931,101304,4424.0
2020-06-04,4430.0,4466.0,4420.0,4454.0,121923,107631,4444.0
2020-06-05,4454.0,4478.0,4440.0,4466.0,97428,113047,4462.0
2020-06-08,4468.0,4476.0,4452.0,4458.0,59856,111857,4460.0
2020-06-09,4458.0,4482.0,4444.0,4458.0,69474,111963,4462.0
2020-06-10,4458.0,4470.0,4444.0,4452.0,45717,110841,4452.0
2020-06-11,4452.0,4458.0,4400.0,4400.0,83634,107581,4428.0
2020-06-12,4394.0,4416.0,4388.0,4396.0,73689,107817,4400.0
2020-06-15,4400.0,4406.0,4344.0,4380.0,159984,114298,4374.0
2020-06-16,4380.0,4418.0,4370.0,4416.0,77394,109206,4392.0
2020-06-17,4416.0,4422.0,4396.0,4404.0,48647,109189,4408.0
2020-06-18,4404.0,4412.0,4382.0,4390.0,48949,111506,4396.0
2020-06-19,4398.0,4418.0,4384.0,4416.0,54753,106888,4402.0
2020-06-22,4420.0,4434.0,4390.0,4394.0,51507,106000,4410.0
2020-06-23,4400.0,4412.0,4392.0,4394.0,40158,103436,4402.0
2020-06-24,4400.0,4404.0,4370.0,4398.0,67575,102979,4388.0
