date,open,high,low,close,volume,hold,settle
2020-01-02,5584.0,5642.0,5555.0,5576.0,218012,279712,5588.0
2020-01-03,5586.0,5599.0,5543.0,5572.0,195211,275723,5573.0
2020-01-06,5585.0,5605.0,5565.0,5569.0,207980,274808,5583.0
2020-01-07,5580.0,5728.0,5573.0,5720.0,559282,316400,5664.0
2020-01-08,5722.0,5736.0,5696.0,5725.0,279418,311949,5718.0
2020-01-09,5729.0,5748.0,5683.0,5709.0,324090,307984,5715.0
2020-01-10,5711.0,5797.0,5709.0,5789.0,398502,333944,5761.0
2020-01-13,5796.0,5921.0,5796.0,5840.0,541005,350515,5855.0
2020-01-14,5858.0,5886.0,5837.0,5862.0,353655,349533,5866.0
2020-01-15,5889.0,5898.0,5793.0,5839.0,409125,342791,5849.0
2020-01-16,5836.0,5908.0,5826.0,5860.0,445191,347483,5864.0
2020-01-17,5859.0,5867.0,5828.0,5847.0,340402,340698,5847.0
2020-01-20,5852.0,5859.0,5705.0,5724.0,565253,305166,5766.0
2020-01-21,5713.0,5727.0,5675.0,5679.0,284470,277214,5701.0
2020-01-22,5681.0,5716.0,5597.0,5670.0,335688,248263,5680.0
2020-01-23,5692.0,5712.0,5619.0,5622.0,212407,234938,5664.0
2020-02-03,5488.0,5527.0,5300.0,5481.0,323180,220476,5461.0
2020-02-04,5510.0,5680.0,5510.0,5680.0,341021,262573,5635.0
2020-02-05,5668.0,5685.0,5630.0,5662.0,258119,242601,5658.0
2020-02-06,5679.0,5771.0,5666.0,5765.0,358707,267145,5735.0
2020-02-07,5756.0,5782.0,5724.0,5773.0,259002,270103,5754.0
2020-02-10,5777.0,5820.0,5737.0,5751.0,491927,266486,5779.0
2020-02-11,5758.0,5769.0,5705.0,5729.0,323326,254377,5732.0
2020-02-12,5765.0,5811.0,5716.0,5771.0,499142,253770,5764.0
2020-02-13,5790.0,5801.0,5736.0,5757.0,354489,250107,5766.0
2020-02-14,5708.0,5730.0,5651.0,5669.0,435759,243569,5678.0
2020-02-17,5669.0,5806.0,5669.0,5789.0,611849,265514,5761.0
2020-02-18,5755.0,5766.0,5724.0,5748.0,357745,250648,5746.0
2020-02-19,5770.0,5795.0,5746.0,5751.0,342427,252120,5765.0
2020-02-20,5760.0,5778.0,5737.0,5776.0,317099,244793,5759.0
2020-02-21,5762.0,5855.0,5747.0,5774.0,615271,250077,5801.0
2020-02-24,5783.0,5833.0,5775.0,5822.0,444868,266167,5812.0
2020-02-25,5770.0,5822.0,5750.0,5806.0,339967,256874,5796.0
2020-02-26,5796.0,5831.0,5726.0,5734.0,431716,255594,5776.0
2020-02-27,5705.0,5764.0,5704.0,5735.0,321016,238690,5739.0
2020-02-28,5691.0,5726.0,5634.0,5664.0,499492,225461,5672.0
2020-03-02,5690.0,5757.0,5686.0,5750.0,324949,223594,5725.0
2020-03-03,5736.0,5744.0,5670.0,5691.0,367157,224261,5699.0
2020-03-04,5693.0,5705.0,5664.0,5679.0,208527,221566,5684.0
2020-03-05,5660.0,5728.0,5648.0,5728.0,313653,229633,5692.0
2020-03-06,5715.0,5740.0,5702.0,5721.0,320466,228661,5719.0
2020-03-09,5624.0,5673.0,5510.0,5574.0,782209,217329,5580.0
2020-03-10,5593.0,5668.0,5593.0,5657.0,322036,199350,5635.0
2020-03-11,5647.0,5689.0,5625.0,5632.0,244011,198234,5643.0
2020-03-12,5597.0,5597.0,5534.0,5548.0,369018,188801,5563.0
2020-03-13,5476.0,5567.0,5404.0,5553.0,435334,176743,5474.0
2020-03-16,5518.0,5540.0,5481.0,5516.0,209415,170832,5513.0
2020-03-17,5441.0,5532.0,5424.0,5514.0,282827,164786,5493.0
2020-03-18,5496.0,5545.0,5460.0,5468.0,250103,154011,5500.0
2020-03-19,5477.0,5500.0,5400.0,5487.0,356977,143801,5459.0
2020-03-20,5510.0,5580.0,5475.0,5496.0,174726,135066,5514.0
2020-03-23,5460.0,5540.0,5455.0,5511.0,206952,130237,5505.0
2020-03-24,5545.0,5570.0,5506.0,5539.0,157735,122591,5541.0
2020-03-25,5570.0,5585.0,5496.0,5512.0,130216,116011,5541.0
2020-03-26,5519.0,5521.0,5473.0,5491.0,118759,112142,5491.0
2020-03-27,5451.0,5483.0,5431.0,5453.0,154400,224270,5465.0
2020-03-30,5450.0,5517.0,5437.0,5502.0,212596,228411,5495.0
2020-03-31,5480.0,5510.0,5462.0,5503.0,189371,230075,5486.0
2020-04-01,5492.0,5495.0,5350.0,5353.0,352098,270846,5430.0
2020-04-02,5310.0,5359.0,5247.0,5339.0,407771,264933,5302.0
2020-04-03,5345.0,5345.0,5257.0,5290.0,358174,276928,5289.0
2020-04-07,5310.0,5352.0,5290.0,5344.0,214817,281903,5332.0
2020-04-08,5316.0,5381.0,5302.0,5376.0,219651,292196,5349.0
2020-04-09,5381.0,5387.0,5340.0,5358.0,205922,296375,5361.0
2020-04-10,5357.0,5374.0,5328.0,5347.0,215312,295004,5351.0
2020-04-13,5343.0,5376.0,5308.0,5329.0,240906,307761,5351.0
2020-04-14,5308.0,5320.0,5230.0,5291.0,311777,312263,5272.0
2020-04-15,5285.0,5308.0,5267.0,5281.0,191538,319382,5295.0
2020-04-16,5281.0,5318.0,5253.0,5273.0,214563,324766,5279.0
2020-04-17,5281.0,5302.0,5257.0,5276.0,201295,323591,5282.0
2020-04-20,5290.0,5304.0,5253.0,5265.0,331203,336427,5280.0
2020-04-21,5227.0,5243.0,5151.0,5159.0,325164,340766,5187.0
2020-04-22,5147.0,5168.0,5094.0,5134.0,262319,340632,5134.0
2020-04-23,5150.0,5175.0,5138.0,5163.0,196071,348919,5159.0
2020-04-24,5159.0,5159.0,5086.0,5092.0,334500,362916,5116.0
2020-04-27,5036.0,5037.0,4915.0,4931.0,468438,372764,4961.0
2020-04-28,4889.0,4889.0,4762.0,4833.0,753261,376409,4805.0
2020-04-29,4873.0,4944.0,4854.0,4932.0,401322,352956,4902.0
2020-04-30,4998.0,5027.0,4970.0,5015.0,300365,337513,5005.0
2020-05-06,5089.0,5093.0,5021.0,5027.0,170693,343440,5047.0
2020-05-07,5003.0,5128.0,4988.0,5123.0,421081,354400,5071.0
2020-05-08,5126.0,5137.0,5084.0,5115.0,358575,352594,5115.0
2020-05-11,5101.0,5142.0,5093.0,5124.0,295038,350330,5119.0
2020-05-12,5122.0,5131.0,5035.0,5045.0,355939,359146,5078.0
2020-05-13,5068.0,5088.0,5015.0,5026.0,367323,355729,5052.0
2020-05-14,5027.0,5038.0,4861.0,4924.0,923176,376681,4931.0
2020-05-15,4945.0,4952.0,4892.0,4921.0,547210,386764,4926.0
2020-05-18,4927.0,4930.0,4866.0,4918.0,466709,391008,4904.0
2020-05-19,4920.0,4995.0,4895.0,4991.0,550327,395536,4956.0
2020-05-20,4992.0,5029.0,4974.0,5006.0,467338,391661,5005.0
2020-05-21,5035.0,5115.0,5027.0,5085.0,637568,389647,5082.0
2020-05-22,5085.0,5094.0,4962.0,4976.0,687383,393787,5019.0
2020-05-25,4942.0,5046.0,4937.0,5037.0,609925,397168,5005.0
2020-05-26,5033.0,5058.0,4984.0,5041.0,555409,390081,5018.0
2020-05-27,5049.0,5051.0,5005.0,5009.0,434008,395035,5029.0
2020-05-28,5004.0,5042.0,4964.0,5036.0,524456,398548,5011.0
2020-05-29,5025.0,5055.0,4936.0,4937.0,670734,428541,5000.0
2020-06-01,4930.0,4975.0,4910.0,4968.0,533402,428371,4948.0
2020-06-02,4953.0,4966.0,4929.0,4944.0,401155,432104,4947.0
2020-06-03,4950.0,5079.0,4948.0,5072.0,650276,422379,5018.0
2020-06-04,5069.0,5134.0,5032.0,5051.0,747763,411961,5080.0
2020-06-05,5040.0,5124.0,5039.0,5090.0,556104,406923,5090.0
2020-06-08,5120.0,5184.0,5086.0,5166.0,676809,412184,5140.0
2020-06-09,5167.0,5169.0,5050.0,5139.0,532629,412827,5134.0
2020-06-10,5140.0,5161.0,5060.0,5088.0,569050,436498,5110.0
2020-06-11,5100.0,5132.0,5011.0,5042.0,708966,439795,5087.0
2020-06-12,5016.0,5085.0,4983.0,5076.0,564967,421007,5039.0
2020-06-15,5080.0,5109.0,5024.0,5028.0,521044,413305,5069.0
2020-06-16,5020.0,5100.0,5019.0,5096.0,415525,419339,5064.0
2020-06-17,5112.0,5116.0,5049.0,5087.0,457218,417825,5082.0
2020-06-18,5087.0,5109.0,5071.0,5100.0,400164,415856,5091.0
2020-06-19,5090.0,5124.0,5074.0,5084.0,441577,424091,5093.0
2020-06-22,5094.0,5148.0,5082.0,5104.0,483985,423635,5109.0
2020-06-23,5107.0,5134.0,5090.0,5125.0,375739,423474,5115.0
2020-06-24,5120.0,5182.0,5100.0,5104.0,653492,428698,5142.0
2020-06-29,5084.0,5097.0,4968.0,4982.0,538521,457192,5019.0
2020-06-30,5000.0,5046.0,4989.0,5011.0,566884,443919,5015.0
2020-07-01,5021.0,5032.0,4997.0,5019.0,358304,437381,5013.0
2020-07-02,5028.0,5055.0,5022.0,5048.0,385210,421938,5038.0
2020-07-03,5043.0,5125.0,5033.0,5118.0,546120,404703,5077.0
2020-07-06,5128.0,5172.0,5119.0,5146.0,493980,392153,5144.0
2020-07-07,5143.0,5173.0,5119.0,5142.0,378648,382570,5144.0
2020-07-08,5144.0,5268.0,5131.0,5252.0,682858,392249,5220.0
2020-07-09,5250.0,5277.0,5214.0,5244.0,486981,385509,5244.0
2020-07-10,5244.0,5255.0,5181.0,5211.0,488763,377346,5217.0
2020-07-13,5218.0,5281.0,5188.0,5199.0,496359,387886,5238.0
2020-07-14,5191.0,5246.0,5191.0,5237.0,395571,385084,5224.0
2020-07-15,5225.0,5255.0,5195.0,5213.0,446311,389771,5218.0
2020-07-16,5230.0,5236.0,5161.0,5188.0,561092,379562,5198.0
2020-07-17,5188.0,5193.0,5095.0,5115.0,501116,378972,5143.0
2020-07-20,5121.0,5166.0,5096.0,5153.0,381503,369594,5134.0
2020-07-21,5149.0,5174.0,5134.0,5173.0,309949,370289,5156.0
2020-07-22,5183.0,5190.0,5106.0,5126.0,468844,374892,5147.0
2020-07-23,5130.0,5153.0,5100.0,5114.0,365203,378891,5126.0
2020-07-24,5102.0,5152.0,5052.0,5075.0,547426,360918,5101.0
2020-07-27,5074.0,5092.0,5004.0,5013.0,468206,366351,5045.0
2020-07-28,5050.0,5053.0,4990.0,5023.0,496251,378375,5025.0
2020-07-29,5024.0,5045.0,4993.0,5030.0,388938,376850,5017.0
2020-07-30,5030.0,5044.0,4999.0,5010.0,296680,385747,5020.0
2020-07-31,5011.0,5048.0,4949.0,5036.0,557167,348875,5006.0
2020-08-03,5048.0,5117.0,5035.0,5049.0,452373,329427,5062.0
2020-08-04,5039.0,5093.0,5036.0,5085.0,280749,302922,5066.0
2020-08-05,5080.0,5093.0,5043.0,5082.0,263090,285664,5070.0
2020-08-06,5081.0,5115.0,5023.0,5049.0,356789,273680,5067.0
2020-08-07,5053.0,5143.0,5041.0,5132.0,376334,238374,5104.0
2020-08-10,5099.0,5110.0,5042.0,5093.0,514755,465594,5079.0
2020-08-11,5094.0,5180.0,5025.0,5041.0,730432,467976,5098.0
2020-08-12,5051.0,5093.0,5008.0,5065.0,495346,467314,5059.0
2020-08-13,5079.0,5088.0,5034.0,5046.0,369020,484934,5058.0
2020-08-14,5060.0,5129.0,5050.0,5102.0,651161,503348,5092.0
2020-08-17,5110.0,5112.0,5028.0,5058.0,463452,515184,5064.0
2020-08-18,5083.0,5083.0,5041.0,5056.0,317107,520463,5061.0
2020-08-19,5050.0,5080.0,5035.0,5039.0,460772,528544,5058.0
2020-08-20,5047.0,5089.0,5039.0,5056.0,494909,503189,5062.0
2020-08-21,5051.0,5067.0,5009.0,5055.0,525416,503720,5037.0
2020-08-24,5052.0,5087.0,5032.0,5073.0,437941,508915,5060.0
2020-08-25,5079.0,5104.0,5060.0,5085.0,371143,506586,5079.0
2020-08-26,5085.0,5169.0,5073.0,5156.0,647099,538138,5124.0
2020-08-27,5150.0,5164.0,5128.0,5156.0,390869,538489,5146.0
2020-08-28,5157.0,5195.0,5120.0,5194.0,536134,543014,5156.0
2020-08-31,5188.0,5210.0,5173.0,5189.0,410908,533203,5190.0
2020-09-01,5192.0,5198.0,5138.0,5163.0,400625,518907,5166.0
2020-09-02,5170.0,5196.0,5143.0,5188.0,381575,524380,5171.0
2020-09-03,5185.0,5225.0,5144.0,5159.0,545129,520557,5174.0
2020-09-04,5138.0,5183.0,5085.0,5180.0,568871,483063,5129.0
2020-09-07,5181.0,5196.0,5161.0,5171.0,364384,484512,5177.0
2020-09-08,5173.0,5278.0,5173.0,5254.0,628473,517343,5233.0
2020-09-09,5248.0,5248.0,5144.0,5156.0,681083,474450,5190.0
2020-09-10,5166.0,5186.0,5141.0,5159.0,283113,465677,5169.0
