date,open,high,low,close,volume,hold,settle
2020-01-02,1722.0,1731.0,1716.0,1716.0,21569,53300,1723.0
2020-01-03,1716.0,1719.0,1705.0,1714.0,26539,52847,1712.0
2020-01-06,1716.0,1735.0,1716.0,1728.0,25760,51200,1726.0
2020-01-07,1727.0,1747.0,1727.0,1742.0,29579,52363,1738.0
2020-01-08,1750.0,1776.0,1730.0,1745.0,48711,43008,1750.0
2020-01-09,1740.0,1742.0,1730.0,1731.0,18107,43029,1736.0
2020-01-10,1733.0,1746.0,1732.0,1738.0,20439,42677,1741.0
2020-01-13,1738.0,1770.0,1737.0,1762.0,41275,44329,1758.0
2020-01-14,1758.0,1773.0,1751.0,1755.0,27204,42499,1764.0
2020-01-15,1758.0,1761.0,1752.0,1758.0,19226,44747,1756.0
2020-01-16,1762.0,1767.0,1753.0,1757.0,11668,44892,1758.0
2020-01-17,1756.0,1760.0,1745.0,1746.0,13294,43641,1750.0
2020-01-20,1748.0,1754.0,1741.0,1749.0,9310,44057,1748.0
2020-01-21,1750.0,1758.0,1717.0,1720.0,29795,40516,1736.0
2020-01-22,1720.0,1720.0,1705.0,1716.0,20650,38953,1714.0
2020-01-23,1713.0,1716.0,1705.0,1710.0,12093,38719,1710.0
2020-02-03,1615.0,1670.0,1610.0,1650.0,27631,42390,1643.0
2020-02-04,1655.0,1699.0,1654.0,1692.0,40978,52029,1689.0
2020-02-05,1684.0,1717.0,1683.0,1702.0,29080,54684,1702.0
2020-02-06,1703.0,1713.0,1696.0,1708.0,20124,54532,1705.0
2020-02-07,1702.0,1715.0,1702.0,1713.0,15018,55305,1710.0
2020-02-10,1715.0,1729.0,1712.0,1719.0,24089,55293,1721.0
2020-02-11,1715.0,1738.0,1715.0,1736.0,28591,61908,1730.0
2020-02-12,1736.0,1748.0,1728.0,1735.0,38857,64094,1737.0
2020-02-13,1737.0,1741.0,1723.0,1732.0,29420,62134,1729.0
2020-02-14,1732.0,1738.0,1720.0,1737.0,32514,64142,1729.0
2020-02-17,1741.0,1755.0,1738.0,1753.0,36980,64728,1747.0
2020-02-18,1759.0,1760.0,1750.0,1753.0,27430,70508,1755.0
2020-02-19,1753.0,1758.0,1746.0,1756.0,16249,71975,1753.0
2020-02-20,1756.0,1760.0,1736.0,1747.0,27848,71764,1746.0
2020-02-21,1750.0,1804.0,1746.0,1793.0,95247,83084,1777.0
2020-02-24,1801.0,1818.0,1790.0,1807.0,92544,83637,1805.0
2020-02-25,1799.0,1820.0,1787.0,1809.0,74260,89171,1804.0
2020-02-26,1805.0,1817.0,1781.0,1789.0,63887,86540,1799.0
