date,open,high,low,close,volume,hold,settle
2020-01-02,6520.0,6530.0,6485.0,6500.0,54491,230632,6500.0
2020-01-03,6500.0,6510.0,6480.0,6495.0,72391,229655,6495.0
2020-01-06,6495.0,6590.0,6480.0,6545.0,174761,237376,6535.0
2020-01-07,6540.0,6545.0,6495.0,6510.0,86013,230968,6515.0
2020-01-08,6515.0,6570.0,6510.0,6565.0,115493,235940,6550.0
2020-01-09,6550.0,6565.0,6510.0,6515.0,101071,227837,6540.0
2020-01-10,6515.0,6625.0,6510.0,6620.0,128599,269917,6570.0
2020-01-13,6620.0,6635.0,6515.0,6525.0,189496,238111,0.0
2020-01-14,6530.0,6540.0,6480.0,6490.0,90500,223066,6505.0
2020-01-15,6490.0,6500.0,6455.0,6485.0,95524,217501,6475.0
2020-01-16,6485.0,6500.0,6455.0,6480.0,84185,207681,6470.0
2020-01-17,6485.0,6490.0,6460.0,6475.0,57764,202426,6475.0
2020-01-20,6480.0,6510.0,6470.0,6470.0,68333,197607,6480.0
2020-01-21,6470.0,6515.0,6460.0,6475.0,98487,193538,6480.0
2020-01-22,6475.0,6495.0,6435.0,6475.0,108687,183939,6470.0
2020-01-23,6475.0,6485.0,6430.0,6450.0,67918,179323,6450.0
2020-02-03,6165.0,6205.0,6070.0,6145.0,172502,149794,6145.0
2020-02-04,6130.0,6240.0,6115.0,6180.0,136942,147948,6175.0
2020-02-05,6185.0,6250.0,6175.0,6205.0,90955,147779,0.0
2020-02-06,6225.0,6250.0,6190.0,6245.0,74722,158870,0.0
2020-02-07,6240.0,6245.0,6215.0,6230.0,41770,159576,0.0
2020-02-10,6215.0,6255.0,6195.0,6235.0,67816,165612,0.0
2020-02-11,6240.0,6295.0,6230.0,6290.0,96887,176645,6265.0
2020-02-12,6285.0,6330.0,6275.0,6285.0,86006,181919,6300.0
2020-02-13,6290.0,6305.0,6255.0,6285.0,65576,184643,0.0
2020-02-14,6285.0,6335.0,6265.0,6320.0,82945,194096,6300.0
2020-02-17,6305.0,6320.0,6270.0,6300.0,81044,193366,6300.0
2020-02-18,6315.0,6320.0,6285.0,6295.0,62104,194064,0.0
2020-02-19,6290.0,6305.0,6250.0,6260.0,83837,192903,0.0
2020-02-20,6275.0,6315.0,6265.0,6315.0,103052,207442,0.0
2020-02-21,6305.0,6350.0,6305.0,6340.0,111270,212068,0.0
2020-02-24,6320.0,6340.0,6280.0,6330.0,97793,225257,6315.0
2020-02-25,6305.0,6360.0,6290.0,6340.0,105476,237201,0.0
2020-02-26,6320.0,6355.0,6310.0,6315.0,65349,228839,0.0
2020-02-27,6315.0,6330.0,6290.0,6295.0,82030,213564,0.0
2020-02-28,6280.0,6280.0,6215.0,6230.0,125455,210332,0.0
2020-03-02,6210.0,6285.0,6210.0,6260.0,111421,201815,0.0
2020-03-03,6285.0,6315.0,6260.0,6270.0,102972,198083,0.0
2020-03-04,6270.0,6280.0,6245.0,6270.0,66245,197989,0.0
2020-03-05,6275.0,6280.0,6235.0,6255.0,64639,196251,0.0
2020-03-06,6250.0,6250.0,6210.0,6230.0,72274,194415,0.0
2020-03-09,6025.0,6130.0,5995.0,6080.0,232734,201070,0.0
2020-03-10,6080.0,6210.0,6075.0,6190.0,149668,181072,6155.0
2020-03-11,6190.0,6235.0,6190.0,6220.0,100262,182217,0.0
2020-03-12,6210.0,6230.0,6175.0,6210.0,95366,179099,0.0
2020-03-13,6185.0,6245.0,6155.0,6235.0,97572,170586,0.0
2020-03-16,6225.0,6260.0,6190.0,6195.0,88307,165942,0.0
2020-03-17,6170.0,6205.0,6165.0,6165.0,76081,160100,0.0
2020-03-18,6150.0,6165.0,6050.0,6055.0,120748,152462,6115.0
2020-03-19,6030.0,6040.0,5875.0,5945.0,229275,129037,0.0
2020-03-20,5995.0,6045.0,5895.0,5965.0,127020,123589,0.0
2020-03-23,5875.0,5875.0,5730.0,5730.0,164152,115635,0.0
2020-03-24,5740.0,5795.0,5575.0,5680.0,227756,112483,0.0
2020-03-25,5700.0,5715.0,5520.0,5615.0,184613,114748,0.0
2020-03-26,5600.0,5605.0,5450.0,5455.0,147931,108417,0.0
2020-03-27,5420.0,5460.0,5320.0,5390.0,183737,90481,0.0
2020-03-30,5295.0,5295.0,5115.0,5115.0,140194,77101,0.0
2020-03-31,5105.0,5250.0,4970.0,5015.0,174624,71843,0.0
2020-04-01,5005.0,5145.0,4950.0,5130.0,260890,165993,0.0
2020-04-02,5135.0,5290.0,5095.0,5230.0,299537,179194,0.0
2020-04-03,5260.0,5395.0,5240.0,5315.0,313033,178565,0.0
2020-04-07,5405.0,5495.0,5390.0,5490.0,185067,185225,0.0
2020-04-08,5450.0,5495.0,5355.0,5430.0,207101,185292,0.0
2020-04-09,5475.0,5535.0,5385.0,5430.0,193613,199164,0.0
2020-04-10,5340.0,5490.0,5305.0,5460.0,239085,208043,0.0
2020-04-13,5520.0,5760.0,5455.0,5490.0,494300,213159,0.0
2020-04-14,5505.0,5515.0,5355.0,5430.0,282745,204397,0.0
2020-04-15,5380.0,5510.0,5370.0,5435.0,210218,206435,0.0
2020-04-16,5405.0,5465.0,5380.0,5400.0,155036,208639,0.0
2020-04-17,5410.0,5480.0,5350.0,5420.0,202405,203888,0.0
2020-04-20,5420.0,5445.0,5350.0,5405.0,152731,207010,0.0
2020-04-21,5355.0,5385.0,5250.0,5325.0,281651,209001,0.0
2020-04-22,5250.0,5310.0,5190.0,5265.0,294886,205339,0.0
2020-04-23,5320.0,5375.0,5295.0,5355.0,222731,198522,0.0
2020-04-24,5350.0,5420.0,5330.0,5330.0,140998,193436,0.0
2020-04-27,5355.0,5470.0,5345.0,5410.0,140917,191321,0.0
2020-04-28,5375.0,5445.0,5375.0,5425.0,157204,198777,0.0
2020-04-29,5430.0,5485.0,5375.0,5460.0,161862,196130,0.0
2020-04-30,5500.0,5520.0,5440.0,5485.0,138635,186242,0.0
2020-05-06,5615.0,5700.0,5555.0,5680.0,151907,186485,0.0
2020-05-07,5675.0,5740.0,5635.0,5665.0,152303,190288,0.0
2020-05-08,5705.0,5805.0,5660.0,5790.0,178009,208760,0.0
2020-05-11,5765.0,5840.0,5720.0,5745.0,205002,209222,0.0
2020-05-12,5765.0,5765.0,5650.0,5670.0,151928,208395,0.0
2020-05-13,5690.0,5710.0,5630.0,5680.0,123690,211205,0.0
2020-05-14,5705.0,5755.0,5665.0,5730.0,117562,212204,0.0
2020-05-15,5720.0,5860.0,5720.0,5820.0,182211,214548,0.0
2020-05-18,5820.0,5920.0,5795.0,5885.0,163501,218482,0.0
2020-05-19,5910.0,5990.0,5865.0,5880.0,163747,211571,0.0
2020-05-20,5915.0,5985.0,5850.0,5965.0,131319,209613,0.0
2020-05-21,5975.0,6085.0,5970.0,6055.0,169480,209604,0.0
2020-05-22,6060.0,6125.0,5950.0,6020.0,264147,214644,0.0
2020-05-25,6035.0,6155.0,6005.0,6070.0,214136,216808,0.0
2020-05-26,6070.0,6120.0,6050.0,6090.0,133363,215509,0.0
2020-05-27,6090.0,6105.0,6040.0,6080.0,139800,212912,0.0
2020-05-28,6080.0,6090.0,5960.0,6025.0,201914,203441,0.0
2020-05-29,6035.0,6085.0,5995.0,6040.0,146221,198264,0.0
2020-06-01,6055.0,6280.0,6035.0,6210.0,322730,209341,0.0
2020-06-02,6210.0,6340.0,6190.0,6315.0,237320,227864,0.0
2020-06-03,6330.0,6370.0,6290.0,6300.0,179367,229290,0.0
2020-06-04,6280.0,6310.0,6215.0,6235.0,219684,221964,0.0
2020-06-05,6245.0,6320.0,6245.0,6280.0,118011,217334,0.0
2020-06-08,6310.0,6340.0,6235.0,6310.0,194578,213575,0.0
2020-06-09,6310.0,6325.0,6260.0,6300.0,143944,213868,0.0
2020-06-10,6300.0,6405.0,6285.0,6315.0,188373,218118,0.0
2020-06-11,6320.0,6350.0,6255.0,6260.0,166919,214016,0.0
2020-06-12,6230.0,6340.0,6150.0,6340.0,240142,210795,0.0
2020-06-15,6340.0,6365.0,6255.0,6285.0,169145,208846,0.0
2020-06-16,6290.0,6370.0,6260.0,6345.0,172434,202991,0.0
2020-06-17,6350.0,6390.0,6265.0,6330.0,128183,198324,0.0
2020-06-18,6330.0,6340.0,6230.0,6250.0,185827,189173,0.0
2020-06-19,6250.0,6270.0,6185.0,6245.0,170502,187487,0.0
2020-06-22,6235.0,6255.0,6130.0,6190.0,182564,188416,0.0
2020-06-23,6190.0,6195.0,6140.0,6165.0,100685,186771,0.0
2020-06-24,6180.0,6195.0,6130.0,6170.0,119084,180797,0.0
2020-06-29,6140.0,6230.0,6060.0,6110.0,162284,179852,0.0
2020-06-30,6135.0,6205.0,6110.0,6180.0,126766,178267,0.0
2020-07-01,6165.0,6205.0,6130.0,6160.0,94626,175781,0.0
2020-07-02,6170.0,6295.0,6125.0,6290.0,214774,190668,0.0
2020-07-03,6275.0,6380.0,6260.0,6335.0,161464,188605,0.0
2020-07-06,6315.0,6400.0,6295.0,6390.0,142411,190035,0.0
2020-07-07,6390.0,6590.0,6370.0,6540.0,269154,200601,0.0
2020-07-08,6530.0,6580.0,6485.0,6515.0,191302,190645,0.0
2020-07-09,6525.0,6600.0,6500.0,6580.0,175855,194683,0.0
2020-07-10,6575.0,6650.0,6510.0,6540.0,276417,186916,0.0
2020-07-13,6560.0,6760.0,6545.0,6720.0,280173,193405,0.0
2020-07-14,6705.0,6770.0,6625.0,6665.0,192943,190088,0.0
2020-07-15,6670.0,6730.0,6550.0,6580.0,197768,182645,0.0
2020-07-16,6605.0,6620.0,6525.0,6555.0,190176,175118,0.0
2020-07-17,6535.0,6560.0,6470.0,6510.0,158912,167652,0.0
2020-07-20,6510.0,6685.0,6480.0,6610.0,270024,176727,6590.0
2020-07-21,6600.0,6660.0,6490.0,6605.0,215572,167783,6590.0
2020-07-22,6620.0,6660.0,6545.0,6545.0,123302,164787,6595.0
2020-07-23,6545.0,6630.0,6520.0,6540.0,164217,162347,6560.0
2020-07-24,6540.0,6545.0,6410.0,6415.0,215560,149603,6475.0
2020-07-27,6430.0,6530.0,6425.0,6520.0,138884,152718,6470.0
2020-07-28,6510.0,6545.0,6455.0,6530.0,125001,151889,6495.0
2020-07-29,6530.0,6595.0,6505.0,6510.0,135159,150198,6535.0
2020-07-30,6525.0,6680.0,6525.0,6605.0,206199,148442,6605.0
2020-07-31,6605.0,6635.0,6520.0,6610.0,140965,146560,6580.0
2020-08-03,6610.0,6695.0,6580.0,6680.0,164493,142740,6640.0
2020-08-04,6705.0,6745.0,6650.0,6700.0,137190,131737,6695.0
2020-08-05,6680.0,6790.0,6655.0,6750.0,184647,129099,6710.0
2020-08-06,6750.0,6770.0,6635.0,6610.0,144719,115643,0.0
2020-08-07,6635.0,6665.0,6535.0,6580.0,169920,103929,6590.0
2020-08-10,6595.0,6600.0,6455.0,6485.0,131547,99848,6505.0
2020-08-11,6510.0,6555.0,6480.0,6535.0,86013,90251,6515.0
2020-08-12,6510.0,6590.0,6470.0,6525.0,112902,80448,6525.0
2020-08-13,6520.0,6605.0,6490.0,6525.0,110772,70023,6535.0
2020-08-14,6500.0,6580.0,6490.0,6560.0,81266,62825,6530.0
2020-08-17,6540.0,6690.0,6525.0,6665.0,70971,52933,6595.0
2020-08-18,6565.0,6675.0,6550.0,6675.0,173758,176444,6620.0
2020-08-19,6660.0,6675.0,6595.0,6640.0,131210,183145,6630.0
2020-08-20,6640.0,6690.0,6585.0,6685.0,144526,186791,6635.0
2020-08-21,6660.0,6675.0,6600.0,6615.0,106352,184130,6630.0
2020-08-24,6600.0,6675.0,6530.0,6625.0,152106,183046,6605.0
2020-08-25,6610.0,6670.0,6585.0,6630.0,116475,185575,6620.0
2020-08-26,6630.0,6740.0,6610.0,6695.0,166636,209032,6695.0
2020-08-27,6680.0,6785.0,6635.0,6650.0,203254,203929,6695.0
2020-08-28,6645.0,6665.0,6590.0,6605.0,135501,199039,6615.0
2020-08-31,6600.0,6710.0,6590.0,6660.0,151929,200968,6655.0
2020-09-01,6660.0,6725.0,6650.0,6670.0,137023,209229,6680.0
2020-09-02,6670.0,6760.0,6670.0,6725.0,151683,219549,6715.0
2020-09-03,6710.0,6720.0,6650.0,6685.0,149938,213344,6685.0
2020-09-04,6675.0,6700.0,6595.0,6620.0,155519,208901,6645.0
2020-09-07,6620.0,6665.0,6580.0,6590.0,157950,208391,6615.0
2020-09-08,6600.0,6610.0,6510.0,6555.0,203689,202449,6555.0
2020-09-09,6535.0,6590.0,6490.0,6505.0,223509,191763,6535.0
2020-09-10,6535.0,6680.0,6525.0,6645.0,241440,193074,6615.0
2020-09-11,6625.0,6665.0,6590.0,6635.0,129959,192738,6625.0
2020-09-14,6620.0,6645.0,6535.0,6550.0,135603,195495,6580.0
2020-09-15,6540.0,6600.0,6515.0,6565.0,128627,194418,6555.0
2020-09-16,6565.0,6605.0,6540.0,6585.0,126156,190384,6570.0
2020-09-17,6605.0,6750.0,6600.0,6670.0,272216,199436,6680.0
2020-09-18,6665.0,6715.0,6645.0,6660.0,129993,197148,6675.0
