date,open,high,low,close,volume,hold,settle
2020-01-02,6722.0,6804.0,6712.0,6800.0,324793,650936,6768.0
2020-01-03,6820.0,6900.0,6802.0,6812.0,638026,653413,6852.0
2020-01-06,6850.0,6898.0,6796.0,6826.0,467983,644747,6848.0
2020-01-07,6800.0,6886.0,6746.0,6886.0,513150,654620,6816.0
2020-01-08,6864.0,6918.0,6828.0,6848.0,538303,656170,6872.0
2020-01-09,6850.0,6928.0,6836.0,6926.0,610057,689672,6892.0
2020-01-10,6924.0,6950.0,6856.0,6938.0,598893,684654,6902.0
2020-01-13,6930.0,6938.0,6780.0,6872.0,598584,664583,0.0
2020-01-14,6850.0,6850.0,6740.0,6758.0,554460,626683,6786.0
2020-01-15,6730.0,6788.0,6654.0,6670.0,508975,596585,6724.0
2020-01-16,6670.0,6698.0,6578.0,6586.0,618302,578231,6630.0
2020-01-17,6584.0,6620.0,6576.0,6596.0,286862,565669,6598.0
2020-01-20,6560.0,6628.0,6534.0,6626.0,362024,562737,6584.0
2020-01-21,6648.0,6656.0,6424.0,6442.0,538557,532312,6518.0
2020-01-22,6452.0,6548.0,6378.0,6530.0,428484,523769,6460.0
2020-01-23,6580.0,6618.0,6374.0,6440.0,530026,503283,6494.0
2020-02-03,6040.0,6102.0,6040.0,6040.0,337234,448002,6060.0
2020-02-04,6000.0,6116.0,5982.0,6050.0,371756,402222,6048.0
2020-02-05,6050.0,6172.0,6038.0,6158.0,375082,390778,0.0
2020-02-06,6180.0,6262.0,6180.0,6250.0,317750,403568,0.0
2020-02-07,6216.0,6242.0,6170.0,6236.0,297153,401159,0.0
2020-02-10,6190.0,6232.0,6166.0,6174.0,253907,406931,0.0
2020-02-11,6162.0,6188.0,6088.0,6096.0,352664,397387,6146.0
2020-02-12,6106.0,6120.0,5996.0,6044.0,434520,368280,6048.0
2020-02-13,6074.0,6076.0,5942.0,5974.0,516731,378744,0.0
2020-02-14,5968.0,5974.0,5900.0,5904.0,390280,381351,5926.0
2020-02-17,5910.0,5974.0,5888.0,5962.0,371195,388368,5940.0
2020-02-18,5960.0,5980.0,5856.0,5864.0,430240,405403,0.0
2020-02-19,5864.0,5922.0,5852.0,5868.0,526223,388944,0.0
2020-02-20,5862.0,5966.0,5810.0,5950.0,709899,386899,0.0
2020-02-21,5928.0,5968.0,5928.0,5942.0,423227,373262,0.0
2020-02-24,5942.0,5958.0,5858.0,5896.0,435872,367679,5906.0
2020-02-25,5832.0,5846.0,5790.0,5826.0,395307,361912,0.0
2020-02-26,5778.0,5826.0,5738.0,5798.0,381824,355346,0.0
2020-02-27,5770.0,5828.0,5762.0,5796.0,421932,359777,0.0
2020-02-28,5770.0,5790.0,5564.0,5566.0,731307,352179,0.0
2020-03-02,5600.0,5692.0,5592.0,5678.0,398879,355134,0.0
