date,open,high,low,close,volume,hold,settle
2020-01-02,557.4,559.0,555.2,556.6,45509,146986,557.4
2020-01-03,556.0,556.0,551.2,552.2,75506,140189,552.8
2020-01-06,552.2,556.0,551.8,552.8,70374,141355,553.8
2020-01-07,553.0,555.0,553.0,553.8,38585,143324,554.2
2020-01-08,554.6,558.2,554.4,558.2,61065,149121,556.6
2020-01-09,558.2,561.0,554.8,556.6,75190,148482,558.0
2020-01-10,556.6,558.2,555.8,557.4,34084,144769,557.2
2020-01-13,557.0,557.8,552.4,554.2,67245,138808,554.6
2020-01-14,554.4,557.2,553.8,556.8,34480,138889,555.4
2020-01-15,557.0,557.4,550.2,550.6,63210,130329,552.8
2020-01-16,550.6,553.2,550.2,550.4,37825,127710,551.4
2020-01-17,550.4,553.6,549.2,551.0,39892,122392,551.2
2020-01-20,551.0,552.2,550.0,550.4,35768,122683,551.0
2020-01-21,550.8,552.0,545.4,546.0,64080,120962,548.0
2020-01-22,545.4,547.6,542.6,546.8,54585,114689,545.4
2020-01-23,547.0,547.6,543.4,546.2,33899,107584,546.0
2020-02-03,542.6,580.0,542.2,557.2,129323,91450,557.6
2020-02-04,559.4,566.0,557.6,565.8,75069,98624,562.8
2020-02-05,565.0,568.0,563.2,567.6,67591,111135,566.2
2020-02-06,567.6,568.6,564.2,564.8,47788,117126,566.8
2020-02-07,564.8,567.8,564.6,565.8,44827,121247,566.0
2020-02-10,570.0,570.2,565.2,567.2,33917,123926,567.0
2020-02-11,567.2,570.6,567.0,570.2,46264,128961,569.2
2020-02-12,569.0,569.8,565.0,565.8,55571,130731,566.4
2020-02-13,566.4,567.4,562.2,562.4,39948,129715,564.2
2020-02-14,562.2,563.4,560.8,560.8,30878,129781,562.2
2020-02-17,560.0,560.0,553.0,553.4,75562,125138,555.0
2020-02-18,553.4,554.8,552.0,552.0,33119,121249,553.4
2020-02-19,552.2,553.6,550.6,552.0,42647,113760,551.8
2020-02-20,552.2,554.6,551.2,553.6,49038,107993,553.0
2020-02-21,554.0,556.0,551.8,552.0,43911,111299,553.4
2020-02-24,552.0,556.0,552.0,554.8,49740,105067,554.6
2020-02-25,553.0,553.0,548.2,548.6,69980,101602,550.4
