,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,-21.13,0.0,92.89,1.81,100.31,8.46,东北_吉林,43.88,125.32,NASA POWER API
1,1,2020-01-02,-18.46,0.0,96.48,2.76,100.0,8.51,东北_吉林,43.88,125.32,NASA POWER API
2,2,2020-01-03,-17.85,0.0,96.34,2.52,99.73,8.2,东北_吉林,43.88,125.32,NASA POWER API
3,3,2020-01-04,-16.17,0.0,96.52,1.95,99.88,8.5,东北_吉林,43.88,125.32,NASA POWER API
4,4,2020-01-05,-14.3,0.0,97.32,2.55,100.35,8.6,东北_吉林,43.88,125.32,NASA POWER API
5,5,2020-01-06,-7.59,1.11,94.98,2.32,99.87,4.72,东北_吉林,43.88,125.32,NASA POWER API
6,6,2020-01-07,-11.47,0.64,98.21,2.27,99.64,5.31,东北_吉林,43.88,125.32,NASA POWER API
7,7,2020-01-08,-12.38,0.66,96.94,3.25,99.47,6.53,东北_吉林,43.88,125.32,NASA POWER API
8,8,2020-01-09,-16.23,0.02,96.96,1.51,99.84,7.76,东北_吉林,43.88,125.32,NASA POWER API
9,9,2020-01-10,-15.86,0.02,97.21,2.56,99.52,8.38,东北_吉林,43.88,125.32,NASA POWER API
10,10,2020-01-11,-17.1,0.01,96.92,1.39,99.64,9.09,东北_吉林,43.88,125.32,NASA POWER API
11,11,2020-01-12,-17.43,0.07,97.33,1.53,99.44,7.05,东北_吉林,43.88,125.32,NASA POWER API
12,12,2020-01-13,-16.13,0.02,94.82,2.09,99.57,9.45,东北_吉林,43.88,125.32,NASA POWER API
13,13,2020-01-14,-17.65,0.01,95.33,1.06,100.21,9.44,东北_吉林,43.88,125.32,NASA POWER API
14,14,2020-01-15,-18.44,0.01,97.06,2.02,100.18,9.5,东北_吉林,43.88,125.32,NASA POWER API
15,15,2020-01-16,-18.92,0.01,95.09,1.57,100.22,9.64,东北_吉林,43.88,125.32,NASA POWER API
16,16,2020-01-17,-17.58,0.01,95.99,1.92,99.95,9.54,东北_吉林,43.88,125.32,NASA POWER API
17,17,2020-01-18,-14.42,0.35,94.71,1.89,99.33,9.39,东北_吉林,43.88,125.32,NASA POWER API
