,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,-23.95,0.0,94.63,2.96,101.15,7.63,东北_黑龙江,45.75,126.63,NASA POWER API
1,1,2020-01-02,-21.29,0.0,96.54,3.02,100.86,7.53,东北_黑龙江,45.75,126.63,NASA POWER API
2,2,2020-01-03,-19.44,0.01,94.83,2.23,100.64,7.4,东北_黑龙江,45.75,126.63,NASA POWER API
3,3,2020-01-04,-17.94,0.0,95.58,1.62,100.82,7.58,东北_黑龙江,45.75,126.63,NASA POWER API
4,4,2020-01-05,-16.96,0.02,97.66,2.47,101.31,7.51,东北_黑龙江,45.75,126.63,NASA POWER API
5,5,2020-01-06,-11.86,0.41,96.75,3.08,101.06,3.95,东北_黑龙江,45.75,126.63,NASA POWER API
6,6,2020-01-07,-10.76,1.82,97.41,2.47,100.75,4.21,东北_黑龙江,45.75,126.63,NASA POWER API
7,7,2020-01-08,-16.51,0.04,97.88,1.68,100.56,5.74,东北_黑龙江,45.75,126.63,NASA POWER API
8,8,2020-01-09,-18.11,0.01,97.1,1.69,100.81,6.93,东北_黑龙江,45.75,126.63,NASA POWER API
9,9,2020-01-10,-19.38,0.03,97.74,1.72,100.56,6.68,东北_黑龙江,45.75,126.63,NASA POWER API
10,10,2020-01-11,-15.74,0.07,96.54,1.97,100.55,7.01,东北_黑龙江,45.75,126.63,NASA POWER API
11,11,2020-01-12,-16.74,0.06,97.61,1.72,100.38,7.3,东北_黑龙江,45.75,126.63,NASA POWER API
12,12,2020-01-13,-16.78,0.06,96.05,1.61,100.54,8.0,东北_黑龙江,45.75,126.63,NASA POWER API
13,13,2020-01-14,-21.14,0.03,98.02,1.27,101.28,8.36,东北_黑龙江,45.75,126.63,NASA POWER API
14,14,2020-01-15,-18.06,0.04,97.15,1.53,101.24,8.52,东北_黑龙江,45.75,126.63,NASA POWER API
15,15,2020-01-16,-19.65,0.01,96.7,2.22,101.12,8.15,东北_黑龙江,45.75,126.63,NASA POWER API
16,16,2020-01-17,-20.62,0.01,96.56,1.98,101.0,8.75,东北_黑龙江,45.75,126.63,NASA POWER API
17,17,2020-01-18,-18.02,0.06,95.53,1.48,100.43,8.39,东北_黑龙江,45.75,126.63,NASA POWER API
18,18,2020-01-19,-12.93,0.57,96.56,1.46,99.88,7.27,东北_黑龙江,45.75,126.63,NASA POWER API
19,19,2020-01-20,-17.77,0.22,95.94,1.71,100.34,7.73,东北_黑龙江,45.75,126.63,NASA POWER API
20,20,2020-01-21,-15.68,0.04,95.83,3.84,100.46,7.58,东北_黑龙江,45.75,126.63,NASA POWER API
21,21,2020-01-22,-17.95,0.0,93.58,1.59,100.73,9.13,东北_黑龙江,45.75,126.63,NASA POWER API
22,22,2020-01-23,-16.22,0.01,92.23,3.29,100.82,8.82,东北_黑龙江,45.75,126.63,NASA POWER API
23,23,2020-01-24,-22.73,0.0,91.33,2.28,101.88,9.89,东北_黑龙江,45.75,126.63,NASA POWER API
24,24,2020-01-25,-20.22,0.01,91.8,1.82,101.76,9.4,东北_黑龙江,45.75,126.63,NASA POWER API
25,25,2020-01-26,-19.59,0.01,97.69,2.27,101.56,9.77,东北_黑龙江,45.75,126.63,NASA POWER API
26,26,2020-01-27,-14.6,0.03,97.65,1.78,101.1,10.03,东北_黑龙江,45.75,126.63,NASA POWER API
27,27,2020-01-28,-14.72,0.02,98.18,1.61,101.0,8.51,东北_黑龙江,45.75,126.63,NASA POWER API
28,28,2020-01-29,-16.73,0.01,95.39,2.98,101.11,10.34,东北_黑龙江,45.75,126.63,NASA POWER API
29,29,2020-01-30,-19.33,0.02,98.02,1.07,100.88,10.69,东北_黑龙江,45.75,126.63,NASA POWER API
30,30,2020-01-31,-19.09,0.04,95.08,1.04,100.63,10.4,东北_黑龙江,45.75,126.63,NASA POWER API
31,31,2020-02-01,-16.38,0.02,93.91,2.73,100.55,10.49,东北_黑龙江,45.75,126.63,NASA POWER API
32,32,2020-02-02,-20.41,0.0,92.53,3.1,100.78,11.21,东北_黑龙江,45.75,126.63,NASA POWER API
33,33,2020-02-03,-20.47,0.01,88.48,2.58,100.6,11.34,东北_黑龙江,45.75,126.63,NASA POWER API
34,34,2020-02-04,-22.07,0.02,88.91,2.76,100.89,11.27,东北_黑龙江,45.75,126.63,NASA POWER API
35,35,2020-02-05,-24.57,0.02,94.43,2.7,101.71,11.49,东北_黑龙江,45.75,126.63,NASA POWER API
36,36,2020-02-06,-20.61,0.0,92.33,3.86,101.5,11.79,东北_黑龙江,45.75,126.63,NASA POWER API
37,37,2020-02-07,-19.32,0.02,92.6,1.59,101.0,11.0,东北_黑龙江,45.75,126.63,NASA POWER API
38,38,2020-02-08,-21.14,0.0,93.18,2.12,101.35,12.22,东北_黑龙江,45.75,126.63,NASA POWER API
39,39,2020-02-09,-14.95,0.41,93.43,3.28,100.11,9.89,东北_黑龙江,45.75,126.63,NASA POWER API
40,40,2020-02-10,-13.92,0.06,95.73,1.57,100.57,11.65,东北_黑龙江,45.75,126.63,NASA POWER API
41,41,2020-02-11,-5.44,0.01,95.99,5.26,99.7,8.82,东北_黑龙江,45.75,126.63,NASA POWER API
42,42,2020-02-12,-3.59,0.04,95.06,3.38,99.54,8.26,东北_黑龙江,45.75,126.63,NASA POWER API
43,43,2020-02-13,-6.6,0.88,93.08,4.78,99.93,1.79,东北_黑龙江,45.75,126.63,NASA POWER API
44,44,2020-02-14,-17.04,0.0,87.4,3.42,101.5,12.04,东北_黑龙江,45.75,126.63,NASA POWER API
45,45,2020-02-15,-17.46,0.01,93.69,2.06,101.3,12.68,东北_黑龙江,45.75,126.63,NASA POWER API
