,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,4.13,0.27,73.14,1.84,102.65,3.18,华中_湖北,30.59,114.3,NASA POWER API
1,1,2020-01-02,6.92,0.21,81.93,1.47,102.53,2.27,华中_湖北,30.59,114.3,NASA POWER API
2,2,2020-01-03,6.85,1.68,87.99,1.69,102.46,2.68,华中_湖北,30.59,114.3,NASA POWER API
3,3,2020-01-04,7.54,0.6,88.53,0.88,102.23,2.45,华中_湖北,30.59,114.3,NASA POWER API
4,4,2020-01-05,9.56,3.25,91.31,1.78,101.76,2.22,华中_湖北,30.59,114.3,NASA POWER API
5,5,2020-01-06,7.33,12.11,87.31,4.07,101.57,2.41,华中_湖北,30.59,114.3,NASA POWER API
6,6,2020-01-07,3.9,13.37,83.15,4.7,101.92,6.0,华中_湖北,30.59,114.3,NASA POWER API
7,7,2020-01-08,2.67,4.29,86.2,3.08,102.42,6.24,华中_湖北,30.59,114.3,NASA POWER API
8,8,2020-01-09,1.85,23.2,92.28,2.17,102.13,2.05,华中_湖北,30.59,114.3,NASA POWER API
9,9,2020-01-10,1.23,12.51,94.11,2.41,102.01,1.96,华中_湖北,30.59,114.3,NASA POWER API
10,10,2020-01-11,3.0,0.27,87.62,2.56,102.14,3.2,华中_湖北,30.59,114.3,NASA POWER API
11,11,2020-01-12,2.73,0.02,83.57,1.09,102.16,8.89,华中_湖北,30.59,114.3,NASA POWER API
12,12,2020-01-13,3.95,0.0,83.64,1.95,102.03,8.74,华中_湖北,30.59,114.3,NASA POWER API
13,13,2020-01-14,4.48,0.0,76.14,2.92,102.34,9.97,华中_湖北,30.59,114.3,NASA POWER API
14,14,2020-01-15,2.96,9.72,87.8,3.34,102.16,1.28,华中_湖北,30.59,114.3,NASA POWER API
15,15,2020-01-16,1.89,0.09,85.2,4.74,102.45,3.37,华中_湖北,30.59,114.3,NASA POWER API
16,16,2020-01-17,2.38,0.0,80.81,1.82,102.57,3.49,华中_湖北,30.59,114.3,NASA POWER API
17,17,2020-01-18,3.65,0.0,79.17,1.4,102.31,7.61,华中_湖北,30.59,114.3,NASA POWER API
18,18,2020-01-19,4.86,0.0,71.46,1.69,102.25,11.57,华中_湖北,30.59,114.3,NASA POWER API
19,19,2020-01-20,6.64,0.0,65.39,0.96,102.21,12.26,华中_湖北,30.59,114.3,NASA POWER API
20,20,2020-01-21,6.6,1.39,83.31,1.99,101.95,2.07,华中_湖北,30.59,114.3,NASA POWER API
21,21,2020-01-22,5.95,16.48,90.32,2.88,101.78,2.17,华中_湖北,30.59,114.3,NASA POWER API
22,22,2020-01-23,6.67,6.41,90.83,2.37,101.95,3.0,华中_湖北,30.59,114.3,NASA POWER API
23,23,2020-01-24,6.66,4.74,88.84,4.05,102.36,2.36,华中_湖北,30.59,114.3,NASA POWER API
24,24,2020-01-25,4.62,5.5,87.45,3.96,102.44,2.69,华中_湖北,30.59,114.3,NASA POWER API
25,25,2020-01-26,2.85,4.05,86.7,4.94,102.23,3.4,华中_湖北,30.59,114.3,NASA POWER API
26,26,2020-01-27,2.9,0.29,82.94,3.18,102.13,4.89,华中_湖北,30.59,114.3,NASA POWER API
27,27,2020-01-28,4.01,0.01,73.63,1.58,102.19,8.18,华中_湖北,30.59,114.3,NASA POWER API
28,28,2020-01-29,5.33,0.0,73.25,1.97,102.28,12.35,华中_湖北,30.59,114.3,NASA POWER API
29,29,2020-01-30,5.89,0.0,70.8,1.75,102.23,12.38,华中_湖北,30.59,114.3,NASA POWER API
30,30,2020-01-31,6.5,0.0,70.68,1.97,102.18,14.42,华中_湖北,30.59,114.3,NASA POWER API
31,31,2020-02-01,7.57,0.02,70.24,2.59,102.08,10.22,华中_湖北,30.59,114.3,NASA POWER API
32,32,2020-02-02,8.71,0.44,71.9,1.29,102.17,4.42,华中_湖北,30.59,114.3,NASA POWER API
33,33,2020-02-03,8.45,0.0,70.78,1.38,102.27,11.61,华中_湖北,30.59,114.3,NASA POWER API
34,34,2020-02-04,9.47,0.0,66.51,1.07,102.11,13.71,华中_湖北,30.59,114.3,NASA POWER API
35,35,2020-02-05,8.97,0.26,73.62,2.83,102.17,13.84,华中_湖北,30.59,114.3,NASA POWER API
36,36,2020-02-06,4.91,21.32,91.4,4.2,102.16,2.48,华中_湖北,30.59,114.3,NASA POWER API
37,37,2020-02-07,5.43,0.05,84.65,2.61,102.61,3.8,华中_湖北,30.59,114.3,NASA POWER API
38,38,2020-02-08,6.3,0.0,81.18,1.91,102.88,6.6,华中_湖北,30.59,114.3,NASA POWER API
39,39,2020-02-09,7.84,0.0,76.55,1.16,102.72,15.6,华中_湖北,30.59,114.3,NASA POWER API
40,40,2020-02-10,9.19,2.49,80.2,1.89,102.01,4.51,华中_湖北,30.59,114.3,NASA POWER API
41,41,2020-02-11,10.21,4.06,89.74,1.42,101.64,5.52,华中_湖北,30.59,114.3,NASA POWER API
42,42,2020-02-12,11.86,0.16,87.72,1.13,101.47,8.23,华中_湖北,30.59,114.3,NASA POWER API
43,43,2020-02-13,13.69,0.14,90.21,2.36,100.94,8.8,华中_湖北,30.59,114.3,NASA POWER API
44,44,2020-02-14,13.26,11.72,89.9,4.09,101.0,4.37,华中_湖北,30.59,114.3,NASA POWER API
45,45,2020-02-15,2.27,20.23,82.51,8.81,102.42,2.2,华中_湖北,30.59,114.3,NASA POWER API
46,46,2020-02-16,2.92,0.0,62.61,2.64,102.86,18.49,华中_湖北,30.59,114.3,NASA POWER API
47,47,2020-02-17,5.3,1.21,61.72,2.39,102.97,18.97,华中_湖北,30.59,114.3,NASA POWER API
48,48,2020-02-18,6.97,0.0,62.91,1.85,102.66,18.69,华中_湖北,30.59,114.3,NASA POWER API
49,49,2020-02-19,9.23,0.0,67.43,2.02,102.18,8.8,华中_湖北,30.59,114.3,NASA POWER API
50,50,2020-02-20,10.05,0.0,73.4,2.48,102.42,18.49,华中_湖北,30.59,114.3,NASA POWER API
51,51,2020-02-21,10.92,1.69,76.27,2.15,102.66,7.81,华中_湖北,30.59,114.3,NASA POWER API
52,52,2020-02-22,11.09,0.01,74.87,1.37,102.8,15.75,华中_湖北,30.59,114.3,NASA POWER API
53,53,2020-02-23,13.46,0.0,72.15,2.11,102.09,13.63,华中_湖北,30.59,114.3,NASA POWER API
54,54,2020-02-24,17.69,0.1,79.57,3.8,101.2,9.71,华中_湖北,30.59,114.3,NASA POWER API
55,55,2020-02-25,17.16,10.07,85.06,2.9,101.32,12.98,华中_湖北,30.59,114.3,NASA POWER API
