,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,-1.69,0.0,62.16,2.01,100.91,7.89,华北_山东,36.65,117.0,NASA POWER API
1,1,2020-01-02,0.84,0.0,61.63,0.84,100.85,7.92,华北_山东,36.65,117.0,NASA POWER API
2,2,2020-01-03,1.91,0.0,65.36,0.77,100.7,7.12,华北_山东,36.65,117.0,NASA POWER API
3,3,2020-01-04,2.1,0.0,74.73,1.13,100.56,5.91,华北_山东,36.65,117.0,NASA POWER API
4,4,2020-01-05,0.74,9.72,89.36,1.78,100.56,2.14,华北_山东,36.65,117.0,NASA POWER API
5,5,2020-01-06,0.27,7.49,96.06,2.92,100.11,2.84,华北_山东,36.65,117.0,NASA POWER API
6,6,2020-01-07,-2.12,11.01,92.63,4.39,99.99,2.74,华北_山东,36.65,117.0,NASA POWER API
7,7,2020-01-08,-5.12,0.0,78.05,1.75,100.71,11.01,华北_山东,36.65,117.0,NASA POWER API
8,8,2020-01-09,-2.2,0.0,67.61,1.01,100.57,9.96,华北_山东,36.65,117.0,NASA POWER API
9,9,2020-01-10,-0.86,0.0,73.98,1.18,100.37,6.06,华北_山东,36.65,117.0,NASA POWER API
10,10,2020-01-11,-2.82,0.0,77.05,1.78,100.34,5.93,华北_山东,36.65,117.0,NASA POWER API
11,11,2020-01-12,-2.55,0.0,82.36,1.0,100.25,8.29,华北_山东,36.65,117.0,NASA POWER API
12,12,2020-01-13,-4.31,0.35,73.72,1.92,100.35,4.78,华北_山东,36.65,117.0,NASA POWER API
13,13,2020-01-14,-5.02,0.0,61.08,1.33,100.76,11.26,华北_山东,36.65,117.0,NASA POWER API
14,14,2020-01-15,-2.88,0.0,64.5,0.88,100.79,8.33,华北_山东,36.65,117.0,NASA POWER API
15,15,2020-01-16,-1.55,0.51,69.87,0.68,100.79,4.63,华北_山东,36.65,117.0,NASA POWER API
16,16,2020-01-17,-1.77,0.01,65.71,0.93,100.59,6.42,华北_山东,36.65,117.0,NASA POWER API
17,17,2020-01-18,-1.2,0.0,83.93,2.1,100.29,6.75,华北_山东,36.65,117.0,NASA POWER API
18,18,2020-01-19,-0.4,0.0,63.89,1.5,100.13,11.44,华北_山东,36.65,117.0,NASA POWER API
19,19,2020-01-20,-0.57,0.0,61.93,1.92,100.44,11.92,华北_山东,36.65,117.0,NASA POWER API
20,20,2020-01-21,0.36,0.0,82.04,2.7,100.35,4.88,华北_山东,36.65,117.0,NASA POWER API
21,21,2020-01-22,1.95,0.0,82.19,1.12,100.14,7.93,华北_山东,36.65,117.0,NASA POWER API
22,22,2020-01-23,2.28,0.0,80.01,1.16,100.51,5.62,华北_山东,36.65,117.0,NASA POWER API
23,23,2020-01-24,0.67,0.0,71.53,2.83,101.19,9.36,华北_山东,36.65,117.0,NASA POWER API
24,24,2020-01-25,1.15,0.0,62.14,1.45,101.0,8.84,华北_山东,36.65,117.0,NASA POWER API
25,25,2020-01-26,-0.05,0.35,74.14,2.26,100.75,3.49,华北_山东,36.65,117.0,NASA POWER API
26,26,2020-01-27,-0.17,0.06,72.8,1.92,100.23,8.3,华北_山东,36.65,117.0,NASA POWER API
27,27,2020-01-28,0.64,0.0,64.41,1.44,100.14,8.2,华北_山东,36.65,117.0,NASA POWER API
28,28,2020-01-29,-0.31,0.0,77.06,1.97,100.3,7.0,华北_山东,36.65,117.0,NASA POWER API
29,29,2020-01-30,-0.68,0.0,61.32,1.77,100.32,13.83,华北_山东,36.65,117.0,NASA POWER API
30,30,2020-01-31,0.99,0.0,72.92,2.49,100.21,10.38,华北_山东,36.65,117.0,NASA POWER API
31,31,2020-02-01,2.12,0.0,74.1,1.8,100.48,9.76,华北_山东,36.65,117.0,NASA POWER API
32,32,2020-02-02,0.9,0.09,84.29,2.35,100.51,5.09,华北_山东,36.65,117.0,NASA POWER API
33,33,2020-02-03,-0.35,0.01,68.31,2.34,100.67,14.12,华北_山东,36.65,117.0,NASA POWER API
34,34,2020-02-04,-0.15,0.11,78.2,3.97,100.47,1.93,华北_山东,36.65,117.0,NASA POWER API
35,35,2020-02-05,-1.69,0.03,64.24,2.86,101.09,7.71,华北_山东,36.65,117.0,NASA POWER API
36,36,2020-02-06,-1.35,0.91,77.51,1.69,101.09,6.17,华北_山东,36.65,117.0,NASA POWER API
37,37,2020-02-07,-0.04,0.03,87.8,1.86,100.86,8.21,华北_山东,36.65,117.0,NASA POWER API
38,38,2020-02-08,1.74,0.0,79.34,1.22,100.98,9.15,华北_山东,36.65,117.0,NASA POWER API
39,39,2020-02-09,3.49,0.0,69.65,2.65,100.39,10.66,华北_山东,36.65,117.0,NASA POWER API
40,40,2020-02-10,4.51,0.0,69.5,2.92,99.81,13.23,华北_山东,36.65,117.0,NASA POWER API
41,41,2020-02-11,6.8,0.0,80.93,3.04,99.7,11.83,华北_山东,36.65,117.0,NASA POWER API
42,42,2020-02-12,8.01,0.03,79.22,3.13,99.44,12.67,华北_山东,36.65,117.0,NASA POWER API
43,43,2020-02-13,9.97,0.34,82.17,4.28,99.1,13.28,华北_山东,36.65,117.0,NASA POWER API
44,44,2020-02-14,4.83,9.74,90.29,5.1,99.63,2.12,华北_山东,36.65,117.0,NASA POWER API
45,45,2020-02-15,-4.91,13.8,75.95,5.1,100.73,7.59,华北_山东,36.65,117.0,NASA POWER API
46,46,2020-02-16,-7.58,0.7,70.18,3.08,100.66,15.77,华北_山东,36.65,117.0,NASA POWER API
47,47,2020-02-17,-4.29,0.0,64.78,2.76,100.9,17.07,华北_山东,36.65,117.0,NASA POWER API
48,48,2020-02-18,0.54,0.0,65.02,3.25,100.56,15.5,华北_山东,36.65,117.0,NASA POWER API
49,49,2020-02-19,2.18,0.0,73.47,3.16,100.3,12.39,华北_山东,36.65,117.0,NASA POWER API
50,50,2020-02-20,3.79,0.01,77.33,1.68,100.73,11.52,华北_山东,36.65,117.0,NASA POWER API
51,51,2020-02-21,5.37,4.42,70.39,2.32,100.62,10.19,华北_山东,36.65,117.0,NASA POWER API
52,52,2020-02-22,2.26,0.08,51.41,2.26,101.0,18.12,华北_山东,36.65,117.0,NASA POWER API
53,53,2020-02-23,6.4,0.0,59.76,4.55,100.16,14.82,华北_山东,36.65,117.0,NASA POWER API
