,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,-0.29,0.0,48.81,1.11,101.99,6.77,华北_河南,34.76,113.65,NASA POWER API
1,1,2020-01-02,1.26,0.0,52.95,0.85,102.02,5.25,华北_河南,34.76,113.65,NASA POWER API
2,2,2020-01-03,2.95,0.0,53.97,0.82,101.85,6.64,华北_河南,34.76,113.65,NASA POWER API
3,3,2020-01-04,3.74,1.03,65.22,1.67,101.61,6.07,华北_河南,34.76,113.65,NASA POWER API
4,4,2020-01-05,0.53,24.25,89.77,4.63,101.57,1.29,华北_河南,34.76,113.65,NASA POWER API
5,5,2020-01-06,-0.36,10.98,89.85,1.56,101.38,2.07,华北_河南,34.76,113.65,NASA POWER API
6,6,2020-01-07,-0.35,4.32,89.23,2.51,101.38,4.44,华北_河南,34.76,113.65,NASA POWER API
7,7,2020-01-08,-1.74,0.06,78.33,1.3,101.9,5.24,华北_河南,34.76,113.65,NASA POWER API
8,8,2020-01-09,-0.94,0.07,74.9,1.14,101.69,5.66,华北_河南,34.76,113.65,NASA POWER API
9,9,2020-01-10,1.55,0.04,68.51,1.01,101.48,4.68,华北_河南,34.76,113.65,NASA POWER API
10,10,2020-01-11,-0.55,0.92,78.43,2.01,101.54,3.29,华北_河南,34.76,113.65,NASA POWER API
11,11,2020-01-12,-0.53,0.0,77.71,0.92,101.43,3.68,华北_河南,34.76,113.65,NASA POWER API
12,12,2020-01-13,-1.24,0.0,75.71,1.61,101.54,6.35,华北_河南,34.76,113.65,NASA POWER API
13,13,2020-01-14,-1.52,0.0,66.27,1.19,101.93,9.1,华北_河南,34.76,113.65,NASA POWER API
14,14,2020-01-15,-1.14,1.38,70.3,1.13,101.92,3.82,华北_河南,34.76,113.65,NASA POWER API
15,15,2020-01-16,-0.77,0.44,81.39,0.78,102.03,5.28,华北_河南,34.76,113.65,NASA POWER API
16,16,2020-01-17,0.9,0.0,76.79,1.34,101.75,7.84,华北_河南,34.76,113.65,NASA POWER API
17,17,2020-01-18,0.97,0.0,72.89,2.03,101.5,5.32,华北_河南,34.76,113.65,NASA POWER API
18,18,2020-01-19,1.57,0.0,57.73,2.12,101.4,13.1,华北_河南,34.76,113.65,NASA POWER API
19,19,2020-01-20,0.77,0.0,57.03,2.55,101.57,9.75,华北_河南,34.76,113.65,NASA POWER API
20,20,2020-01-21,0.77,0.0,74.17,1.19,101.41,2.75,华北_河南,34.76,113.65,NASA POWER API
21,21,2020-01-22,1.73,0.0,83.7,0.83,101.28,5.25,华北_河南,34.76,113.65,NASA POWER API
22,22,2020-01-23,2.99,0.0,82.98,1.45,101.59,5.15,华北_河南,34.76,113.65,NASA POWER API
23,23,2020-01-24,2.4,0.09,74.31,3.19,102.29,3.34,华北_河南,34.76,113.65,NASA POWER API
24,24,2020-01-25,3.16,0.05,61.22,1.26,102.13,4.62,华北_河南,34.76,113.65,NASA POWER API
25,25,2020-01-26,1.47,1.62,73.99,2.31,101.93,4.48,华北_河南,34.76,113.65,NASA POWER API
26,26,2020-01-27,2.08,0.0,65.35,1.28,101.49,7.79,华北_河南,34.76,113.65,NASA POWER API
27,27,2020-01-28,3.29,0.0,63.45,1.08,101.28,10.11,华北_河南,34.76,113.65,NASA POWER API
28,28,2020-01-29,3.35,0.0,64.03,1.22,101.46,7.65,华北_河南,34.76,113.65,NASA POWER API
29,29,2020-01-30,3.82,0.0,61.08,1.04,101.49,10.53,华北_河南,34.76,113.65,NASA POWER API
30,30,2020-01-31,5.14,0.0,59.14,1.74,101.3,11.13,华北_河南,34.76,113.65,NASA POWER API
31,31,2020-02-01,2.74,0.0,68.25,2.97,101.51,7.62,华北_河南,34.76,113.65,NASA POWER API
32,32,2020-02-02,4.65,0.0,64.4,1.42,101.61,9.13,华北_河南,34.76,113.65,NASA POWER API
33,33,2020-02-03,2.0,0.0,67.25,2.22,101.79,11.76,华北_河南,34.76,113.65,NASA POWER API
34,34,2020-02-04,2.28,0.0,59.42,3.89,101.55,10.33,华北_河南,34.76,113.65,NASA POWER API
35,35,2020-02-05,-0.92,0.89,74.14,4.58,102.13,2.11,华北_河南,34.76,113.65,NASA POWER API
36,36,2020-02-06,-0.58,2.52,83.81,2.79,102.17,4.08,华北_河南,34.76,113.65,NASA POWER API
