,Unnamed: 0,date,temperature,precipitation,humidity,wind_speed,surface_pressure,solar_radiation,region,latitude,longitude,data_source
0,0,2020-01-01,-6.29,0.01,74.85,0.99,94.02,6.24,西北_新疆,43.82,87.61,NASA POWER API
1,1,2020-01-02,-4.72,0.0,59.52,1.09,93.99,6.38,西北_新疆,43.82,87.61,NASA POWER API
2,2,2020-01-03,-5.23,0.0,56.59,0.81,93.67,6.35,西北_新疆,43.82,87.61,NASA POWER API
3,3,2020-01-04,-6.76,0.0,70.51,1.18,93.83,5.94,西北_新疆,43.82,87.61,NASA POWER API
4,4,2020-01-05,-6.05,0.0,67.86,1.12,93.89,6.6,西北_新疆,43.82,87.61,NASA POWER API
5,5,2020-01-06,-4.46,0.0,55.0,2.03,93.35,6.99,西北_新疆,43.82,87.61,NASA POWER API
6,6,2020-01-07,-5.15,0.0,53.14,1.07,93.7,7.15,西北_新疆,43.82,87.61,NASA POWER API
7,7,2020-01-08,-6.36,0.0,63.6,1.26,93.95,6.33,西北_新疆,43.82,87.61,NASA POWER API
8,8,2020-01-09,-7.57,0.01,74.56,1.03,93.93,6.15,西北_新疆,43.82,87.61,NASA POWER API
9,9,2020-01-10,-6.67,0.01,70.65,1.49,93.7,6.35,西北_新疆,43.82,87.61,NASA POWER API
10,10,2020-01-11,-8.05,0.0,70.06,1.13,93.94,7.08,西北_新疆,43.82,87.61,NASA POWER API
11,11,2020-01-12,-5.14,0.0,52.93,1.59,93.36,6.24,西北_新疆,43.82,87.61,NASA POWER API
12,12,2020-01-13,-7.12,0.0,71.71,1.22,93.23,6.94,西北_新疆,43.82,87.61,NASA POWER API
13,13,2020-01-14,-7.62,4.76,87.77,1.07,93.7,3.18,西北_新疆,43.82,87.61,NASA POWER API
14,14,2020-01-15,-5.6,1.44,86.0,1.01,94.12,4.59,西北_新疆,43.82,87.61,NASA POWER API
15,15,2020-01-16,-5.93,0.82,89.48,0.96,94.33,5.16,西北_新疆,43.82,87.61,NASA POWER API
16,16,2020-01-17,-7.4,1.17,86.16,1.5,94.84,4.95,西北_新疆,43.82,87.61,NASA POWER API
17,17,2020-01-18,-4.83,0.0,44.33,1.42,94.39,8.17,西北_新疆,43.82,87.61,NASA POWER API
18,18,2020-01-19,-4.24,0.02,53.49,2.61,93.43,7.46,西北_新疆,43.82,87.61,NASA POWER API
19,19,2020-01-20,-4.77,0.02,58.71,1.47,93.38,6.7,西北_新疆,43.82,87.61,NASA POWER API
20,20,2020-01-21,-3.05,0.0,60.39,1.28,93.48,8.1,西北_新疆,43.82,87.61,NASA POWER API
21,21,2020-01-22,-3.51,0.0,62.16,1.28,93.77,7.44,西北_新疆,43.82,87.61,NASA POWER API
22,22,2020-01-23,-3.0,0.0,64.1,1.31,94.14,7.5,西北_新疆,43.82,87.61,NASA POWER API
23,23,2020-01-24,-2.09,0.0,48.63,6.86,93.47,7.59,西北_新疆,43.82,87.61,NASA POWER API
24,24,2020-01-25,-1.82,0.0,46.19,2.34,93.31,8.0,西北_新疆,43.82,87.61,NASA POWER API
25,25,2020-01-26,-1.51,0.0,49.6,1.85,93.44,7.19,西北_新疆,43.82,87.61,NASA POWER API
26,26,2020-01-27,-2.93,0.0,54.83,1.4,93.4,7.38,西北_新疆,43.82,87.61,NASA POWER API
27,27,2020-01-28,-4.19,0.0,58.13,1.6,93.76,8.12,西北_新疆,43.82,87.61,NASA POWER API
28,28,2020-01-29,-2.79,0.0,58.27,1.72,94.1,8.71,西北_新疆,43.82,87.61,NASA POWER API
29,29,2020-01-30,-6.15,0.0,75.75,1.44,94.24,7.47,西北_新疆,43.82,87.61,NASA POWER API
30,30,2020-01-31,-6.86,0.01,74.04,1.25,94.13,7.75,西北_新疆,43.82,87.61,NASA POWER API
31,31,2020-02-01,-4.04,0.0,60.72,1.51,93.97,10.21,西北_新疆,43.82,87.61,NASA POWER API
32,32,2020-02-02,-2.67,0.0,50.26,1.62,93.56,9.72,西北_新疆,43.82,87.61,NASA POWER API
33,33,2020-02-03,-1.02,0.0,46.54,1.36,93.41,10.54,西北_新疆,43.82,87.61,NASA POWER API
34,34,2020-02-04,-0.59,0.0,49.1,1.08,93.55,10.21,西北_新疆,43.82,87.61,NASA POWER API
35,35,2020-02-05,-0.67,0.0,51.59,0.75,93.4,10.01,西北_新疆,43.82,87.61,NASA POWER API
36,36,2020-02-06,0.27,0.0,47.24,1.25,93.66,11.09,西北_新疆,43.82,87.61,NASA POWER API
37,37,2020-02-07,3.47,0.0,43.83,1.57,94.14,11.34,西北_新疆,43.82,87.61,NASA POWER API
38,38,2020-02-08,3.68,0.0,37.46,5.84,93.77,11.97,西北_新疆,43.82,87.61,NASA POWER API
39,39,2020-02-09,4.06,0.0,34.03,6.29,92.76,12.51,西北_新疆,43.82,87.61,NASA POWER API
40,40,2020-02-10,3.66,0.0,37.78,2.12,92.66,12.16,西北_新疆,43.82,87.61,NASA POWER API
41,41,2020-02-11,0.66,0.14,60.32,2.97,92.97,11.91,西北_新疆,43.82,87.61,NASA POWER API
42,42,2020-02-12,-5.02,0.3,76.09,1.84,93.9,11.84,西北_新疆,43.82,87.61,NASA POWER API
43,43,2020-02-13,-0.55,0.0,43.23,1.35,93.86,13.21,西北_新疆,43.82,87.61,NASA POWER API
44,44,2020-02-14,-3.38,0.0,46.25,2.23,94.7,13.33,西北_新疆,43.82,87.61,NASA POWER API
45,45,2020-02-15,-1.82,0.01,39.82,3.73,94.18,11.99,西北_新疆,43.82,87.61,NASA POWER API
46,46,2020-02-16,-2.75,0.0,44.55,2.16,94.47,10.27,西北_新疆,43.82,87.61,NASA POWER API
47,47,2020-02-17,-0.21,0.01,51.61,1.34,94.54,11.75,西北_新疆,43.82,87.61,NASA POWER API
48,48,2020-02-18,-1.22,0.58,57.74,1.86,94.11,11.28,西北_新疆,43.82,87.61,NASA POWER API
49,49,2020-02-19,-3.2,1.68,68.21,2.39,94.91,12.52,西北_新疆,43.82,87.61,NASA POWER API
50,50,2020-02-20,-1.23,0.02,52.01,1.48,94.77,13.54,西北_新疆,43.82,87.61,NASA POWER API
51,51,2020-02-21,2.16,0.0,48.27,2.31,93.72,13.76,西北_新疆,43.82,87.61,NASA POWER API
52,52,2020-02-22,3.94,0.0,40.48,1.45,93.28,13.96,西北_新疆,43.82,87.61,NASA POWER API
53,53,2020-02-23,1.7,0.07,60.97,0.75,93.57,12.9,西北_新疆,43.82,87.61,NASA POWER API
54,54,2020-02-24,0.08,0.0,75.2,2.04,93.63,13.57,西北_新疆,43.82,87.61,NASA POWER API
55,55,2020-02-25,-0.15,0.03,73.23,1.18,93.68,13.53,西北_新疆,43.82,87.61,NASA POWER API
56,56,2020-02-26,3.94,0.0,54.17,2.19,93.62,15.28,西北_新疆,43.82,87.61,NASA POWER API
57,57,2020-02-27,5.8,0.18,44.01,3.06,93.03,14.33,西北_新疆,43.82,87.61,NASA POWER API
58,58,2020-02-28,-0.14,2.25,68.02,2.58,94.35,11.41,西北_新疆,43.82,87.61,NASA POWER API
59,59,2020-02-29,0.57,0.0,55.68,1.76,94.31,16.71,西北_新疆,43.82,87.61,NASA POWER API
60,60,2020-03-01,0.01,0.0,52.47,1.49,94.14,15.81,西北_新疆,43.82,87.61,NASA POWER API
61,61,2020-03-02,5.53,0.0,30.64,1.64,93.47,15.4,西北_新疆,43.82,87.61,NASA POWER API
62,62,2020-03-03,6.79,0.0,31.95,1.44,93.08,15.13,西北_新疆,43.82,87.61,NASA POWER API
63,63,2020-03-04,1.81,0.04,57.78,1.94,93.42,13.13,西北_新疆,43.82,87.61,NASA POWER API
64,64,2020-03-05,2.33,0.0,56.01,1.86,93.19,16.4,西北_新疆,43.82,87.61,NASA POWER API
65,65,2020-03-06,1.35,0.0,50.41,1.8,92.95,12.76,西北_新疆,43.82,87.61,NASA POWER API
66,66,2020-03-07,-1.71,7.25,67.68,3.5,93.73,8.74,西北_新疆,43.82,87.61,NASA POWER API
67,67,2020-03-08,-7.34,0.73,47.11,2.23,95.3,12.92,西北_新疆,43.82,87.61,NASA POWER API
68,68,2020-03-09,-2.16,1.82,41.33,1.51,94.65,15.7,西北_新疆,43.82,87.61,NASA POWER API
69,69,2020-03-10,-0.35,0.0,42.48,1.48,93.75,16.09,西北_新疆,43.82,87.61,NASA POWER API
70,70,2020-03-11,-0.91,0.0,50.82,1.71,93.93,13.48,西北_新疆,43.82,87.61,NASA POWER API
71,71,2020-03-12,-0.07,0.0,42.41,1.89,94.38,18.61,西北_新疆,43.82,87.61,NASA POWER API
72,72,2020-03-13,3.16,0.0,36.23,3.38,93.89,15.49,西北_新疆,43.82,87.61,NASA POWER API
73,73,2020-03-14,5.07,0.0,35.65,1.87,93.82,15.56,西北_新疆,43.82,87.61,NASA POWER API
74,74,2020-03-15,6.75,0.0,35.38,1.65,93.95,16.87,西北_新疆,43.82,87.61,NASA POWER API
75,75,2020-03-16,9.29,0.0,32.59,2.46,93.62,16.65,西北_新疆,43.82,87.61,NASA POWER API
76,76,2020-03-17,9.76,0.0,32.35,1.94,93.47,17.39,西北_新疆,43.82,87.61,NASA POWER API
77,77,2020-03-18,11.88,0.0,31.72,1.22,93.5,15.74,西北_新疆,43.82,87.61,NASA POWER API
78,78,2020-03-19,9.9,0.14,61.11,1.61,93.25,16.17,西北_新疆,43.82,87.61,NASA POWER API
79,79,2020-03-20,3.89,0.66,83.57,1.75,93.19,10.46,西北_新疆,43.82,87.61,NASA POWER API
