date,cpi,ppi,m2
2020-01-09,0.0,-0.5,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,8.7
2020-02-10,1.4,0.1,
2020-02-14,,,
2020-02-17,,,0.0
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,8.4
2020-03-10,0.8,-0.4,
2020-03-11,,,8.8
2020-04-10,-1.2,-1.5,10.1
2020-04-11,,,10.1
2020-05-11,,,11.1
2020-05-12,-0.9,-3.1,11.1
2020-06-10,-0.8,-3.7,11.1
2020-07-09,-0.1,-3.0,
2020-07-10,,,11.1
2020-08-10,0.6,-2.4,
2020-08-11,,,10.7
2020-09-09,0.4,-2.0,
2020-09-10,,,
2020-09-11,,,10.4
2020-10-11,,,
2020-10-12,,,
2020-10-14,,,10.9
2020-10-15,0.2,-2.1,10.9
2020-10-19,,,
2020-11-10,-0.3,-2.1,
2020-11-11,,,10.5
2020-11-13,,,
2020-12-09,-0.6,-1.5,10.7
2020-12-13,,,
2021-01-11,0.7,-0.4,
2021-01-12,,,10.1
2021-01-14,,,
2021-02-09,,,9.4
2021-02-10,1.0,0.3,
2021-03-10,0.6,1.7,10.1
2021-03-11,,,
2021-04-09,-0.5,4.4,
2021-04-11,,,
2021-04-12,,,9.4
2021-05-11,-0.3,6.8,
2021-05-12,,,8.1
2021-06-09,-0.2,9.0,
2021-06-10,,,8.3
2021-07-09,-0.4,8.8,8.6
2021-07-12,,,
2021-08-09,0.3,9.0,
2021-08-11,,,8.3
2021-09-09,0.1,9.5,
2021-09-10,,,8.2
2021-09-13,,,
2021-10-13,,,8.3
2021-10-14,0.0,10.7,8.3
2021-11-09,,,
2021-11-10,0.7,13.5,8.7
2021-11-12,,,
2021-12-09,0.4,12.9,8.5
2021-12-13,,,
2022-01-12,-0.3,10.3,9.0
2022-02-10,,,9.8
2022-02-11,,,
2022-02-16,0.4,9.1,
2022-03-09,0.6,8.8,
2022-03-11,,,9.2
2022-04-11,0.0,8.3,9.7
2022-04-12,,,
2022-05-11,0.4,8.0,
2022-05-12,,,
2022-05-13,,,10.5
2022-06-09,,,
2022-06-10,-0.2,6.4,11.1
2022-07-09,0.0,6.1,
2022-07-11,,,11.4
2022-08-10,0.5,4.2,
2022-08-11,,,
2022-08-12,,,12.0
2022-09-09,-0.1,2.3,12.2
2022-10-11,,,12.1
2022-10-14,0.3,0.9,
2022-11-09,0.1,-1.3,
2022-11-10,,,11.8
2022-12-09,-0.2,-1.3,
2022-12-12,,,12.4
2023-01-10,,,11.8
2023-01-12,0.0,-0.7,
2023-02-10,0.8,-0.8,12.6
2023-03-09,-0.5,-1.4,
2023-03-10,,,12.9
2023-04-11,-0.3,-2.5,12.7
2023-05-11,-0.1,-3.6,12.4
2023-05-12,,,
2023-06-09,-0.2,-4.6,
2023-06-10,,,
2023-06-12,,,
2023-06-13,,,11.6
2023-07-10,-0.2,-5.4,
2023-07-11,,,11.3
2023-08-09,0.2,-4.4,
2023-08-11,,,10.7
2023-09-09,0.3,-3.0,
2023-09-11,,,10.6
2023-10-13,0.2,-2.5,10.3
2023-11-09,-0.1,-2.6,
2023-11-13,,,10.3
2023-12-09,-0.5,-3.0,
2023-12-13,,,10.0
2024-01-10,,,
2024-01-12,0.1,-2.7,9.7
2024-02-08,0.3,-2.5,
2024-02-09,,,8.7
2024-03-09,1.0,-2.7,
2024-03-12,,,
2024-03-13,,,
2024-03-14,,,
2024-03-15,,,8.7
2024-04-09,,,
2024-04-10,,,
2024-04-11,-1.0,-2.8,
2024-04-12,,,8.3
2024-05-11,0.1,-2.5,7.2
2024-05-12,,,7.2
2024-06-12,-0.1,-1.4,
2024-06-13,,,
2024-06-14,,,7.0
2024-07-10,-0.2,-0.8,
2024-07-11,,,
2024-07-12,,,6.2
2024-07-15,,,
2024-08-09,0.5,-0.8,
2024-08-11,,,
2024-08-12,,,
2024-08-13,,,6.3
2024-09-09,0.4,-1.8,
2024-09-11,,,
2024-09-12,,,
2024-09-13,,,6.3
2024-10-13,0.0,-2.8,
2024-10-14,,,6.8
2024-11-09,-0.3,-2.9,
2024-11-11,,,7.5
2024-11-13,,,
2024-12-09,-0.6,-2.5,
2024-12-13,,,7.1
2025-01-09,0.0,-2.3,
2025-01-10,,,
2025-01-12,,,
2025-01-13,,,
2025-01-14,,,7.3
2025-02-09,0.7,-2.3,
2025-02-10,,,
2025-02-11,,,
2025-02-12,,,
2025-02-13,,,
2025-02-14,,,7.0
2025-03-09,-0.2,-2.2,
2025-03-14,,,7.0
2025-04-10,-0.4,-2.5,
2025-04-11,,,
2025-04-13,,,7.0
2025-04-14,,,
2025-05-09,,,
2025-05-10,0.1,-2.7,
2025-05-14,,,8.0
2025-06-09,-0.2,-3.3,
2025-06-13,,,7.9
2025-06-16,,,
2025-07-09,-0.1,-3.6,
2025-07-14,,,8.3
2025-08-09,0.4,-3.6,
2025-08-13,,,8.8
2025-08-14,,,
2025-09-10,,,
2025-09-12,,,
